budget_m,range_m,true_angle_deg,second_error_deg,radius_m,target_distance_to_center_m,reception_radius_m
250.0,5.01,-1,-1,2.5368817027551938,2.4762469622500087,1000.0
250.0,5.01,-1,-0.5,3.6921528974694513,1.3263700715518087,1000.0
250.0,5.01,-1,0,4.639870821639361,0.17108699792803458,1000.0
250.0,5.01,-1,0.5,4.625424470182116,2.332359535703863,1000.0
250.0,5.01,-1,1,4.611417884965638,4.611417884965649,1000.0
250.0,5.01,-0.5,-1,2.5292039301939018,2.482545754674146,1000.0
250.0,5.01,-0.5,-0.5,3.684525502051911,1.330238266353896,1000.0
250.0,5.01,-0.5,0,4.63996799141897,0.12551487180400495,1000.0
250.0,5.01,-0.5,0.5,4.625518706155334,2.313904085586259,1000.0
250.0,5.01,-0.5,1,4.611509228368069,4.594396198903947,1000.0
250.0,5.01,0,-1,2.5213307274031758,2.4894422141125,1000.0
250.0,5.01,0,-0.5,3.6767039678343343,1.3353985574399592,1000.0
250.0,5.01,0,0,4.6400676504284215,0.08099268210955009,1000.0
250.0,5.01,0,0.5,4.625615356526795,2.296235999001283,1000.0
250.0,5.01,0,1,4.6116029123955595,4.577780062540028,1000.0
250.0,5.01,0.5,-1,2.513262582746116,2.4969294379381366,1000.0
250.0,5.01,0.5,-0.5,3.668688780661957,1.341832890207574,1000.0
250.0,5.01,0.5,0,4.640169793679799,0.04110933297233694,1000.0
250.0,5.01,0.5,0.5,4.6257144164834205,2.279374901775286,1000.0
250.0,5.01,0.5,1,4.611698932407918,4.561575028202082,1000.0
250.0,5.01,1,-1,2.5049999999998986,2.504999999999874,1000.0
250.0,5.01,1,-0.5,3.660480441708583,1.3495195582911892,1000.0
250.0,5.01,1,0,4.640274416015182,0.03383642352214893,1000.0
250.0,5.01,1,0.5,4.625815881048121,2.263339872103748,1000.0
250.0,5.01,1,1,4.611797283606722,4.545786476626828,1000.0
250.0,20,-1,-1,4.576171148576687,4.380123885324498,1000.0
250.0,20,-1,-0.5,4.563726526388827,2.167449214673477,1000.0
250.0,20,-1,0,4.551695094561503,0.4392878529096691,1000.0
250.0,20,-1,0.5,4.5400717682286755,2.34808990650025,1000.0
250.0,20,-1,1,4.528851665056423,4.52885166505636,1000.0
250.0,20,-0.5,-1,4.576454499886109,4.418851638514165,1000.0
250.0,20,-0.5,-0.5,4.564000568327847,2.191607109220955,1000.0
250.0,20,-0.5,0,4.551959943318476,0.2578673639806254,1000.0
250.0,20,-0.5,0.5,4.540327535395971,2.2712874169271937,1000.0
250.0,20,-0.5,1,4.529098457750868,4.4643826293833655,1000.0
250.0,20,0,-1,4.57674717667742,4.464781408174187,1000.0
