channel,observation,radius_m,vertex_count,x,y
4,1,750.143981855503,4,0.0,0.0
8,1,750.11734879938,4,0.0,0.0
13,1,750.1183427976146,4,0.0,0.0
14,1,750.1154293607258,4,0.0,0.0
15,1,750.1219989019634,4,0.0,0.0
18,1,750.1157035657455,4,0.0,0.0
14,2,61.6813190530389,4,673.5216573338535,362.6324023648717
14,3,23.043981624657807,3,1042.6093030195993,317.4828976445972
14,4,11.057971614486146,4,1065.47534198127,314.6246899333102
13,2,13.43657854011987,4,762.5479657116625,55.37619522155188
4,2,16.331561844913317,4,509.2733252358018,-569.1070747355388
8,2,30.11076922705208,4,238.60014845550774,-726.4522195992371
8,3,11.922159087687424,3,110.43252617810913,-920.3058057812545
15,2,14.111042143841836,4,-99.39990225133047,-759.1113775575625
18,2,126.40686201447564,4,-515.477042393878,565.379840161215
18,3,15.471645233994359,4,-707.5482288269543,1119.225571790851
9,1,483.43673510548115,4,-674.9999999999997,1169.1342951089923
11,1,750.1166027747979,5,-674.9999999999997,1169.1342951089923
12,1,656.917541500016,4,-674.9999999999997,1169.1342951089923
17,1,549.8406371618468,4,-674.9999999999997,1169.1342951089923
9,2,9.49038894453534,4,-386.98191207287226,1575.7835299285625
17,2,11.331869150405632,4,-296.21138076533543,1590.725570641348
12,2,102.43518058883566,5,-143.13082489738923,1582.8441413854498
12,3,38.55125028587242,3,416.2129627314334,1699.8698441713796
12,4,11.853502054797277,4,451.22445401979735,1716.006584126154
11,2,19.407520069484104,4,-2.0676324314623002,1533.6901712900715
16,1,518.1803206578079,3,675.0000000000001,1169.134295108992
16,2,34.69326428045161,4,1101.7343449490713,847.9014024084966
16,3,5.00076264037246,150,1374.6105768948876,888.0736220738982
1,1,632.0386149993196,4,675.0000000000001,-1169.134295108992
3,1,750.1714049242732,4,675.0000000000001,-1169.134295108992
10,1,750.1294140297996,4,675.0000000000001,-1169.134295108992
1,2,76.42812761064376,4,43.68380382426885,-1322.1462923395022
1,3,30.212819046155044,3,-269.06946419978937,-1672.1541553045781
1,4,12.306823048158575,5,-290.13849491578287,-1693.8084938861298
10,2,13.714280211654208,4,-51.80489813045587,-1404.861102858441
3,2,48.622146153575414,4,-77.45770454979161,-1296.8101996485307
3,3,20.940810935788463,3,450.4046539636636,-1163.3190596507018
3,4,5.000706655730048,13,429.46657254713415,-1163.6571561503263
