channel,positive_observations,radii_m,follow_distance_m,clear_time_s
14,4,750.12 -> 61.68 -> 23.04 -> 11.06,1162.4391382173478,372.487828
13,2,750.12 -> 13.44,544.5506789735775,492.397964
4,2,750.14 -> 16.33,712.8217786101893,645.96232
8,3,750.12 -> 30.11 -> 11.92,431.10054397177987,748.18243
15,2,750.12 -> 14.11,410.18191099177386,841.218812
18,3,750.12 -> 126.41 -> 15.47,1958.5927322540228,1248.937358
9,2,483.44 -> 9.49,602.1061993981098,1467.61822
17,2,549.84 -> 11.33,204.37527087118568,1519.493274
12,4,656.92 -> 102.44 -> 38.55 -> 11.85,709.2389172306397,1682.341057
11,2,750.12 -> 19.41,690.5481202707064,1831.450682
16,3,518.18 -> 34.69 -> 5.00,809.9454615792063,2228.897998
1,4,632.04 -> 76.43 -> 30.21 -> 12.31,1154.3034996435981,3035.441611
10,2,750.13 -> 13.71,524.0830863614187,3151.258228
3,4,750.17 -> 48.62 -> 20.94 -> 5.00,599.6465407536647,3292.187536
