time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,27.999999999999954,27.999999999999964,28,27.999999999999993,27.999999999999996,28.000000000000028,28.000000000000028,28.000000000000032,28.000000000000004,28.000000000000036,28.000000000000046,28.000000000000014,28.000000000000028,27.999999999999989,28,28.000000000000668,28.00000000004772,28.000000003097018,28.000000172333664,28.000007443420227,28.000201253628493,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999998199336,2.5239530465157305
2,27.999999999999908,27.99999999999995,28,27.999999999999993,27.999999999999993,28.000000000000036,28.000000000000053,28.00000000000005,28.000000000000004,28.000000000000068,28.000000000000082,28.000000000000028,28.000000000000043,28.000000000000014,28.000000000001471,28.000000000069292,28.000000002827363,28.000000096123141,28.000002545136091,28.000047468459183,28.000546074174839,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5500000000000007,2.5499999921222174,2.5086501158564705
3,27.999999999999872,27.999999999999936,28,27.999999999999993,27.999999999999993,28.000000000000043,28.000000000000064,28.00000000000005,28.000000000000007,28.000000000000096,28.000000000000114,28.000000000000039,28.000000000000092,28.000000000001275,28.000000000045542,28.000000001403791,28.000000036369148,28.000000757276489,28.00001195360883,28.000133401882731,28.000986756323929,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999972,2.5499999999999998,2.5499999101870046,2.4975596739251094
4,27.999999999999865,27.999999999999936,28,27.999999999999993,27.999999999999993,28.000000000000043,28.000000000000064,28.00000000000005,28.000000000000011,28.000000000000121,28.000000000000142,28.000000000000092,28.000000000000814,28.000000000021714,28.000000000553776,28.000000012049245,28.000000216707289,28.000003099840423,28.000033749421711,28.000267796003676,28.001504620023503,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999963,2.5499999999999696,2.5499994804156221,2.4885447654233639
5,27.999999999999865,27.999999999999936,28,27.999999999999993,27.999999999999993,28.000000000000043,28.000000000000064,28.00000000000005,28.000000000000011,28.000000000000124,28.000000000000181,28.000000000000448,28.000000000008871,28.000000000195314,28.000000003758558,28.000000061160748,28.000000818714312,28.000008743791376,28.000072226472376,28.000449786177455,28.002088723387693,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999963,2.5499999999996374,2.5499980089220124,2.4807648037902799
6,27.999999999999865,27.999999999999936,28,27.999999999999993,27.999999999999993,28.000000000000043,28.000000000000064,28.00000000000005,28.000000000000021,28.000000000000146,28.000000000000338,28.00000000000335,28.000000000064848,28.000000001136474,28.000000017181371,28.000000219119119,28.000002304300729,28.000019520709252,28.000130428302711,28.000677561843577,28.002731639765855,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999963,2.5499999999971861,2.5499942067719585,2.4738213378077876
7,27.999999999999865,27.999999999999936,28,27.999999999999993,27.999999999999993,28.000000000000043,28.000000000000064,28.00000000000005,28.000000000000032,28.000000000000224,28.000000000001346,28.000000000020819,28.000000000337963,28.000000004824489,28.000000059264792,28.000000615259424,28.000005300283359,28.000037238057139,28.000210402161784,28.000949126265976,28.003427899427276,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999963,2.5499999999840131,2.5499861390540568,2.4674936192241841
8,27.999999999999865,27.999999999999936,28,27.999999999999993,27.999999999999993,28.000000000000043,28.000000000000064,28.000000000000053,28.000000000000075,28.000000000000565,28.000000000006711,28.000000000099678,28.000000001357304,28.000000016173402,28.000000166037101,28.000001446879793,28.000010549555139,28.000063550721912,28.00031348050555,28.001262541521545,28.004173256248979,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999963,2.549999999928517,2.5499713111842843,2.4616444986535293
9,27.999999999999865,27.999999999999936,28,27.999999999999993,27.999999999999993,28.000000000000043,28.000000000000064,28.000000000000075,28.000000000000192,28.000000000002199,28.000000000029456,28.000000000383221,28.00000000444966,28.00000004522035,28.000000397176137,28.000002978475425,28.000018858770108,28.000099910809379,28.000440497904314,28.001616004368792,28.004964290018307,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999963,2.5499999997357774,2.5499468500020952,2.4561816356411774
