time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
0,0,0,0,0,0,0,0,0,28,28,2.5499999999999998,2.5499999999999998
1,4,16,4,9.044586934567127e-16,0.00025477709674836971,1.2593292022642406e-16,1.028725878354092e-11,7.6630011946912484e-21,27.999999999999865,28.000202690299865,2.5199465871129596,2.5500000000000016
2,8,32,4,9.044586934567127e-16,0.00025477709674836971,1.2614669223129506e-16,1.9904622980231046e-11,9.8384862057057112e-21,27.999999999999797,28.000548104408541,2.5059643962343237,2.5500000000000016
3,12,48,4,9.044586934567127e-16,0.00025477709674836971,1.2626844366844508e-16,2.9137941083383356e-11,1.2452376941373279e-20,27.999999999999748,28.000989219453992,2.4955695818224428,2.5500000000000016
4,16,64,4,9.4851296446288331e-16,0.00026718675055292476,1.264482738423908e-16,3.8509124166384578e-11,1.2771668657818747e-20,27.999999999999712,28.001507435174954,2.4869207638790787,2.5500000000000016
5,20,80,4,9.4851296446288331e-16,0.00026718675055292476,1.6863973933776997e-16,4.7702875829135072e-11,2.5497015201334525e-20,27.999999999999687,28.00209183959511,2.4793632696767385,2.5500000000000016
6,24,96,4,9.4851296446288331e-16,0.00026718675055292476,1.6863973933776997e-16,5.7684205827766843e-11,4.0253917329280539e-20,27.999999999999687,28.002735021165517,2.4725719370814505,2.5500000000000016
7,28,112,4,9.4851296446288331e-16,0.00026718675055292476,1.6894755856108836e-16,6.7970128115289741e-11,3.4327995420950649e-20,27.999999999999677,28.003431519039296,2.466356876539499,2.5500000000000016
8,32,128,4,9.4851296446288331e-16,0.00026718675055292476,1.6894755856108836e-16,7.7224696581022767e-11,3.2690177808095654e-20,27.999999999999648,28.004177092841626,2.4605957054033154,2.5500000000000016
9,36,144,4,9.4851296446288331e-16,0.00026718675055292476,1.6894755856108836e-16,8.6717016705394057e-11,3.9534270196359405e-20,27.99999999999962,28.004968326331209,2.4552040626263758,2.5500000000000016
10,40,160,4,9.7047338427681783e-16,0.00027337278430332885,1.6941339607437216e-16,9.7105156706377149e-11,3.5375206076442782e-20,27.999999999999613,28.005802390908936,2.4501208726424295,2.5500000000000016
