time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
0,0,0,0,0,0,0,0,0,28,28,2.5499999999999998,2.5499999999999998
1,8192,24576,3,1.3981928322440158e-15,0.0039385713584338426,2.2326999520074807e-16,2.0762295115376527e-09,3.5518719570119388e-19,27.999999999998913,28.000186647924853,2.5177272388330469,2.5500000000000038
2,16384,49152,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,4.5339459172211282e-09,1.0922298787431813e-18,27.999999999998913,28.000525303293575,2.504493300899636,2.5500000000000038
3,18432,55296,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,3.0134190996064505e-09,1.2468192432736901e-18,27.999999999987701,28.000961412089211,2.4943920497923693,2.5500000000000029
4,20480,61440,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,1.4844407903422413e-09,1.4864706016474443e-18,27.999999999987701,28.001475499689647,2.4859118012010293,2.5500000000000029
5,22528,67584,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,1.4462678680154002e-10,1.7574314538334952e-18,27.999999999987701,28.002056331636698,2.478467396077737,2.5500000000000029
6,24576,73728,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-9.262385543413601e-10,2.0222467224221436e-18,27.999999999987701,28.002696332776189,2.4717587110178592,2.5500000000000029
7,26624,79872,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-1.9544151821581614e-09,2.3129621856749123e-18,27.999999999987701,28.003389945760702,2.4656074589063404,2.5500000000000029
8,28672,86016,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-3.0542025625488507e-09,2.6655165503046745e-18,27.999999999990379,28.004132867662477,2.4598974782491947,2.5500000000000029
9,29184,87552,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-9.14136315478003e-10,2.6855037671445815e-18,27.999999999979234,28.004921670457517,2.4545483057648227,2.5500000000000078
10,29696,89088,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,1.2440450295697421e-09,2.7827750502266862e-18,27.99999999997199,28.005753459120889,2.4495009136517591,2.5500000000000078
11,30208,90624,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,3.4258305388407315e-09,2.9202707177052639e-18,27.999999999969919,28.006625818669811,2.4447109784840895,2.5500000000000078
12,30720,92160,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,5.5973555718730034e-09,3.0631268128212178e-18,27.99999999996788,28.00753667404517,2.4401440633554388,2.5500000000000078
13,31232,93696,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,7.7522443925865185e-09,3.1392771246363349e-18,27.99999999996788,28.008484217306496,2.4357727815127648,2.5500000000000078
14,31744,95232,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,9.8800776112921268e-09,3.3027010527587227e-18,27.99999999996788,28.009466854954141,2.4315749275551233,2.5500000000000078
15,32256,96768,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,1.2002232485443734e-08,3.4583892136419088e-18,27.99999999996788,28.010483168739583,2.4275322010076215,2.5500000000000078
16,32768,98304,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,1.4152034968691673e-08,3.6681313528087508e-18,27.99999999996788,28.011531885822443,2.4236293077723832,2.5500000000000078
17,33280,99840,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,1.6316656821195652e-08,3.7141826430092916e-18,27.99999999996788,28.012611855589423,2.4198533111157801,2.5500000000000078
18,33792,101376,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,1.8458844272683044e-08,3.7765641845616426e-18,27.99999999996788,28.013722031337309,2.4161931523878426,2.5500000000000078
19,34304,102912,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,2.0594311946658225e-08,3.9299207688672861e-18,27.99999999996788,28.014861455580895,2.4126392901835345,2.5500000000000078
20,34816,104448,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,2.2716552330249531e-08,4.0439003119164406e-18,27.99999999996788,28.016029248113256,2.4091834240244894,2.5500000000000078
21,35328,105984,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,2.4824905595036759e-08,4.2266810935531818e-18,27.999999999969052,28.017224596188363,2.4058182795555134,2.5500000000000078
22,35840,107520,3,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,2.6919979911245247e-08,4.4873554313719045e-18,27.999999999975337,28.018446746364614,2.4025374393031593,2.5500000000000078
