time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28.000000000000089,28.000000000000014,27.999999999999012,27.999999999999968,28.000000000000121,28.000000000000064,28.000000000000114,27.999999999999996,28.000000000000018,27.999999999999858,27.999999999999996,28.000000000000057,27.999999999999812,28.000000000000011,27.999999999999947,27.999999999999996,27.999999999999886,28.000000000000053,28.000000006169117,28.00000309827789,28.000186647924853,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5500000000000003,2.5499999999999972,2.5500000000000007,2.5499999999999998,2.5499999999999967,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5177272388330469
2,28.000000000000089,28.000000000000014,27.999999999999012,27.999999999999968,28.000000000000121,28.000000000000064,28.000000000000114,27.999999999999996,28.000000000000018,27.999999999999858,27.999999999999996,28.000000000000057,27.999999999999812,28.000000000000011,27.999999999999947,27.999999999999996,28.000000000016925,28.000000007099274,28.00000089378759,28.000035658554012,28.000525303293575,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5500000000000003,2.5499999999999972,2.5500000000000007,2.5499999999999998,2.5499999999999967,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.504493300899636
3,27.999999999995083,27.999999999998998,27.999999999998771,28.000000000000053,28.000000000010804,28.000000000002029,27.999999999992955,28.000000000010299,27.999999999999758,27.999999999993815,28.000000000001926,27.999999999993069,28.000000000002505,28.000000000001034,28.000000000012022,28.000000000014332,28.000000002975732,28.000000220036732,28.000007267042051,28.000115225251459,28.000961412089211,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5499999999254168,2.4943920497923693
4,27.999999999995083,27.999999999998998,27.999999999998771,28.000000000000053,28.000000000010804,28.000000000002029,27.999999999992955,28.000000000010299,27.999999999999758,27.999999999993815,28.000000000001926,27.999999999993069,28.000000000002505,28.000000000001034,28.000000000031832,28.000000000943313,28.000000051824554,28.000001531300818,28.000025261797965,28.000244331847004,28.001475499689647,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999989,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5499999924396928,2.4859118012010293
5,27.999999999995083,27.999999999998998,27.999999999998771,28.000000000000053,28.000000000010804,28.000000000002029,27.999999999992955,28.000000000010299,27.999999999999758,27.999999999993815,28.000000000001926,27.999999999993069,28.000000000003762,28.000000000009159,28.000000000297174,28.000000012029801,28.000000329567623,28.000005569007953,28.0000597182235,28.000421816764273,28.002056331636698,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.549999999999998,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5499998708251241,2.478467396077737
6,27.999999999995083,27.999999999998998,27.999999999998771,28.000000000000053,28.000000000010804,28.000000000002029,27.999999999992955,28.000000000010299,27.999999999999758,27.999999999993815,28.000000000001926,27.999999999993069,28.00000000001134,28.000000000086086,28.000000002817064,28.000000072032222,28.000001235942328,28.000014288575553,28.000113939769246,28.000645656658119,28.002696332776189,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5499991047248955,2.4717587110178592
7,27.999999999995083,27.999999999998998,27.999999999998771,28.000000000000053,28.000000000010804,28.000000000002029,27.999999999992955,28.000000000010299,27.999999999999758,27.999999999993815,28.000000000001926,27.999999999993069,28.000000000037062,28.000000000666937,28.000000015977612,28.000000276163952,28.0000033787015,28.000029635471144,28.000190082564274,28.00091371421578,28.003389945760702,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999989,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5499963211050547,2.4656074589063404
8,27.999999999995083,27.999999999998998,27.999999999998771,28.000000000000053,28.000000000010804,28.000000000002029,27.999999999992955,28.000000000010299,27.999999999999758,27.999999999993815,28.000000000001926,27.999999999993367,28.000000000174619,28.00000000359405,28.000000062160012,28.000000793902686,28.000007513839453,28.000053379223846,28.000289517716208,28.001223956577174,28.004132867662477,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.549999999999998,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5499891432350545,2.4598974782491947
9,27.999999999985494,28.000000000000327,28.000000000014413,28.000000000004462,28.000000000006022,27.999999999988852,27.999999999999861,28.00000000001009,28.000000000001016,27.999999999999329,27.999999999990422,28.000000000025871,28.000000000825185,28.000000014101218,28.000000186138724,28.000001872888522,28.000014481104131,28.000087065651382,28.000413104874205,28.001574542357275,28.004921670457517,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.549999999999998,2.5499999999999994,2.5499999999999972,2.5499999999999985,2.5499999999999989,2.5500000000000007,2.5499999999999989,2.5499999999999972,2.5500000000000012,2.5499999999999972,2.549999999999998,2.5500000000000047,2.5499999999997707,2.5499743707796134,2.4545483057648227
