time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28.000000000000089,28.000000000000004,28.000000000000014,28.000000000000007,27.999999999999012,28.000000000000348,27.999999999999968,28.000000000000021,28.000000000000121,28.00000000000027,28.000000000000064,28.000000000000036,28.000000000000114,28.000000000000064,27.999999999999996,27.999999999999996,28.000000000000018,28.000000000001595,28.00000000622336,28.000003104269112,28.000186671554591,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999972,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5499999999999998,2.5499999999999994,2.5499999999999967,2.5499999999999994,2.5177316508378005
2,28.000000000000089,28.000000000000004,28.000000000000014,28.000000000000007,27.999999999999012,28.000000000000348,27.999999999999968,28.000000000000021,28.000000000000121,28.00000000000027,28.000000000000064,28.000000000000036,28.000000000000114,28.000000000000064,27.999999999999996,27.999999999999996,28.00000000001603,28.000000007149545,28.000000895743206,28.000035676042707,28.000525336275714,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999972,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5499999999999998,2.5499999999999994,2.5499999999999967,2.5499999999999994,2.5044963939422393
3,27.999999999996525,27.999999999995669,27.999999999998998,28.000000000000103,27.999999999998771,27.999999999998892,28.000000000000053,27.999999999999691,28.000000000003681,28.000000000009848,28.000000000000266,27.999999999997524,27.999999999996554,27.999999999993339,28.000000000006228,28.000000000019821,28.000000003029896,28.000000221190273,28.000007279978558,28.000115279707106,28.000961494629305,2.5499999999999998,2.5499999999999994,2.549999999999998,2.5499999999999989,2.5499999999999998,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5499999999999989,2.5500000000000003,2.5500000000000016,2.5499999999999994,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999985,2.5499999999999998,2.5500000000000003,2.5499999999216865,2.4943954183689816
4,27.999999999995083,27.99999999999504,27.999999999998998,28.000000000000103,27.999999999998771,27.999999999998892,28.000000000000053,27.999999999999691,28.000000000006917,28.00000000001544,28.000000000001222,27.99999999999584,27.999999999993285,27.999999999992301,28.000000000020147,28.000000000966132,28.000000052244417,28.000001536291517,28.000025292218446,28.000244420142167,28.001475618578709,2.5499999999999998,2.5499999999999994,2.549999999999998,2.5499999999999989,2.5499999999999998,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5499999999999989,2.5500000000000003,2.5500000000000016,2.5499999999999994,2.5499999999999989,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999985,2.5499999999999998,2.5500000000000003,2.5499999922542287,2.4859150796768632
5,27.999999999995083,27.99999999999504,27.999999999998998,28.000000000000103,27.999999999998771,27.999999999998892,28.000000000000053,27.999999999999712,28.000000000009564,28.000000000019405,28.000000000001805,27.99999999999584,27.999999999992955,27.99999999999498,28.000000000284174,28.000000012155819,28.000000331188421,28.000005581092367,28.000059769169781,28.000421935049722,28.002056479823114,2.5499999999999998,2.5499999999999994,2.549999999999998,2.5499999999999989,2.5499999999999998,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5499999999999989,2.5500000000000003,2.5500000000000016,2.5499999999999994,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499998690385954,2.4784705197013515
6,27.999999999995083,27.99999999999504,27.999999999998998,28.000000000000103,27.999999999998771,27.999999999998892,28.000000000000053,27.999999999999844,28.000000000010804,28.000000000020162,28.000000000002029,27.99999999999584,27.999999999992969,28.000000000062247,28.000000002826631,28.00000007250522,28.00000124005269,28.000014310575803,28.00011401224959,28.000645801638157,28.002696505819511,2.5499999999999998,2.5499999999999994,2.549999999999998,2.5499999999999989,2.5499999999999998,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5499999999999989,2.5500000000000003,2.5500000000000016,2.5499999999999994,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999985,2.5499999999999998,2.5500000000000003,2.5499990970943767,2.4717616770974353
7,27.999999999995083,27.99999999999504,27.999999999998998,28.000000000000103,27.999999999998771,27.999999999998892,28.000000000000053,27.999999999999844,28.000000000010804,28.000000000020162,28.000000000002029,27.99999999999584,28.000000000007091,28.000000000639918,28.000000016078069,28.000000277427304,28.000003386799893,28.00002966950785,28.000190176554987,28.000913883207517,28.003390140578016,2.5499999999999998,2.5499999999999994,2.549999999999998,2.5499999999999989,2.5499999999999998,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5499999999999989,2.5500000000000003,2.5500000000000016,2.5499999999999994,2.5499999999999989,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999985,2.5499999999999998,2.5500000000000003,2.5499963004588913,2.4656102794534061
8,27.999999999995083,27.99999999999504,27.999999999998998,28.000000000000103,27.999999999998771,27.999999999998892,28.000000000000053,27.999999999999844,28.000000000010804,28.000000000020162,28.000000000002029,27.999999999997137,28.000000000136612,28.000000003583143,28.000000062491015,28.000000796579698,28.000007527422852,28.00005342676555,28.000289632697331,28.001224147397565,28.004133081971506,2.5499999999999998,2.5499999999999994,2.549999999999998,2.5499999999999989,2.5499999999999998,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5499999999999989,2.5500000000000003,2.5500000000000016,2.5499999999999994,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499891010333542,2.4599001678981796
9,27.999999999991353,27.999999999992241,27.999999999998455,28.000000000005123,28.000000000003972,28.000000000001226,28.00000000000124,28.000000000005627,28.000000000009216,28.000000000011696,27.999999999999677,28.000000000027072,28.000000000805311,28.000000014207391,28.000000187261161,28.000001879630286,28.000014509655887,28.000087152371862,28.000413294231681,28.001574837965254,28.004921996780219,2.5500000000000003,2.5499999999999985,2.5499999999999989,2.5499999999999998,2.5500000000000016,2.5499999999999967,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000007,2.5499999999999976,2.549999999999998,2.5500000000000047,2.5499999999999994,2.5500000000000038,2.5500000000000003,2.550000000000002,2.5499999999996392,2.549974274295812,2.4545515390231603
