time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
0,0,0,0,0,0,0,0,0,28,28,2.5499999999999998,2.5499999999999998
1,131072,262144,2,1.6081652896094039e-15,0.00045300430693147656,2.5020017144313447e-16,3.3877519631309333e-09,-4.6695216161474446e-18,27.999999999997694,28.000186516045261,2.5179781648444339,2.5500000000058769
2,262144,524288,2,1.6803803023057724e-15,0.00047334656402901146,2.5059853262042434e-16,7.6793385449243635e-09,-1.8166212142820692e-18,27.999999999997694,28.00052512056515,2.5046672925777727,2.5500000000058769
3,294912,589824,2,1.6803803023057724e-15,0.00047334656402901146,2.5080925139806945e-16,7.4615278157228763e-09,9.4530101028805139e-18,27.999999999998469,28.000961178426227,2.4945321198196377,2.5500000000025742
4,327680,655360,2,1.6803803023057724e-15,0.00047334656402901146,2.5106477468461909e-16,7.1290918217241055e-09,1.5725686415606111e-17,27.999999999998469,28.001475225725272,2.4860318289355474,2.5500000000025742
5,360448,720896,2,1.6803803023057724e-15,0.00047334656402901146,2.5128939751072915e-16,6.475905169604915e-09,2.3119815160754374e-17,27.999999999998469,28.002056023706153,2.4785738138586244,2.5500000000025742
6,393216,786432,2,1.6803803023057724e-15,0.00047334656402901146,2.5149338562850481e-16,5.5961670467310918e-09,3.3422090297692516e-17,27.999999999998469,28.002695995188823,2.4718551149217673,2.5500000000025742
7,425984,851968,2,1.6803803023057724e-15,0.00047334656402901146,2.5168184270179904e-16,4.810664698706339e-09,4.5340710096125791e-17,27.999999999998469,28.003389581685109,2.4656960982924865,2.5500000000025742
8,458752,917504,2,1.6803803023057724e-15,0.00047334656402901146,2.5185473863435326e-16,3.6695957953655214e-09,5.5042013744832996e-17,27.999999999998469,28.004132479551998,2.4599798701964524,2.5500000000025742
9,466944,933888,2,1.6803803023057724e-15,0.00047334656402901146,2.5185473863435326e-16,3.7087967213994338e-09,5.7108599067072692e-17,27.999999999999154,28.004921230754444,2.4546253239541089,2.5500000000015279
10,475136,950272,2,1.6882984471175142e-15,0.00047557702735684154,2.5185473863435326e-16,3.7401795411804904e-09,6.0567859396411467e-17,27.999999999999154,28.005752972750976,2.4495734196020664,2.5500000000015279
11,483328,966656,2,1.6882984471175142e-15,0.00047557702735684154,2.519557443057132e-16,3.7960888876299341e-09,6.4418096158889442e-17,27.999999999999154,28.006625289617457,2.4447796262227146,2.5500000000015279
12,491520,983040,2,1.6882984471175142e-15,0.00047557702735684154,2.5209803793264998e-16,3.8528803444829458e-09,6.7304274016956396e-17,27.999999999999154,28.007536105600817,2.4402093631731758,2.5500000000015279
13,499712,999424,2,1.6882984471175142e-15,0.00047557702735684154,2.5222832173409457e-16,3.8645561853521395e-09,7.1128506704133129e-17,27.999999999999154,28.008483612237917,2.4358351405806387,2.5500000000015279
14,507904,1015808,2,1.6882984471175142e-15,0.00047557702735684154,2.5236352687040403e-16,3.8233050600685245e-09,7.6353873851748898e-17,27.999999999999154,28.009466215626009,2.4316346768948218,2.5500000000015279
15,516096,1032192,2,1.6882984471175142e-15,0.00047557702735684154,2.5248669322166469e-16,3.7669214970244722e-09,7.9961167249882981e-17,27.999999999999154,28.010482497198474,2.4275896140275348,2.5500000000015279
16,524288,1048576,2,1.6882984471175142e-15,0.00047557702735684154,2.5260821333188316e-16,3.709808857009268e-09,8.5070200306646389e-17,27.999999999999154,28.011531183859287,2.4236846133823979,2.5500000000015279
17,532480,1064960,2,1.6882984471175142e-15,0.00047557702735684154,2.5272432263090191e-16,3.6435730165240699e-09,9.1900558687235734e-17,27.999999999999154,28.012611124786549,2.4199067032398593,2.5500000000015279
18,540672,1081344,2,1.6882984471175142e-15,0.00047557702735684154,2.5284126132528391e-16,3.5760906581641254e-09,9.4841958467876146e-17,27.999999999999154,28.013721273104444,2.4162447970135017,2.5500000000015279
19,548864,1097728,2,1.6882984471175142e-15,0.00047557702735684154,2.5295147451108287e-16,3.5021394025462458e-09,9.9460125124235554e-17,27.999999999999154,28.014860671182991,2.4126893306852404,2.5500000000015279
20,557056,1114112,2,1.6882984471175142e-15,0.00047557702735684154,2.5305838579262472e-16,3.438889775335929e-09,1.0398138379216828e-16,27.999999999999154,28.016028438692892,2.4092319852507416,2.5500000000015279
21,565248,1130496,2,1.6882984471175142e-15,0.00047557702735684154,2.5316021608022896e-16,3.3655682982129605e-09,1.0913323502535209e-16,27.999999999999154,28.017223762783289,2.405865471013001,2.5500000000015279
22,573440,1146880,2,1.6882984471175142e-15,0.00047557702735684154,2.5326941461252329e-16,3.2921403804954673e-09,1.1385336030248029e-16,27.999999999999385,28.018445889922489,2.4025833576706424,2.5500000000015279
23,581632,1163264,2,1.6882984471175142e-15,0.00047557702735684154,2.5336700767666965e-16,3.2502815650060181e-09,1.1924473093368855e-16,27.99999999999941,28.019694119054602,2.3993799388505876,2.5500000000015279
24,589824,1179648,2,1.6882984471175142e-15,0.00047557702735684154,2.5346451279504365e-16,3.214841882619847e-09,1.2310146627909033e-16,27.99999999999941,28.020967795813384,2.3962501229171069,2.5500000000015279
25,598016,1196032,2,1.6882984471175142e-15,0.00047557702735684154,2.5356501230201184e-16,3.1611022228283887e-09,1.2735417288678602e-16,27.99999999999941,28.022266307589462,2.3931893440844525,2.5500000000015279
26,606208,1212416,2,1.6882984471175142e-15,0.00047557702735684154,2.5365251353795915e-16,3.0994809396281978e-09,1.3281488977813266e-16,27.99999999999941,28.023589079298276,2.3901934894004944,2.5500000000015279
27,614400,1228800,2,1.6882984471175142e-15,0.00047557702735684154,2.5375114193620695e-16,3.0375419876224532e-09,1.3612452907000429e-16,27.99999999999941,28.024935569723972,2.3872588382700806,2.5500000000015279
28,622592,1245184,2,1.6882984471175142e-15,0.00047557702735684154,2.5384016063898534e-16,2.9898684540666259e-09,1.3977141976319662e-16,27.99999999999941,28.026305268342675,2.3843820119821366,2.5500000000015279
29,630784,1261568,2,1.6882984471175142e-15,0.00047557702735684154,2.5392887829219278e-16,2.9613741576802448e-09,1.4132076194063131e-16,27.99999999999941,28.027697692548571,2.3815599312892366,2.5500000000015279
30,638976,1277952,2,1.6882984471175142e-15,0.00047557702735684154,2.5401981129873693e-16,2.9331338705234207e-09,1.4738452213723444e-16,27.999999999999815,28.029112385216472,2.3787897805236504,2.5500000000015279
31,647168,1294336,2,1.6882984471175142e-15,0.00047557702735684154,2.5410613386297184e-16,2.9065301255816142e-09,1.5129194382446924e-16,27.999999999999815,28.030548912553918,2.3760689770588863,2.5500000000015279
32,655360,1310720,2,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.8942624990409489e-09,1.5669331342219219e-16,27.999999999999815,28.032006862197001,2.3733951451748019,2.5500000000015279
33,657408,1316864,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.8375043631706629e-09,1.5705866380237788e-16,28.000000000000039,28.033485845296116,2.3707661014036696,2.5500000000009551
34,659456,1323008,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.7805079641829162e-09,1.5804273489899031e-16,28.000000000008789,28.034985483537437,2.3681798109240209,2.5500000000009551
35,661504,1329152,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.7277636172069817e-09,1.5865164420645171e-16,28.000000000030539,28.036505419389261,2.3656343956038355,2.5500000000009551
36,663552,1335296,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.6702236141712833e-09,1.5986122732072305e-16,28.000000000068734,28.038045310971285,2.363128110686358,2.5500000000009551
37,665600,1341440,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.6088765103556651e-09,1.6139618335065881e-16,28.000000000131667,28.039604830953817,2.3606593318984355,2.5500000000009551
38,667648,1347584,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.5502383302829213e-09,1.6256896010068467e-16,28.000000000231459,28.041183665564223,2.3582265441179864,2.5500000000009551
39,669696,1353728,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.4917912731523028e-09,1.633748418625961e-16,28.000000000385416,28.042781513684982,2.3558283313761526,2.5500000000009551
40,671744,1359872,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.4363004051481828e-09,1.6453646943934862e-16,28.000000000617749,28.044398086034619,2.3534633680067429,2.5500000000009551
41,673792,1366016,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.3815697811846351e-09,1.6607322594097869e-16,28.000000000961574,28.046033104419728,2.3511304107861264,2.5500000000009551
42,675840,1372160,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.3251985330204658e-09,1.677413986072349e-16,28.000000001461018,28.047686301052021,2.3488282919313712,2.5500000000009551
43,677888,1378304,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.2687882873374322e-09,1.6826881390303299e-16,28.000000002174488,28.04935741792281,2.3465559128449081,2.5500000000009551
44,679936,1384448,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.2115528791791575e-09,1.6912859009753625e-16,28.000000003177632,28.05104620622842,2.3443122385104651,2.5500000000009551
45,681984,1390592,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.1503168981308856e-09,1.7037599261380951e-16,28.000000004567401,28.052752425842019,2.3420962924594244,2.5500000000009551
46,684032,1396736,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.0954215086679167e-09,1.7167318475320181e-16,28.000000006466486,28.054475844826474,2.3399071522383124,2.5500000000009551
47,686080,1402880,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,2.0354755809838001e-09,1.7308952969104884e-16,28.000000009027922,28.056216238985289,2.3377439453173903,2.5500000000009551
48,688128,1409024,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,1.9806378915813809e-09,1.7468709251738868e-16,28.000000012440868,28.057973391446122,2.3356058453895225,2.5500000000009551
49,690176,1415168,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,1.9268376929374137e-09,1.7695104788764867e-16,28.00000001693666,28.05974709227598,2.3334920690141683,2.5500000000009551
50,692224,1421312,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,1.8726614720007164e-09,1.7841729107423128e-16,28.000000022795533,28.061537138123448,2.3314018725686481,2.5500000000009551
51,694272,1427456,3,1.6882984471175142e-15,0.00047557702735684154,2.5418835496004735e-16,1.814630860380444e-09,1.7921536168237666e-16,28.000000030353554,28.063343331886504,2.3293345494721183,2.5500000000009551
52,696320,1433600,3,1.6882984471175142e-15,0.00047557702735684154,2.5420730468280621e-16,1.7558939290731885e-09,1.8060515481726321e-16,28.000000040010899,28.065165482403017,2.327289427653997,2.5500000000009551
53,698368,1439744,3,1.6882984471175142e-15,0.00047557702735684154,2.5428029165821152e-16,1.699402749012574e-09,1.8142983072045907e-16,28.000000052239788,28.06700340416247,2.325265867240268,2.5500000000009551
54,700416,1445888,3,1.6882984471175142e-15,0.00047557702735684154,2.5434621674202356e-16,1.6428508504047989e-09,1.8267530952482026e-16,28.000000067593579,28.068856917036573,2.3232632584354778,2.5500000000009551
55,702464,1452032,3,1.6882984471175142e-15,0.00047557702735684154,2.5440616702920074e-16,1.5845581390621754e-09,1.8428384405864913e-16,28.00000008671579,28.070725846027823,2.3212810195806353,2.5500000000009551
56,704512,1458176,3,1.6882984471175142e-15,0.00047557702735684154,2.5447328824638905e-16,1.530107551414487e-09,1.8564132100799321e-16,28.000000110350364,28.072610021034045,2.319318595369344,2.5500000000009551
57,706560,1464320,3,1.6882984471175142e-15,0.00047557702735684154,2.5453562051834092e-16,1.4741800654376875e-09,1.8770591886806032e-16,28.000000139351634,28.074509276627293,2.3173754552067947,2.5500000000009551
58,708608,1470464,3,1.6882984471175142e-15,0.00047557702735684154,2.5460128844461064e-16,1.4160214522177526e-09,1.8950629004054989e-16,28.000000174694652,28.076423451847301,2.3154510916977107,2.5500000000009551
59,710656,1476608,3,1.6882984471175142e-15,0.00047557702735684154,2.5466296523008961e-16,1.35716549386208e-09,1.912787847514138e-16,28.000000217486331,28.078352390006931,2.3135450192513329,2.5500000000009551
60,712704,1482752,3,1.6882984471175142e-15,0.00047557702735684154,2.5471737054532362e-16,1.300259714917812e-09,1.934208071045568e-16,28.000000268976699,28.080295938509039,2.311656772792321,2.5500000000009551
61,714752,1488896,3,1.6882984471175142e-15,0.00047557702735684154,2.5478650730633083e-16,1.2402037384770211e-09,1.9417036347930306e-16,28.000000330569907,28.082301999153408,2.3097859234949114,2.5500000000009551
62,716800,1495040,3,1.6882984471175142e-15,0.00047557702735684154,2.5484686781474235e-16,1.1831483370173125e-09,1.9490125469154813e-16,28.000000403836186,28.084361545715119,2.3079320413936673,2.5500000000009551
63,718848,1501184,3,1.6882984471175142e-15,0.00047557702735684154,2.5490477866049317e-16,1.1246181372467858e-09,1.9601178106630987e-16,28.000000490523274,28.086460368276754,2.3060947109073506,2.5500000000009551
64,720896,1507328,3,1.6882984471175142e-15,0.00047557702735684154,2.5496735707902735e-16,1.0654532613131802e-09,1.9689137527075016e-16,28.000000592568259,28.088593316210172,2.3042735361172362,2.5500000000009551
65,722944,1513472,3,1.6882984471175142e-15,0.00047557702735684154,2.5501900988708953e-16,1.0042079240744982e-09,1.9781793651895257e-16,28.000000712109177,28.090757360274832,2.3024681372312066,2.5500000000009551
66,724992,1519616,3,1.6882984471175142e-15,0.00047557702735684154,2.5508298761114261e-16,9.4736259062107376e-10,1.9920108522863355e-16,28.000000851497141,28.092950417495828,2.3006781493295927,2.5500000000009551
