time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
0,0,0,0,0,0,0,0,0,30.784068634865761,33,1.0660535349758022,1.2
1,4096,8192,2,6.774303202590908e-16,0.000307923028193385,2.2684147326271079e-16,-3.8866304727554202e-10,-5.9864851172663099e-19,30.781700798965364,32.995755070706856,1.0660507789343077,1.199991749374254
2,8192,16384,2,6.774303202590908e-16,0.000307923028193385,2.2684253774875461e-16,-7.746144012679701e-10,-9.3665981697656017e-19,30.779337406017628,32.991513750091698,1.0660480274370205,1.1999834991188665
3,12288,24576,2,6.774303202590908e-16,0.000307923028193385,2.2684369923973538e-16,-1.1652475529074467e-09,-1.7808753502089234e-18,30.776976458949893,32.987276030592987,1.066045279561723,1.1999752492249449
4,16384,32768,2,6.774303202590908e-16,0.000307923028193385,2.2684471028964369e-16,-1.5683096500607695e-09,-2.4205501447729834e-18,30.774617739584272,32.983041908978343,1.0660425345988345,1.199966999686302
5,20480,40960,2,6.774303202590908e-16,0.000307923028193385,2.2684582613135649e-16,-1.9580788844183496e-09,-2.869964447440793e-18,30.77226116429938,32.978811382139611,1.0660397920000011,1.1999587504986706
6,24576,49152,2,6.9301474543207897e-16,0.00031501351465349858,2.268470337540627e-16,-2.3356226290039209e-09,-2.7838561577177829e-18,30.769906689787266,32.97458444700186,1.0660370513394872,1.1999505016590384
7,28672,57344,2,6.9301474543207897e-16,0.00031501351465349858,2.2684814824695614e-16,-2.7169177856936275e-09,-3.3631571819430596e-18,30.767554289766903,32.970361100502885,1.0660343122850517,1.1999422531653214
8,32768,65536,2,6.9301474543207897e-16,0.00031501351465349858,2.2684925541203794e-16,-3.0854818042452652e-09,-3.7876070931970976e-18,30.765203946579643,32.96614133958893,1.0660315745760007,1.1999340050160228
9,36864,73728,2,6.9301474543207897e-16,0.00031501351465349858,2.2685036525666996e-16,-3.4753363391303374e-09,-4.2078559007849983e-18,30.762855647469785,32.961925161211127,1.0660288380066083,1.199925757210085
10,40960,81920,2,6.9301474543207897e-16,0.00031501351465349858,2.268513215910389e-16,-3.8688320236259649e-09,-4.7130347006188826e-18,30.760509382704178,32.95771256232468,1.0660261024134936,1.199917509746754
