time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,33,32.993714275587109,32.974880806891072,32.943570608215012,32.899901706085103,32.844038644809487,32.776191797308648,32.696616484248501,32.605611905350024,32.503519887574249,32.390723455685155,32.267645231471924,32.134745668662298,31.992521131277694,31.841501823864157,31.682249582678825,31.515355537516182,31.341437654419043,31.161138170033858,30.975120928835967,30.784068634865761,1.2,1.1995876586542502,1.1983531847055127,1.1963042108967175,1.1934534001838224,1.1898183587539637,1.1854215151305854,1.18028996623742,1.1744552915311754,1.1679533365425252,1.1608239673848118,1.1531107979981163,1.1448608920915075,1.1361244419268759,1.1269544262525144,1.1174062498422423,1.1075373672253752,1.0974068933032117,1.0870752036381868,1.0766035272717391,1.0660535349758022
1,32.995755070706856,32.989474688175392,32.970657208928515,32.939373592203346,32.895741764385967,32.839926130098931,32.772136883658341,32.69262912897176,32.601701811735786,32.49969646872966,32.386995799486847,32.264022067033437,32.131235334179649,31.98913154350716,31.838240449464458,31.679123411290423,31.512371056913256,31.338600827750998,31.158454413539943,30.972594905234761,30.781700798965364,1.199991749374254,1.1995794251528733,1.1983450021281461,1.1962961128464173,1.1934454197372435,1.1898105282622309,1.1854138660210345,1.1802825288179433,1.1744480948070934,1.1679464080425934,1.1608173329905698,1.153104481791934,1.1448549162169457,1.1361188264541178,1.1269491890674805,1.1174014065452418,1.1075329310466722,1.09740287503446,1.0870716115797494,1.0766003671973914,1.0660507789343077
2,32.991513750091698,32.985238699982816,32.96643719673704,32.935180139401034,32.891585354423,32.835817106858521,32.768085412574322,32.688645158904428,32.597795037743289,32.495876295910705,32.383271308021932,32.260401978614503,32.127727979917488,31.985744833455076,31.834981843926069,31.675999893976318,31.509389110088446,31.335766408643906,31.155772895395426,30.970070582063563,30.779337406017628,1.1999834991188665,1.1995711919910885,1.1983368198883892,1.1962880151300384,1.1934374396198313,1.1898026980936327,1.185406217227061,1.1802750917053262,1.1744408983800341,1.1679394798284641,1.1608106988699991,1.1530981658464106,1.1448489405888527,1.1361132112130496,1.1269439520985463,1.1173965634481346,1.107528495051046,1.0973988569314632,1.0870680196694731,1.0765972072531269,1.0660480274370205
3,32.987276030592987,32.981006308103495,32.962220767258856,32.930990246781491,32.887432473195403,32.831711572122792,32.764037381135346,32.684664571174814,32.593891580550235,32.492059366365623,32.379549978599982,32.256784963602904,32.124223603351162,31.982360998674761,31.831726004899014,31.672879028480686,31.506409694634883,31.332934387908974,31.153093562695229,30.967548285452725,30.776976458949893,1.1999752492249449,1.1995629591688932,1.1983286379862348,1.1962799177476233,1.1934294598315873,1.1897948682480781,1.1853985687486486,1.1802676548995079,1.1744337022499161,1.1679325519001333,1.1608040650231031,1.1530918501615002,1.1448429652072338,1.1361075962036593,1.1269387153457009,1.1173917205508852,1.1075240592384694,1.0973948389942136,1.0870644279073669,1.0765940474378339,1.066045279561723
4,32.983041908978343,32.976777509499222,32.958007917459206,32.926803911320633,32.883283117707414,32.827609522931233,32.759992786420945,32.680687362911016,32.589991437339584,32.488245677341787,32.375831808536674,32.253171019388809,32.120722201953356,31.978980036724348,31.828472930033278,31.669760812488853,31.503432806984069,31.330104751367212,31.150416419075771,30.965028127968786,30.774617739584272,1.199966999686302,1.1995547266862803,1.198320456421647,1.1962718206991698,1.1934214803725181,1.1897870387255765,1.185390920585774,1.1802602184004694,1.1744265064167236,1.1679256242575973,1.1607974314498459,1.1530855347371838,1.1448369900720838,1.136101981425931,1.1269334788089178,1.1173868778534772,1.1075196236089118,1.0973908212227121,1.0870608362934069,1.0765908877492525,1.0660425345988345
5,32.978811382139611,32.972552301114462,32.95379864430565,32.922621129997381,32.87913728496499,32.823510956323858,32.755951625514022,32.676713531244175,32.586094605298918,32.484435226088152,32.372116795149644,32.249560143365251,32.117223773198148,31.975601945164545,31.825222616966876,31.666645243452631,31.50045844209594,31.327277488997517,31.147741486355962,30.962510136120514,30.77226116429938,1.1999587504986706,1.1995464945432359,1.1983122751946065,1.1962637239846887,1.193413501242595,1.189779209526082,1.1853832727384328,1.1802527822081885,1.1744193108804348,1.1679186969008337,1.1607907981502452,1.1530792195734398,1.1448310151833951,1.1360963668798412,1.1269282424881979,1.1173820353558885,1.1075151881623766,1.0973868036169536,1.0870572448276037,1.0765877281840532,1.0660397920000011
6,32.97458444700186,32.968330679895423,32.949592944766366,32.918441899795013,32.874994971977451,32.819415869344013,32.751913895498284,32.672743073307835,32.582201081616397,32.480628009856382,32.368404935758988,32.245952332926919,32.113728314561889,31.97222672155473,31.821975063289479,31.663532318436605,31.497486594513649,31.324452596739068,31.145068783120585,30.959994314320927,30.769906689787266,1.1999505016590384,1.1995382627397624,1.1983040943051024,1.1962556276041747,1.1934055224418278,1.1897713806495946,1.1853756252065828,1.1802453463226541,1.174412115641019,1.16791176982985,1.1607841651242716,1.1530729046702555,1.1448250405411702,1.1360907525653898,1.1269230063835161,1.117377193058108,1.1075107528988517,1.0973827861769276,1.0870536535099342,1.0765845687380184,1.0660370513394872
7,32.970361100502885,32.964112642792387,32.945390815809937,32.914266217699549,32.870856175756174,32.815324259037752,32.747879593461398,32.668775986236959,32.578310863483168,32.476824025899873,32.364696227686849,32.242347585471165,32.110235823521883,31.968854363445217,31.818730266494221,31.660422034169788,31.494517259399117,31.321630074186114,31.142398322055051,30.957480660547287,30.767554289766903,1.1999422531653214,1.1995300312758392,1.1982959137531082,1.1962475315576291,1.1933975439701825,1.1897635520960883,1.1853679779902107,1.1802379107438725,1.1744049206984588,1.1679048430446215,1.1607775323719247,1.1530665900276023,1.1448190661454105,1.1360851384825597,1.1269177704948468,1.1173723509601026,1.1075063178183082,1.0973787689026469,1.0870500623403903,1.0765814094063919,1.0660343122850517
8,32.96614133958893,32.959898186759233,32.941192254405451,32.910094080699388,32.866720893315673,32.811236122453273,32.743848716493325,32.664812267169999,32.574423948093191,32.473023271474638,32.360990668258346,32.238745898397447,32.10674629755561,31.965484868363703,31.815488223953185,31.657314387240536,31.491550432908522,31.318809922502538,31.139730111202731,30.954969170857773,30.765203946579643,1.1999340050160228,1.1995218001514396,1.1982877335386188,1.1962394358450343,1.1933895658276619,1.189755723865535,1.1853603310893186,1.1802304754718178,1.1743977260527314,1.167897916545138,1.1607708998932003,1.1530602756454564,1.1448130919960966,1.1360795246313464,1.1269125348222195,1.1173675090618784,1.1075018829207504,1.0973747517941008,1.0870464713189767,1.0765782501841463,1.0660315745760007
9,32.961925161211127,32.955687308753319,32.93699725752527,32.90592548578546,32.862589121672983,32.807151456641236,32.739821261685556,32.660851913247726,32.570540332641961,32.469225743838578,32.357288254799641,32.235147269106676,32.103259734135932,31.962118233802894,31.81224893293032,31.654209374289803,31.48858611212043,31.315992143248629,31.137064155411025,30.952459840861749,30.762855647469785,1.199925757210085,1.1995135693665617,1.1982795536615978,1.1962313404664104,1.1933815880142398,1.1897478959579237,1.1853526845038793,1.1802230405064833,1.1743905317038132,1.1678909903313952,1.1607642676880721,1.1530539615238267,1.1448071180932224,1.1360739110117257,1.1269072993655727,1.1173626673634163,1.1074974482061595,1.0973707348512587,1.0870428804456858,1.0765750910662459,1.0660288380066083
