time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
0,0,0,0,0,0,0,0,0,28,28,2.5499999999999998,2.5499999999999998
1,4,4,1,9.7639542411383319e-16,0.00027504096453910787,1.33869434342127e-16,5.8687627735309908e-12,7.290612558108658e-21,27.99999999999994,28.000000000000082,2.549999999999998,2.5500000000000016
2,8,8,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,9.5929946120065776e-12,1.2706724561440023e-20,27.999999999999897,28.000000000000124,2.5499999999999972,2.5500000000000034
3,12,12,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,1.2541778797725553e-11,4.3915981962073887e-21,27.999999999999865,28.000000000000163,2.5499999999999963,2.5500000000000038
4,16,16,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,1.5728183964114345e-11,6.0174087934694626e-22,27.999999999999858,28.000000000000195,2.5499999999999963,2.5500000000000038
5,20,20,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,1.8418646270390579e-11,5.7331916991654237e-22,27.999999999999858,28.000000000000213,2.5499999999999963,2.5500000000000038
6,24,24,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,2.154244864271959e-11,5.4489746048613849e-22,27.999999999999858,28.000000000000224,2.5499999999999963,2.5500000000000038
7,28,28,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,2.3435943568017591e-11,5.164757510557346e-22,27.999999999999858,28.000000000000249,2.5499999999999963,2.5500000000000038
8,32,32,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,2.4590102718491377e-11,4.8805404162533071e-22,27.999999999999858,28.000000000000274,2.5499999999999963,2.5500000000000038
9,36,36,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,2.5819929980741561e-11,4.5963233219492683e-22,27.999999999999858,28.000000000000291,2.5499999999999963,2.5500000000000038
10,40,40,1,1.0205039263206875e-15,0.00028746589473822165,1.33869434342127e-16,2.7163827489573575e-11,4.3121062276452294e-22,27.999999999999858,28.000000000000316,2.5499999999999963,2.5500000000000038
