time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
0,0,0,0,0,0,0,0,0,28,28,1.1000000000000001,1.2000000000000002
1,4096,8192,2,6.6035824278752034e-16,0.00030038345411829547,2.1352489522902072e-16,7.3928518029565242e-12,-2.9208089933719792e-19,27.999999999999336,28.00000000000081,1.0990049782601874,1.1980125139571867
2,8192,16384,2,7.2371756495204544e-16,0.00032933016092849386,2.1385681592310126e-16,7.3928518029565242e-12,-3.4234326263866968e-19,27.999999999999336,28.00000000000081,1.09801985543923,1.1960440463542621
3,12288,24576,2,7.2371756495204544e-16,0.00032933016092849386,2.142127769547904e-16,7.3928518029565242e-12,-6.8196358887248257e-19,27.999999999999336,28.00000000000081,1.0970445340148083,1.1940947385109217
4,16384,32768,2,7.604053075977033e-16,0.00034680995394786212,2.1456462734148835e-16,7.3928518029565242e-12,-9.5152051522622641e-19,27.999999999999336,28.00000000000081,1.0960789168599638,1.1921645705233659
5,20480,40960,2,7.604053075977033e-16,0.00034680995394786212,2.1491516280340148e-16,7.3928518029565242e-12,-1.3051463792484516e-18,27.999999999999336,28.00000000000081,1.0951229075849929,1.1902534439014489
6,24576,49152,2,7.604053075977033e-16,0.00034680995394786212,2.1525938063998124e-16,7.3928518029565242e-12,-1.5534833828544312e-18,27.999999999999336,28.00000000000081,1.094176410665834,1.1883612211456935
7,28672,57344,2,7.604053075977033e-16,0.00034680995394786212,2.1558688750522363e-16,7.3928518029565242e-12,-1.6367893756548031e-18,27.999999999999336,28.00000000000081,1.0932393314894813,1.1864877451122227
8,32768,65536,2,7.604053075977033e-16,0.00034680995394786212,2.1593436468734355e-16,7.3928518029565242e-12,-1.7340197262212835e-18,27.999999999999336,28.00000000000081,1.0923115763669837,1.1846328487315267
9,36864,73728,2,7.604053075977033e-16,0.00034680995394786212,2.162682404990525e-16,7.3928518029565242e-12,-1.9962226033391246e-18,27.999999999999336,28.00000000000081,1.0913930525333881,1.1827963600321327
10,40960,81920,2,7.604053075977033e-16,0.00034680995394786212,2.1660216777894665e-16,7.3928518029565242e-12,-2.4999078838959628e-18,27.999999999999336,28.00000000000081,1.0904836681426613,1.1809781048250039
