time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1.1000000000000001,1.1002500000000002,1.101,1.1022500000000002,1.1040000000000001,1.1062500000000002,1.109,1.1122500000000002,1.1160000000000001,1.1202500000000002,1.125,1.13025,1.1360000000000001,1.14225,1.149,1.15625,1.1640000000000001,1.17225,1.181,1.19025,1.2000000000000002
1,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.0990049782601874,1.0992524873362832,1.0999950247207217,1.1012325870280495,1.1029651742583249,1.1051927864115754,1.1079154234877517,1.1111330854868606,1.1148457724089196,1.1190534842539281,1.1237562210218541,1.1289539827127468,1.1346467693265594,1.1408345808633353,1.1475174173230691,1.1546952787057063,1.1623681650113111,1.1705360762398629,1.1791990123913303,1.1883569734657631,1.1980125139571867
2,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.09801985543923,1.0982649000894342,1.0990000491125147,1.1002252974843112,1.1019406452048439,1.1041460922741211,1.1068416386920998,1.1100272844588297,1.1137030295742689,1.1178688740384535,1.1225248178513316,1.1276708610129609,1.1333070035233173,1.1394332453824072,1.1460495865902696,1.1531560271467871,1.1607525670520624,1.1688392063060917,1.1774159449088271,1.1864827828603075,1.1960440463542621
3,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.0970445340148083,1.0972871394998311,1.0980149736770477,1.0992280306389877,1.1009263103857641,1.1031098129173618,1.1057785382336955,1.1089324863348624,1.1125716572208197,1.1166960508915778,1.1213056673470945,1.126400506587433,1.1319805686125659,1.1380458534225089,1.1445963610172716,1.1516320913967881,1.1591530445611273,1.1671592205102699,1.175650619244222,1.1846272407632048,1.1940947385109217
4,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.0960789168599638,1.0963191077906598,1.0970396999059238,1.0982406867645889,1.099922068366773,1.1020838447124703,1.104726015801597,1.1078485816342589,1.1114515422103803,1.1155348975299708,1.1200986475930645,1.1251427923996435,1.1306673319497103,1.1366722662432776,1.1431575952803472,1.1501233190608804,1.1575694375849068,1.1654959508524427,1.1739028588635017,1.1827901616202336,1.1921645705233659
5,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.0951229075849929,1.0953607081579535,1.0960741302709538,1.0972631671258843,1.0989278187228317,1.1010680850617747,1.1036839661426756,1.1067754619656076,1.1103425725305065,1.1143852978373963,1.1189036378862736,1.1238975926771342,1.1293671622099757,1.1353123464848367,1.1417331455017208,1.1486295592605669,1.1560015877614216,1.1638492310042874,1.1721724889891685,1.1809713617277002,1.1902534439014489
6,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.094176410665834,1.094411844760915,1.0951181682143825,1.0962953739700951,1.0979434620281423,1.1000624323884953,1.1026522850511333,1.1057130200160745,1.1092446372833338,1.1132471368528867,1.1177205187247423,1.1226647828988752,1.1280799293753494,1.1339659581541035,1.1403228692352319,1.147150662618629,1.1544493383043724,1.1622188962923954,1.1704593365827871,1.179170659218485,1.1883612211456935
7,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.0932393314894813,1.0934724227124517,1.0941717181392234,1.0953372105171117,1.0969688998462312,1.0990667861265004,1.1016308693579604,1.1046611495405851,1.1081576266744038,1.1121203007594094,1.116549171795548,1.1214442397828901,1.1268055047214205,1.132632966611129,1.1389266254520782,1.1456864812441627,1.1529125339874839,1.1606047836819664,1.1687632303276705,1.1773878740486827,1.1864877451122227
8,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.0923115763669837,1.0925423480695748,1.0932346853996333,1.0943885809497924,1.0960040347200428,1.0980810467103661,1.1006196169207456,1.103619745351208,1.1070814320017599,1.1110046768723949,1.1153894799630815,1.1202358412738354,1.1255437608047003,1.1313132385556415,1.1375442745267004,1.1442368687178199,1.1513910211290623,1.1590067317603652,1.1670840006118148,1.175622827983223,1.1846328487315267
9,28.000000000000032,28,27.999999999999854,27.999999999999979,28,28.000000000000004,27.999999999999982,27.99999999999995,27.99999999999994,27.999999999999996,27.999999999999993,27.999999999999996,27.999999999999996,28,28.000000000000206,27.999999999999709,28,28.000000000000327,28,27.999999999999993,28,1.0913930525333881,1.0916215278240309,1.0923069762916082,1.0934493904043761,1.0950487701622797,1.0971051155652953,1.0996184266134279,1.1025887033066819,1.1060159456450409,1.1099001536285316,1.1142413272571399,1.1190394665308621,1.1242945714497405,1.13000664201373,1.1361756782228849,1.1428016800771401,1.1498846475765707,1.1574245807210983,1.165421479510836,1.1738753445798624,1.1827963600321327
