field,refinement,time_s,radius_cm,coarse_raw,fine_raw,coarse_4dp,fine_4dp
T,time,159,1.9,28.28465008280606,28.28464976665884,28.2847,28.2846
T,time,186,1.7,28.232150264466775,28.23214986518916,28.2322,28.2321
T,time,190,0.4,28.00785017444861,28.00784998543769,28.0079,28.0078
T,time,202,0.2,28.00715005141027,28.007149853314637,28.0072,28.0071
T,time,215,1.9,28.439650100674932,28.439649771324053,28.4397,28.4396
T,time,223,1.2,28.107850367647412,28.107849901386885,28.1079,28.1078
T,time,230,0.2,28.01365024765005,28.013649951173367,28.0137,28.0136
T,time,238,1.4,28.193950345815818,28.19394987837647,28.1940,28.1939
T,time,246,0.7,28.046050045916836,28.046049606147964,28.0461,28.0460
T,time,259,0.2,28.02365006736691,28.02364966605869,28.0237,28.0236
T,time,266,1.8,28.497950360303584,28.497949743680355,28.4980,28.4979
T,time,271,1.8,28.513350100922093,28.513349453439297,28.5134,28.5133
T,time,285,0.5,28.052850223785942,28.05284970688844,28.0529,28.0528
T,time,291,1.4,28.290750013108248,28.29074934554119,28.2908,28.2907
T,time,296,1.3,28.252150499793668,28.25214983328887,28.2522,28.2521
T,time,300,0.8,28.105450126852507,28.10544953615926,28.1055,28.1054
T,time,306,1.3,28.27095019110932,28.27094947347522,28.2710,28.2709
T,time,317,0.2,28.05505040399884,28.05504981513335,28.0551,28.0550
T,time,319,0.5,28.078550505862136,28.078549889958992,28.0786,28.0785
T,time,320,1.4,28.353950709520916,28.35394990911798,28.3540,28.3539
T,time,321,1.3,28.30085008918557,28.300849304900538,28.3009,28.3008
T,time,333,0.7,28.121550007991747,28.121549316912198,28.1216,28.1215
T,time,334,0.7,28.122650388695472,28.12264969383752,28.1227,28.1226
T,time,354,0.8,28.169350335953173,28.169349546216885,28.1694,28.1693
T,time,357,0.6,28.130050591768278,28.130049827764534,28.1301,28.1300
T,time,362,1.8,28.835750079076494,28.8357493896951,28.8358,28.8357
T,time,371,0.1,28.09485064133635,28.09484987681616,28.0949,28.0948
T,time,375,0.9,28.230450638613977,28.230449768217706,28.2305,28.2304
T,time,376,1.7,28.76935020783906,28.76934945571059,28.7694,28.7693
T,time,378,1.1,28.317550290071257,28.317549404020117,28.3176,28.3175
T,time,379,1.3,28.432350477901604,28.432349610403346,28.4324,28.4323
T,time,391,0.6,28.172050316596607,28.172049434465773,28.1721,28.1720
T,time,410,0.0,28.133650868462873,28.133649960658644,28.1337,28.1336
T,time,413,0.8,28.25985065042622,28.259849693383625,28.2599,28.2598
T,time,414,1.3,28.520850272388973,28.520849355785188,28.5209,28.5208
T,time,416,0.6,28.20735020121134,28.20734924433002,28.2074,28.2073
T,time,426,1.8,29.07755010608175,29.07754935250814,29.0776,29.0775
T,time,428,1.2,28.48695005586199,28.486949098737668,28.4870,28.4869
T,time,434,1.7,28.975350219677974,28.97534943434283,28.9754,28.9753
T,time,435,0.6,28.236650724482136,28.236649715938263,28.2367,28.2366
T,time,439,1.3,28.587950160987496,28.58794920895228,28.5880,28.5879
T,time,444,1.2,28.527350707659718,28.52734972756283,28.5274,28.5273
T,time,449,0.7,28.28945020276897,28.289449160004725,28.2895,28.2894
T,time,449,1.3,28.615650835987363,28.61564988066139,28.6157,28.6156
T,time,453,0.6,28.26635058222342,28.266349527685183,28.2664,28.2663
T,time,458,0.4,28.22955071553523,28.229549646860644,28.2296,28.2295
T,time,458,0.9,28.386350742297957,28.38634969431852,28.3864,28.3863
T,time,461,0.6,28.28015068148045,28.280149607490742,28.2802,28.2801
T,time,461,0.7,28.311350967173006,28.311349897211358,28.3114,28.3113
T,time,462,1.5,28.84025043780044,28.840249588452032,28.8403,28.8402
T,time,465,0.5,28.26125093349548,28.261249847341272,28.2613,28.2612
T,time,465,1.1,28.513350155223275,28.513349136128568,28.5134,28.5133
T,time,466,1.5,28.853150290679903,28.85314944657798,28.8532,28.8531
T,time,467,1.6,28.968950055391492,28.968949273411724,28.9690,28.9689
T,time,468,1.2,28.590250262996705,28.590249274980348,28.5903,28.5902
T,time,470,0.0,28.212550517045262,28.212549415064984,28.2126,28.2125
T,time,472,1.0,28.469550506681852,28.469549458202927,28.4696,28.4695
T,time,474,0.9,28.420850094586978,28.420849023780672,28.4209,28.4208
T,time,475,0.9,28.423050297267828,28.423049225309086,28.4231,28.4230
T,time,484,0.6,28.321850838630223,28.321849714632787,28.3219,28.3218
T,time,501,0.6,28.354551057340878,28.35454990393596,28.3546,28.3545
T,time,506,1.6,29.10185027457518,29.101849436848838,29.1019,29.1018
T,time,517,0.4,28.33145007313184,28.33144885832995,28.3315,28.3314
T,time,525,0.4,28.346750634710453,28.34674938698501,28.3468,28.3467
T,time,531,1.0,28.615050256040245,28.615049135595388,28.6151,28.6150
T,time,534,0.5,28.390150872439516,28.390149606144515,28.3902,28.3901
T,time,540,2.0,29.878450765626983,29.878449857537113,29.8785,29.8784
T,time,547,0.8,28.538051004545373,28.538049766556963,28.5381,28.5380
T,time,547,1.9,29.721750750159213,29.721749828346343,29.7218,29.7217
T,time,548,0.6,28.452650622315627,28.45264932916829,28.4527,28.4526
T,time,554,0.9,28.611051075860235,28.611049836871697,28.6111,28.6110
T,time,556,0.5,28.436450122756824,28.436448780131194,28.4365,28.4364
T,time,561,0.2,28.383550682276645,28.38354927834808,28.3836,28.3835
T,time,574,1.5,29.21935030642227,29.21934913413577,29.2194,29.2193
T,time,577,1.3,28.999850256196833,28.999849002195518,28.9999,28.9998
T,time,578,0.4,28.456350976133884,28.456349537745304,28.4564,28.4563
T,time,579,0.5,28.48735059756714,28.487349171999984,28.4874,28.4873
T,time,580,0.2,28.422950005371757,28.422948536025924,28.4230,28.4229
T,time,582,1.4,29.126350427510054,29.126349196173937,29.1264,29.1263
T,time,584,0.5,28.49875050557579,28.498749061144988,28.4988,28.4987
T,time,590,1.7,29.56755013653671,29.56754905663416,29.5676,29.5675
T,time,591,1.8,29.73875051600213,29.73874949935559,29.7388,29.7387
T,time,592,0.2,28.448751359142154,28.448749848042564,28.4488,28.4487
T,time,595,0.5,28.524251079863035,28.52424959322555,28.5243,28.5242
T,time,597,1.5,29.304650415487,29.304649204766893,29.3047,29.3046
T,time,600,0.8,28.671650530395137,28.67164907564498,28.6717,28.6716
T,time,601,1.0,28.80685009325037,28.806848678616266,28.8069,28.8068
T,time,622,1.4,29.26935063461674,29.269349296487935,29.2694,29.2693
T,time,623,1.2,29.049851182942646,29.049849766282914,29.0499,29.0498
T,time,623,1.5,29.403451048983566,29.403449734348644,29.4035,29.4034
T,time,628,1.2,29.066451315222825,29.06644987971769,29.0665,29.0664
T,time,630,0.8,28.753150752030784,28.753149188498742,28.7532,28.7531
T,time,634,0.2,28.544550276793284,28.544548611915655,28.5446,28.5445
T,time,640,0.8,28.781250816663547,28.78124921854665,28.7813,28.7812
T,time,642,1.9,30.16925065755487,30.169249329328338,30.1693,30.1692
T,time,643,1.8,29.97565036353509,29.975648977734707,29.9757,29.9756
T,time,647,0.1,28.565151388436046,28.565149671147307,28.5652,28.5651
T,time,649,0.7,28.74865050427801,28.748648851491343,28.7487,28.7486
T,time,649,1.9,30.205550682340313,30.205549322110073,30.2056,30.2055
T,time,654,0.3,28.61145032762464,28.61144859677196,28.6115,28.6114
T,time,656,0.6,28.717950718693846,28.71794902113816,28.7180,28.7179
T,time,660,0.4,28.652751392414256,28.652749650474366,28.6528,28.6527
T,time,662,1.6,29.712651352352836,29.712649799439234,29.7127,29.7126
T,time,663,0.6,28.737050193735588,28.737048470123312,28.7371,28.7370
T,time,664,0.4,28.663151708268373,28.663149951810727,28.6632,28.6631
T,time,666,0.1,28.61205014487451,28.612048358476144,28.6121,28.6120
T,time,666,1.4,29.43585104288159,29.435849432529434,29.4359,29.4358
T,time,667,1.9,30.300350193455937,30.300348916997144,30.3004,30.3003
T,time,670,1.6,29.747951203814953,29.747949632754345,29.7480,29.7479
T,time,672,0.3,28.657451426811637,28.65744963074093,28.6575,28.6574
T,time,674,1.3,29.33975121430731,29.339749547380393,29.3398,29.3397
T,time,679,1.3,29.358650834487825,29.358649145799507,29.3587,29.3586
