time_s,T_r0.0cm,T_r0.1cm,T_r0.2cm,T_r0.3cm,T_r0.4cm,T_r0.5cm,T_r0.6cm,T_r0.7cm,T_r0.8cm,T_r0.9cm,T_r1.0cm,T_r1.1cm,T_r1.2cm,T_r1.3cm,T_r1.4cm,T_r1.5cm,T_r1.6cm,T_r1.7cm,T_r1.8cm,T_r1.9cm,T_r2.0cm,C_r0.0cm,C_r0.1cm,C_r0.2cm,C_r0.3cm,C_r0.4cm,C_r0.5cm,C_r0.6cm,C_r0.7cm,C_r0.8cm,C_r0.9cm,C_r1.0cm,C_r1.1cm,C_r1.2cm,C_r1.3cm,C_r1.4cm,C_r1.5cm,C_r1.6cm,C_r1.7cm,C_r1.8cm,C_r1.9cm,C_r2.0cm
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28,28.000000000000004,28,28.000000000000011,28,28,28,28.000000000000004,27.999999999999911,27.999999999999485,28,28,28,28,28,28,28.000000000000007,28.000000000000171,28.000000006149417,28.000003097020358,28.000186609322778,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5500000000000003,2.5499999999999972,2.5500000000000007,2.5499999999999998,2.5499999999999967,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5177272388330469
2,28,28.000000000000004,28,28.000000000000011,28,28,28,28.000000000000004,27.999999999999911,27.999999999999485,28,28,28,28,28,28,28.000000000000007,28.000000007074316,28.000000893588801,28.000035652238207,28.000525249746985,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5500000000000003,2.5499999999999972,2.5500000000000007,2.5499999999999998,2.5499999999999967,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.504493300899636
3,28.000000000000085,28,27.99999999999995,28.000000000000021,27.999999999999968,27.999999999999979,28.000000000000004,28.000000000000004,27.999999999999961,27.999999999999755,28.000000000000025,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999993,28.000000000003393,28.000000002969632,28.000000219824052,28.000007264025445,28.000115204238821,28.000961334283478,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5499999999254168,2.4943920497923693
4,28.000000000000085,28,27.99999999999995,28.000000000000021,27.999999999999968,27.999999999999979,28.000000000000004,28.000000000000004,27.999999999999961,27.999999999999755,28.000000000000025,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999993,28.000000000935927,28.000000051773309,28.000001530232939,28.00002525360129,28.000244296564595,28.00147540333738,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999989,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5499999924396928,2.4859118012010293
5,28.000000000000085,28,27.99999999999995,28.000000000000021,27.999999999999968,27.999999999999979,28.000000000000004,28.000000000000004,27.999999999999961,27.999999999999755,28.000000000000025,27.999999999999993,28.000000000000004,28.000000000000004,28.000000000248725,28.000000012009753,28.000000329277086,28.000005566169321,28.000059703471326,28.000421768278859,28.002056219961069,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.549999999999998,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5499998708251241,2.478467396077737
6,28.000000000000085,28,27.99999999999995,28.000000000000021,27.999999999999968,27.999999999999979,28.000000000000004,28.000000000000004,27.999999999999961,27.999999999999755,28.000000000000025,27.999999999999993,28.000000000000004,28.000000000039375,28.000000002761663,28.000000071946687,28.00000123509076,28.000014283087324,28.000113917763947,28.00064559602755,28.002696207888818,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5499991047248955,2.4717587110178592
7,28.000000000000085,28,27.99999999999995,28.000000000000021,27.999999999999968,27.999999999999979,28.000000000000004,28.000000000000004,27.999999999999961,27.999999999999755,28.000000000000025,27.999999999999993,28.000000000000004,28.000000000610271,28.000000015901048,28.000000275910146,28.000003376891229,28.000029626603681,28.000190053005124,28.000913642374023,28.003389809172553,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999989,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5499963211050547,2.4656074589063404
8,28.000000000000085,28,27.99999999999995,28.000000000000021,27.999999999999968,27.999999999999979,28.000000000000004,28.000000000000004,27.999999999999961,27.999999999999755,28.000000000000025,27.999999999999993,28.000000000109694,28.000000003525724,28.000000062031365,28.000000793329146,28.000007510650363,28.000053366412409,28.000289480527556,28.001223874328936,28.004132720519159,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5500000000000007,2.549999999999998,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5499891432350545,2.4598974782491947
9,28.000000000000039,28.000000000000028,27.999999999999954,27.999999999999989,27.999999999999996,27.999999999999986,27.999999999999982,28.000000000000004,28.000000000000014,27.999999999999918,28.000000000000032,28.000000000017192,28.000000000764619,28.000000014013288,28.000000185808684,28.000001871178089,28.000014473569124,28.00008704072571,28.00041304317612,28.001574423859672,28.0049214841296,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.549999999999998,2.5499999999999994,2.5499999999999972,2.5499999999999985,2.5499999999999989,2.5500000000000007,2.5499999999999989,2.5499999999999972,2.5500000000000012,2.5499999999999972,2.549999999999998,2.5500000000000047,2.5499999999997707,2.5499743707796134,2.4545483057648227
10,28.000000000000039,28.000000000000028,27.999999999999954,27.999999999999989,27.999999999999996,27.999999999999986,27.999999999999982,28.000000000000004,28.000000000000014,27.999999999999918,28.000000000000032,28.000000000161229,28.000000003160967,28.00000004346651,28.000000460670211,28.000003825861373,28.000025128901534,28.000131952576595,28.000561222450386,28.001963588389707,28.005753237644626,2.5500000000000003,2.5499999999999989,2.5500000000000016,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.549999999999998,2.5499999999999994,2.5499999999999972,2.5499999999999985,2.5499999999999989,2.5500000000000007,2.5499999999999989,2.5499999999999972,2.5499999999999994,2.5499999999999972,2.549999999999998,2.5500000000000047,2.5499999999961136,2.5499483743850839,2.4495009136517591
