time_s,T_r0.0cm,T_r0.1cm,T_r0.2cm,T_r0.3cm,T_r0.4cm,T_r0.5cm,T_r0.6cm,T_r0.7cm,T_r0.8cm,T_r0.9cm,T_r1.0cm,T_r1.1cm,T_r1.2cm,T_r1.3cm,T_r1.4cm,T_r1.5cm,T_r1.6cm,T_r1.7cm,T_r1.8cm,T_r1.9cm,T_r2.0cm,C_r0.0cm,C_r0.1cm,C_r0.2cm,C_r0.3cm,C_r0.4cm,C_r0.5cm,C_r0.6cm,C_r0.7cm,C_r0.8cm,C_r0.9cm,C_r1.0cm,C_r1.1cm,C_r1.2cm,C_r1.3cm,C_r1.4cm,C_r1.5cm,C_r1.6cm,C_r1.7cm,C_r1.8cm,C_r1.9cm,C_r2.0cm
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000002206,28.000000000010573,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999986,27.999999999999893,27.99999999999925,27.999999912458325,27.999717331129695,27.935413303254361,26.570303274609426,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5500000000000007,2.549999999999998,2.5500000000000012,2.5499999999999998,2.5499999999999967,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.51772674196941
2,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000003268,28.000000000011369,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999972,27.999999999455547,27.999999378153319,27.999822854079106,27.986763907598416,27.717823750631272,25.999147603746149,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5500000000000007,2.549999999999998,2.5500000000000012,2.5499999999999998,2.5499999999999967,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5044929493312562
3,27.999999999992301,27.999999999997499,27.99999999999806,28.000000000001776,28.000000000008562,28.000000000006395,27.99999999999914,28.00000000000955,28.000000000000419,27.99999999999552,28.000000000002842,27.9999999999925,28.000000000004515,28.000000000000618,27.99999999850467,27.999999538101374,27.999943785956013,27.997224890094774,27.942380449979904,27.466124022567303,25.569088340377625,2.5499999999999985,2.5499999999999976,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.549999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999262517,2.4943914759592936
4,27.999999999987629,27.999999999995939,27.999999999998046,28.000000000003617,28.000000000015508,28.000000000007425,27.999999999993374,28.000000000012147,28.000000000001929,27.99999999999552,28.000000000003087,27.999999999991228,28.00000000000345,27.99999999878721,27.999999808388804,27.99998498952742,27.999405975633124,27.987894206965517,27.869196717558403,27.216237397920693,25.21200690285751,2.5499999999999985,2.5499999999999976,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.549999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.549999999999998,2.5499999999999985,2.5499999999999989,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999924886025,2.4859111797980007
5,27.999999999986048,27.999999999995424,27.999999999998046,28.000000000005826,28.00000000002057,28.000000000008026,27.999999999990926,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000003123,27.99999999998678,27.999999999406917,27.99999993713956,27.99999624812985,27.999870812553166,27.997404044435616,27.969052118002228,27.775749961397569,26.97646696182753,24.901526064507312,2.5499999999999985,2.5499999999999976,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.5499999999999985,2.5499999999999985,2.5499999999999989,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499998713119965,2.4784667733666952
6,27.999999999986048,27.999999999995424,27.999999999998042,28.000000000008228,28.000000000024155,28.000000000008363,27.99999999999039,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000001528,27.999999999756511,27.999999981642944,27.999999089917385,27.999971548481646,27.999434708098395,27.992789054330853,27.940088152089217,27.669050003747468,26.748387844412868,24.624121863429128,2.5499999999999985,2.5499999999999976,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.549999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499991068433054,2.4717581017700714
7,27.999999999986048,27.999999999995424,27.999999999998057,28.000000000010299,28.00000000002656,28.000000000009152,27.99999999999039,28.00000000001257,28.000000000002782,27.999999999995449,27.999999999925375,27.999999994955814,27.999999782402366,27.999993667668825,27.999875388394301,27.998330739832394,27.984638607577725,27.901642873386276,27.55396782942983,26.531678432492008,24.371762710494856,2.5499999999999985,2.5499999999999976,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.549999999999998,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5499999999999998,2.549999999999998,2.5499999999999985,2.5499999999999989,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499963269102923,2.4656068678298846
8,27.999999999986048,27.999999999995424,27.999999999998071,28.000000000011525,28.00000000002828,28.000000000009365,27.99999999999039,28.00000000001257,28.000000000003169,27.999999999972527,27.999999998675644,27.999999948290313,27.999998577506197,27.999972246929172,27.999614379529284,27.996160879421524,27.972385928717255,27.854857356306052,27.433777063313119,26.325485894834461,24.139217041519025,2.5499999999999985,2.5499999999999976,2.5499999999999985,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.549999999999998,2.5500000000000007,2.5499999999999989,2.5500000000000007,2.5499999999999998,2.5499999999999985,2.5499999999999985,2.5499999999999989,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499891552170482,2.4598969063582032
9,27.99999999998532,27.999999999996991,28.00000000000859,28.00000000001388,28.000000000021156,28.000000000001968,27.999999999998746,28.000000000008878,27.999999999997108,27.999999999659117,27.999999987734654,27.999999677673095,27.999993762317526,27.99991087575167,27.999055983558364,27.992545743380752,27.955785693703547,27.800976331204915,27.310676946858319,26.128861196946925,23.922852004826211,2.549999999999998,2.5499999999999896,2.5500000000000038,2.5500000000000096,2.550000000000002,2.5500000000000025,2.5499999999999967,2.5499999999999949,2.5499999999999994,2.5499999999999909,2.5499999999999958,2.5499999999999967,2.5500000000000034,2.5499999999999958,2.5499999999999958,2.5499999999999963,2.5500000000000012,2.5500000000000003,2.5499999999996907,2.5499743995346345,2.454547532228557
