time_s,radius_cm,T_no_latent_C,T_latent_C,drop_C,C_kg_kg
100,0.0,28.0001,27.9775,0.0226,2.5500
100,0.5,28.0003,27.8940,0.1063,2.5500
100,1.0,28.0040,27.2083,0.7958,2.5500
100,1.5,28.0327,24.1937,3.8390,2.5500
100,2.0,28.1801,16.6764,11.5037,2.2470
300,0.0,28.0408,25.5204,2.5204,2.5500
300,0.5,28.0635,24.7321,3.3314,2.5500
300,1.0,28.1514,22.2309,5.9205,2.5500
300,1.5,28.3681,17.8526,10.5154,2.5492
300,2.0,28.8489,11.9528,16.8961,2.0508
600,0.0,28.4533,18.9403,9.5130,2.5500
600,0.5,28.5360,18.2176,10.3184,2.5500
600,1.0,28.8039,16.1530,12.6509,2.5500
600,1.5,29.3159,13.0687,16.2472,2.5353
600,2.0,30.1652,9.5133,20.6519,1.8770
900,0.0,29.3243,14.1735,15.1508,2.5500
900,0.5,29.4583,13.7337,15.7245,2.5500
900,1.0,29.8755,12.5089,17.3665,2.5497
900,1.5,30.6161,10.7678,19.8483,2.5045
900,2.0,31.7304,8.9118,22.8186,1.7547
1200,0.0,30.5427,11.4916,19.0511,2.5500
1200,0.5,30.7098,11.2721,19.4377,2.5500
1200,1.0,31.2223,10.6831,20.5393,2.5482
1200,1.5,32.1126,9.9240,22.1886,2.4646
1200,2.0,33.4276,9.2964,24.1312,1.6586
1500,0.0,31.9957,10.3583,21.6375,2.5500
1500,0.5,32.1867,10.2987,21.8880,2.5499
1500,1.0,32.7660,10.1685,22.5975,2.5445
1500,1.5,33.7463,10.1007,23.6455,2.4206
1500,2.0,35.1203,10.2711,24.8491,1.5787
1800,0.0,33.5753,10.3016,23.2737,2.5500
1800,0.5,33.7720,10.3457,23.4263,2.5497
1800,1.0,34.3642,10.5106,23.8536,2.5383
1800,1.5,35.3621,10.8933,24.4688,2.3755
1800,2.0,36.7856,11.6454,25.1402,1.5102
