time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
0,0,0,0,0,0,0,0,0,28,28,2.5499999999999998,2.5499999999999998
1,32768,98304,3,1.5403368740344012e-15,0.00043389771099560466,2.2262389552877607e-16,-4.9819106101730868e-10,2.1299702686101976e-18,27.999999999999613,28.000186641600845,2.5177268661403911,2.5500000000000105
2,65536,190320,3,1.5628194679800253e-15,0.00044023083605071006,2.2298200122449781e-16,-1.8295990571061321e-09,6.5227016588067151e-18,27.999999999999613,28.000525294451332,2.5044930372073471,2.5500000000000105
3,73728,214896,3,1.5628194679800253e-15,0.00044023083605071006,2.2393431088023889e-16,8.7614619393344224e-10,7.2837470148837817e-18,27.999999999998924,28.000961390801411,2.4943916194573403,2.5500000000000074
4,81920,239472,3,1.5628194679800253e-15,0.00044023083605071006,2.2417604359894378e-16,3.7054672102860004e-09,8.3038397317563843e-18,27.999999999998924,28.001475469276578,2.4859113351893836,2.5500000000000074
5,90112,264048,3,1.5628194679800253e-15,0.00044023083605071006,2.2439108887677994e-16,6.3463243394852732e-09,9.4805413011158293e-18,27.999999999998924,28.002056293870275,2.4784669290796644,2.5500000000000074
6,98304,288624,3,1.5628194679800253e-15,0.00044023083605071006,2.2458180102729447e-16,8.8089569204591916e-09,1.0719135325334582e-17,27.999999999998924,28.002696288772988,2.4717582541118217,2.5500000000000074
7,106496,313200,3,1.5628194679800253e-15,0.00044023083605071006,2.2476125758220409e-16,1.0952801603937448e-08,1.2181996087997521e-17,27.999999999998924,28.003389896295641,2.4656070156243612,2.5500000000000074
8,114688,337776,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,1.2890608445988635e-08,1.3617404389376779e-17,27.999999999998924,28.004132813309667,2.4598970493527235,2.5500000000000074
9,116736,343920,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,1.1843468676325718e-08,1.3854710545311104e-17,27.999999999990379,28.004921588000741,2.4545477256834403,2.550000000000006
10,118784,350064,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,1.0593694436634437e-08,1.4258374913650354e-17,27.999999999990379,28.005753351552336,2.4495002298206785,2.550000000000006
11,120832,356208,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,9.5004296374859563e-09,1.461541045170044e-17,27.999999999990379,28.006625688376314,2.4447102222134265,2.550000000000006
12,122880,362352,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,8.3895356684172684e-09,1.5072193822506046e-17,27.999999999990379,28.007536522967516,2.4401432560200407,2.550000000000006
13,124928,368496,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,7.2064985653457797e-09,1.5451244119862028e-17,27.999999999990379,28.008484047054164,2.4357719381074312,2.550000000000006
14,126976,374640,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,6.0565506748271138e-09,1.5944536751670364e-17,27.999999999990379,28.009466666884581,2.431574058835158,2.550000000000006
15,129024,380784,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,5.0242148123386179e-09,1.6381917131024247e-17,27.999999999990379,28.010482964013271,2.4275313148294129,2.550000000000006
16,131072,386928,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,4.0503442518671365e-09,1.6886062456479809e-17,27.999999999990379,28.011531665443346,2.4236284099614931,2.550000000000006
