time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,4097,12291,1.3457899939372905e-15,0.00037909577294008154,2.2327000028256976e-16,1.1416160760224068e-19,4.0141024158981734e-08
2,8193,24579,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,3.6894928712674843e-19,7.9998385921938936e-08
3,9217,27651,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,3.7196726205399669e-19,1.1967233878421698e-07
4,10241,30723,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,4.6055388541202762e-19,1.5919864905699393e-07
5,11265,33795,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,5.3277222003476803e-19,1.9859798488027273e-07
6,12289,36867,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,6.0161197421962681e-19,2.3788428974480121e-07
7,13313,39939,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,6.6843182443446499e-19,2.7706779868273681e-07
8,14337,43011,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,7.3854908798957803e-19,3.161564409076894e-07
9,14593,43779,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,6.1952955931753209e-19,3.5515659504080215e-07
10,14849,44547,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,6.0675344456392087e-19,3.9407353728422095e-07
11,15105,45315,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,6.5928013724407411e-19,4.32911726707947e-07
12,15361,46083,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,6.7807520587553329e-19,4.7167499669032037e-07
13,15617,46851,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,7.7507753893628459e-19,5.103666888668498e-07
14,15873,47619,1.3457899939372905e-15,0.00037909577294008154,2.2364204816415476e-16,8.0323792061367501e-19,5.4898975005416886e-07
