time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,4097,12291,1.3457899939372905e-15,0.0037909577294008151,2.2327000028256976e-16,1.1416160760224068e-19,4.0141024158981734e-08
2,8193,24579,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,3.6894928712674843e-19,7.9998385921938936e-08
3,9217,27651,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,3.7196726205399669e-19,1.1967233878421698e-07
4,10241,30723,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,4.6055388541202762e-19,1.5919864905699393e-07
5,11265,33795,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,5.3277222003476803e-19,1.9859798488027273e-07
6,12289,36867,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,6.0161197421962681e-19,2.3788428974480121e-07
7,13313,39939,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,6.6843182443446499e-19,2.7706779868273681e-07
8,14337,43011,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,7.3854908798957803e-19,3.161564409076894e-07
9,14593,43779,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,6.1952955931753209e-19,3.5515659504080215e-07
10,14849,44547,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,6.0675344456392087e-19,3.9407353728422095e-07
11,15105,45315,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,6.5928013724407411e-19,4.32911726707947e-07
12,15361,46083,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,6.7807520587553329e-19,4.7167499669032037e-07
13,15617,46851,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,7.7507753893628459e-19,5.103666888668498e-07
14,15873,47619,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,8.0323792061367501e-19,5.4898975005416886e-07
15,16129,48387,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,9.050270444816941e-19,5.8754680435739067e-07
16,16385,49155,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,8.1674934723305758e-19,6.2604020808066737e-07
17,16641,49923,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,8.5215060949879579e-19,6.6447209238162194e-07
18,16897,50691,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,8.8055431152324751e-19,7.0284439697835786e-07
19,17153,51459,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,9.0735997815242921e-19,7.4115889718712945e-07
20,17409,52227,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.0243470465112499e-18,7.7941722589743725e-07
21,17665,52995,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.0875779991551163e-18,8.1762089164198225e-07
22,17921,53763,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.0766590599730515e-18,8.5577129361099459e-07
23,18177,54531,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.1674003595798124e-18,8.9386973424490881e-07
24,18433,55299,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.1995121313445803e-18,9.3191742988560962e-07
25,18689,56067,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.1971869524920879e-18,9.6991551985497101e-07
26,18945,56835,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.1998163270148467e-18,1.007865074247228e-06
27,19201,57603,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.1384976091520498e-18,1.0457671006604306e-06
28,19457,58371,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.0758611150252734e-18,1.0836225500457507e-06
29,19713,59139,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.0835795114716116e-18,1.1214323218179494e-06
30,19969,59907,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.0609759740529875e-18,1.1591972683428445e-06
31,20225,60675,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,8.9359592540409411e-19,1.1969181988961419e-06
32,20481,61443,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,8.5256376036537188e-19,1.2345958831711087e-06
33,20545,61699,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.128435112096707e-18,1.2722310544121532e-06
34,20609,61955,1.3457899939372905e-15,0.0037909577294008151,2.2364204816415476e-16,1.4040649270891767e-18,1.3098244121612473e-06
