time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,2.5499999999999967,2.5499999999999994,2.5500000000000003,2.5499999999999976,2.549999999999998,2.5500000000000003,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.549999999999998,2.5499999999999967,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5499999999999998,2.5500000000000012,2.5500000000000003,2.5177413541951457
2,2.5499999999999967,2.5499999999999994,2.5500000000000003,2.5499999999999976,2.549999999999998,2.5500000000000003,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.549999999999998,2.5499999999999967,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5500000000000016,2.5499999999999998,2.5499999999999998,2.5500000000000012,2.5500000000000003,2.5045031428375482
3,2.5499999999999967,2.5499999999999994,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.550000000000002,2.5499999999999989,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999958,2.5499999999999998,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999218779,2.4943997140319873
4,2.5499999999999967,2.5499999999999994,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.550000000000002,2.5499999999999989,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999958,2.5499999999999998,2.5499999999999989,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999923053958,2.4859182531111967
5,2.5499999999999967,2.5499999999999994,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.550000000000002,2.5499999999999989,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999958,2.5499999999999998,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499998697278676,2.4784730522637215
6,2.5499999999999967,2.5499999999999994,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.550000000000002,2.5499999999999989,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999958,2.5499999999999998,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499991005706342,2.4717637945412543
7,2.5499999999999967,2.5499999999999994,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.550000000000002,2.5499999999999989,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999958,2.5499999999999998,2.5499999999999989,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499963109162649,2.4656121052695781
8,2.5499999999999967,2.5499999999999994,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5500000000000003,2.550000000000002,2.5499999999999989,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999958,2.5499999999999998,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.549999999999998,2.5499891241253665,2.4599017769226048
9,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999996517,2.549974348957754,2.454552098850487
10,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999959506,2.5499483545358799,2.4495043114039228
11,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5499999999999994,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999707987,2.5499074529303019,2.444714058677687
