time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,1.2,1.1995876586542502,1.1983531847055127,1.1963042108967175,1.1934534001838224,1.1898183587539637,1.1854215151305854,1.18028996623742,1.1744552915311754,1.1679533365425252,1.1608239673848118,1.1531107979981163,1.1448608920915075,1.1361244419268759,1.1269544262525144,1.1174062498422423,1.1075373672253752,1.0974068933032117,1.0870752036381868,1.0766035272717391,1.0660535349758022
1,1.1999917491695855,1.1995794248539235,1.198345001832231,1.1962961125522051,1.1934454194470003,1.1898105279772764,1.1854138657416335,1.180282528545846,1.1744480945441114,1.1679464077874746,1.1608173327455242,1.1531044815585174,1.1448549159941399,1.1361188262439796,1.1269491888701002,1.1174014063613622,1.1075329308761099,1.0974028748775995,1.087071611437086,1.0766003670698587,1.06605079725416
2,1.1999834986920679,1.1995711913933009,1.1983368192965576,1.1962880145417554,1.1934374390393476,1.1898026975236287,1.1854062166682349,1.1802750911611295,1.1744408978539251,1.1679394793182236,1.160810698379924,1.1530981653794929,1.1448489401433519,1.1361132107927565,1.1269439517037692,1.1173965630802978,1.107528494709862,1.097398856617757,1.0870680193841591,1.0765972069983338,1.0660480643970141
3,1.1999752485585431,1.1995629582724008,1.1983286370985837,1.1962799168652307,1.1934294589607228,1.1897948673930154,1.1853985679104571,1.1802676540833259,1.1744337014603694,1.1679325511347536,1.1608040642878856,1.1530918494610534,1.1448429645392464,1.1361075955731645,1.1269387147536241,1.117391719998964,1.1075240587267221,1.0973948385235504,1.0870644274792163,1.0765940470571937,1.0660453337984093
4,1.1999669987665034,1.1995547254911278,1.1983204552381306,1.1962718195227897,1.1934214792113571,1.1897870375854405,1.1853909194682519,1.1802602173123204,1.1744265053637015,1.1679256232371424,1.1607974304695423,1.1530855338031671,1.1448369891816246,1.1361019805852153,1.126933478019531,1.1173868771174134,1.1075196229265731,1.0973908205951124,1.0870608357224532,1.0765908872463059,1.0660426044343374
5,1.199958749315327,1.1995464930494821,1.1983122737152039,1.1962637225144053,1.1934134997912098,1.1897792081008813,1.1853832713415817,1.18025278084811,1.1744193095639159,1.167918695625354,1.1607907969248816,1.1530792184058312,1.1448310140704949,1.1360963658289087,1.1269282415014683,1.1173820344356526,1.107515187309418,1.0973868028324336,1.0870572441138706,1.0765877275653384,1.0660398758564857
6,1.1999505002047826,1.1995382609474563,1.1983040925297896,1.1962556258400667,1.1934055207002583,1.1897713789393241,1.1853756235304291,1.1802453446906758,1.1744121140609927,1.16791176829937,1.1607841636538918,1.1530729032690241,1.1448250392058574,1.1360907513042302,1.1269230051994381,1.1173771919536706,1.1075107518752512,1.0973827852355154,1.0870536526534655,1.0765845680136377,1.0660371478434465
7,1.1999422514347491,1.1995300291850397,1.1982959116818808,1.1962475294997557,1.1933975419384875,1.189763550100756,1.1853679760347791,1.1802379088400126,1.1744049188549226,1.1679048412591744,1.160777530656554,1.1530665883927416,1.1448190645877052,1.1360851370111735,1.1269177691134222,1.1173723496714625,1.1075063166240675,1.097378767804343,1.0870500613412242,1.0765814085901766,1.0660344202722933
8,1.1999340030051608,1.1995217977622112,1.198287731171467,1.1962394334934574,1.1933895635058724,1.1897557215851564,1.1853603288546182,1.1802304732961071,1.1743977239456904,1.1678979145047497,1.1607708979328581,1.1530602737769706,1.1448130902160256,1.1360795229497305,1.1269125332434116,1.117367507589017,1.1075018815558553,1.0973747505389111,1.0870464701771478,1.0765782492936109,1.0660316930675622
9,1.1999257549159608,1.1995135666789773,1.1982795509985353,1.1962313378211915,1.1933815854023853,1.1897478933925234,1.1853526819899345,1.180223038058948,1.1743905293332881,1.1678909880361268,1.1607642654827943,1.1530539594216733,1.1448071160907942,1.136073909119895,1.1269072975894112,1.1173626657063152,1.1074974466705847,1.0973707334392457,1.0870428791612334,1.0765750901223954,1.0660289661791287
10,1.1999175071671027,1.1995053359353101,1.198271371163069,1.1962232424829009,1.1933736076280268,1.1897400655228396,1.18534503544071,1.1802156031285223,1.1743833350176913,1.1678840618532398,1.1607576333063412,1.1530476453268754,1.1448011422120257,1.1360682955216486,1.1269020621513941,1.1173578240233621,1.1074930119682802,1.0973667165052921,1.0870392882934701,1.0765719310748294,1.0660262395715956
