time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,1025,2050,6.7370810015643753e-16,0.00030623171729272176,2.2461637687443976e-16,2.3569329146864906e-19,1.0568347208806745e-09
2,2049,4098,6.7370810015643753e-16,0.00030623171729272176,2.246173177120769e-16,4.205987935413804e-19,2.1136258030032308e-09
3,2305,4610,6.7370810015643753e-16,0.00030623171729272176,2.246173177120769e-16,2.7950721845925702e-19,3.170373263501246e-09
4,2561,5122,6.7819202377185866e-16,0.00030827355895237903,2.246173177120769e-16,1.8750145454055451e-19,4.2270771091787933e-09
5,2817,5634,6.9859337102910954e-16,0.00031754748388894335,2.246173177120769e-16,2.7185233478212001e-20,5.2837373446383693e-09
6,3073,6146,7.4162755941630331e-16,0.00033711042860365084,2.246173177120769e-16,-7.1144729312448305e-20,6.3403539735456303e-09
7,3329,6658,7.4162755941630331e-16,0.00033711042860365084,2.246173177120769e-16,-1.7901892576956349e-19,7.3969269990593756e-09
8,3585,7170,7.4162755941630331e-16,0.00033711042860365084,2.246173177120769e-16,-2.359168543967532e-19,8.4534564240267128e-09
9,3649,7298,7.4162755941630331e-16,0.00033711042860365084,2.246173177120769e-16,-1.7512726716970024e-19,9.5099422510868833e-09
10,3713,7426,7.4162755941630331e-16,0.00033711042860365084,2.246173177120769e-16,-1.2632710069728081e-19,1.0566384482731569e-08
