time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,1025,1025,1.3040528296581176e-15,0.00036733882525576323,1.6683904046633827e-16,2.0089039147463942e-18,2.7858652884570943e-21
2,2049,2049,1.3040528296581176e-15,0.00036733882525576323,1.6683904046633827e-16,2.0122932035959609e-18,6.1751541380329132e-21
3,2305,2305,1.3040528296581176e-15,0.00036733882525576323,1.6683904046633827e-16,1.7395111011342402e-18,8.0178190475789043e-21
4,2561,2561,1.3040528296581176e-15,0.00036733882525576323,1.6683904046633827e-16,1.449144925586013e-18,8.6522004838496638e-21
5,2817,2817,1.3040528296581176e-15,0.00036733882525576323,1.6683904046633827e-16,1.4340565505921549e-18,9.2845835186760952e-21
6,3073,3073,1.3040528296581176e-15,0.00036733882525576323,1.6683904046633827e-16,1.4346889336269937e-18,9.9169665535025265e-21
7,3329,3329,1.3040528296581176e-15,0.00036733882525576323,1.6683904046633827e-16,1.4353213166618324e-18,1.0549349588328958e-20
8,3585,3585,1.3040528296581176e-15,0.00036733882525576323,1.6683904046633827e-16,1.4359536996966712e-18,1.1181732623155389e-20
9,3649,3649,1.4376486478412347e-15,0.00040497145009610444,1.6683904046633827e-16,7.7648022386860338e-19,1.1546551909047212e-20
10,3713,3713,1.4376486478412347e-15,0.00040497145009610444,1.6683904046633827e-16,5.3154359733191719e-19,1.1852085285424051e-20
