time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,1025,2050,6.6224583612847728e-16,0.00030127749908485344,2.1495703023138169e-16,-7.7792872791797187e-20,-6.6306778776376948e-10
2,2049,4098,6.6224583612847728e-16,0.00030127749908485344,2.1522170813981544e-16,-8.0144960863591721e-20,-1.3186433760379509e-09
3,2305,4866,6.6224583612847728e-16,0.00030127749908485344,2.1546312237922634e-16,-1.4715589626227818e-19,-1.9668244676513136e-09
4,2561,5634,6.6224583612847728e-16,0.00030127749908485344,2.1580896012178808e-16,-1.6781721360262771e-19,-2.6077062534592283e-09
5,2817,6402,6.6224583612847728e-16,0.00030127749908485344,2.1616463196567074e-16,-1.8864541463155981e-19,-3.2413816533957021e-09
6,3073,7170,6.6224583612847728e-16,0.00030127749908485344,2.1665150595077708e-16,-2.2301911178135401e-19,-3.8679415193786206e-09
7,3329,7938,6.6224583612847728e-16,0.00030127749908485344,2.169190886872806e-16,-1.7860902546430079e-19,-4.4874748058510967e-09
8,3585,8598,6.6224583612847728e-16,0.00030127749908485344,2.1721032850302892e-16,-2.0806906298037687e-19,-5.1000687135784292e-09
9,3649,8790,6.6224583612847728e-16,0.00030127749908485344,2.1721032850302892e-16,-2.0860094011424846e-19,-5.7058088130191059e-09
10,3713,8982,6.6224583612847728e-16,0.00030127749908485344,2.1789259138251296e-16,-2.0301168071522765e-19,-6.3047791430015879e-09
