time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,1.1000000000000001,1.1002500000000002,1.101,1.1022500000000002,1.1040000000000001,1.1062500000000002,1.109,1.1122500000000002,1.1160000000000001,1.1202500000000002,1.125,1.13025,1.1360000000000001,1.14225,1.149,1.15625,1.1640000000000001,1.17225,1.181,1.19025,1.2000000000000002
1,1.0990049621487599,1.0992524569767039,1.0999949943520078,1.1012325566441399,1.1029651438531476,1.1051927559790076,1.1079153930217318,1.1111330549813241,1.1148457418577551,1.119053453651065,1.1237561903612259,1.1289539519882663,1.1346467385321795,1.140834549992942,1.1475173863705843,1.1546952476650822,1.1623681338764724,1.1705360450047315,1.1791989810498547,1.1883569420122557,1.198015832066325
2,1.0980198219779913,1.0982648396698249,1.0989999886747424,1.1002252370162444,1.1019405846943893,1.1041460317091343,1.1068415780604859,1.1100272237484692,1.1137029687730353,1.1178688131342471,1.1225247568320744,1.1276707998665132,1.1333069422375954,1.1394331839452929,1.1460495249896305,1.1531559653705916,1.1607525050882008,1.1688391441424448,1.177415882533331,1.1864827202722938,1.1960508087327633
3,1.097044481626857,1.0972870493190865,1.0980148834690979,1.0992279403858407,1.1009262200693084,1.1031097225194795,1.1057784477363461,1.1089323957199462,1.1125715664702249,1.1166959599872399,1.1213055762709736,1.1264004153214198,1.1319804771386088,1.1380457617225146,1.1445962690731701,1.1516319991905495,1.1591529520746819,1.1671591277255609,1.1756505261431984,1.1846271474068009,1.1941048284552549
4,1.096078844077309,1.0963189881448381,1.0970395802238726,1.0982405670225555,1.0999219485407354,1.1020837247784021,1.1047258957355315,1.1078484614121766,1.1114514218082805,1.1155347769239001,1.120098526759014,1.1251426713136234,1.1306672105877646,1.1366721445814003,1.1431574732945715,1.1501231967272556,1.1575693148794757,1.1654958277512431,1.1739027353425546,1.1827900379583911,1.1921777760089207
5,1.0951228131749478,1.0953605593402513,1.0960739814079228,1.0972630181882281,1.0989276696806785,1.1010679358852598,1.1036838168019638,1.1067753124308306,1.1103424227718026,1.1143851478249518,1.1189034875902439,1.1238974420676844,1.1293670112573138,1.1353121951590908,1.1417329937730625,1.1486294070992067,1.1560014351375547,1.1638490778881054,1.1721723353508662,1.1809712083771267,1.1902695251798456
6,1.0941762936419843,1.0944116670617812,1.0951179904605659,1.0962951961271701,1.0979432840604291,1.1000622542603371,1.1026521067268906,1.1057128414601218,1.1092444584599721,1.113246957726524,1.1177203392597483,1.1226646030596334,1.12807974912624,1.1339657774595153,1.1403226880595128,1.1471504809261994,1.1544491560596264,1.1622187134597952,1.1704591531267023,1.1791704769998941,1.18837994096854
7,1.0932391910853667,1.0934722164195751,1.0941715117819262,1.0953370040563699,1.0969686932406106,1.0990665793346333,1.1016306623384424,1.1046609422520721,1.1081574190754533,1.1121200928086739,1.1165489634517143,1.1214440310045524,1.1268052954672629,1.1326327568397814,1.138926415122167,1.1456862703143942,1.1529123224165017,1.1606045714285069,1.1687630173504189,1.1773876640246614,1.1865088813979432
8,1.0923114120012418,1.0925421134679585,1.093234450723346,1.0943883461558284,1.096003799761331,1.0980808115398264,1.1006193814913339,1.1036195096158812,1.1070811959133897,1.1110044403839689,1.1153892430275907,1.1202356038442198,1.1255435228339534,1.1313129999967206,1.1375440353325788,1.1442366288415007,1.1513907805235355,1.1590064903786927,1.167083758407039,1.1756225914822409,1.1846561989980853
9,1.0913928637747912,1.0916212651942991,1.0923067135761653,1.0934491275571772,1.0950485071306162,1.0971048522964646,1.0996181630547335,1.1025884394054553,1.1060156813485553,1.1098998888841378,1.1142410620121754,1.1190392007326393,1.1242943050456211,1.1300063749510572,1.1361754104490052,1.1428014115394356,1.1498843782223989,1.1574243104979074,1.1654212083661439,1.1738750832038938,1.1828217420232197
10,1.0904834546848716,1.0907095795149766,1.0913882075676948,1.0925192543395856,1.0941027198202591,1.0961386040096897,1.0986269069078964,1.1015676285149052,1.1049607688306564,1.1088063278552382,1.1131043055886296,1.1178547020308045,1.1230575171818555,1.1287127510417201,1.1348204036104581,1.1413804748880341,1.1483929648745097,1.1558578735698919,1.1637752009746138,1.1721449648025255,1.181005355463997
