time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,27.999999999999986,27.999999999999986,0,0,0,0,0
1,0.00046161897512223216,26.570303076815826,1125.3940009854241,35.962423079604292,27.948141754140131,28.00000507175643,0.75678648538685878,35.490794120228742,-1.0934499608930565e-09,1.3869553627931385e-16,9.9330933405953455e-15
2,0.00045917230480815001,25.999147397373225,1120.0507475073105,50.461315065669424,27.897535617272499,28.000020143736911,2.1279511818753876,70.757319432625238,-2.3003120410827218e-09,1.4378149050855197e-16,9.9330933405953455e-15
3,0.00045730448576511044,25.569088062217499,1115.9607134073376,61.432798444562486,27.847732928399573,28.000045077817305,3.8917300671060979,105.87831946779963,-2.4223546525491426e-09,1.4378149050855197e-16,9.9330933405953455e-15
4,0.00045573622585552828,25.212006564260971,1112.5193686608072,70.579835893475718,27.798573696556545,28.000079772392166,5.969061829323377,140.88189287001819,-2.5769093539226275e-09,1.4378149050855197e-16,9.9330933405953455e-15
5,0.00045435938242094988,24.901525680298331,1109.4926263607813,78.561857992541647,27.74996550962107,28.000124143097004,8.3142901660686874,175.7842798261363,-2.7548501263785481e-09,1.4378149050855197e-16,9.9330933405953455e-15
6,0.00045311849312911878,24.624121443813856,1106.7604212829121,85.716963904653639,27.701846048870035,28.000178116359216,10.896633691148164,210.59643925504642,-2.922501893857535e-09,1.4378149050855197e-16,9.9330933405953455e-15
7,0.00045198061160035163,24.371762262573068,1104.2514248399973,92.245943435673269,27.654169588922166,28.000241626204406,13.693512186026931,245.32641722948844,-3.088601156570113e-09,1.4378149050855197e-16,9.9330933405953455e-15
8,0.00045092427215810503,24.139216570406486,1101.9191602101334,98.279585739837842,27.606900720168372,28.000314612387442,16.687443494242039,279.98044850844991,-3.2623000705554674e-09,1.4378149050855197e-16,9.9330933405953455e-15
9,0.00044993458560458417,23.922851462414869,1099.7313928641493,103.90871343962829,27.560010967709928,28.000397019182202,19.864372921867567,314.56355052975584,-4.3768364595461639e-09,1.4378149050855197e-16,9.9330933405953455e-15
10,0.0004490006705064929,23.720022651607991,1097.6645514719353,109.19943370980025,27.513476787882723,28.000488794553338,23.212682134276434,349.07987421310179,-5.4947026293951965e-09,1.4378149050855197e-16,9.9330933405953455e-15
11,0.00044811433440792588,23.528734450450557,1095.7008941895749,114.20163873873604,27.467278292219394,28.000589889544351,26.722558094725514,383.53292756939004,-6.6132843354665962e-09,1.4378149050855197e-16,9.9330933405953455e-15
12,0.00044726921253277862,23.347436825915256,1093.8266360726534,118.95407935211865,27.421398389607717,28.000700257824217,30.385569842437402,417.92572705239718,-7.7378364004394615e-09,1.4378149050855197e-16,9.9330933405953455e-15
13,0.00044646024333175826,23.174897454135021,1092.0308138033431,123.48756364662448,27.375822187128694,28.00081985533259,34.19437236591704,452.26090274214437,-8.8580058714478669e-09,1.4378149050855197e-16,9.9330933405953455e-15
14,0.00044568332297473056,23.01011744427041,1090.3045377445985,127.82706389323968,27.330536556540046,28.000948640000203,38.142492357133321,486.54077446418847,-9.9810557986553515e-09,1.4378149050855197e-16,9.9330933405953455e-15
15,0.00044493506938302741,22.852273791529829,1088.6404811007769,131.99315521175424,27.285529811778453,28.001086571519803,42.224168843593354,520.7674084253531,-1.1105414940901921e-08,1.4378149050855197e-16,9.9330933405953455e-15
16,0.00044421265612950802,22.700678875908167,1087.0325203174846,136.00302810229587,27.240791463396786,28.001233611160231,46.434231844799854,554.94266034655868,-1.2229761832010392e-08,1.4378149050855197e-16,9.9330933405953455e-15
17,0.00044351369247263271,22.554751214512468,1085.4754753491454,139.87121963718829,27.196312027823456,28.0013897216092,50.768008125958701,589.06820897119803,-1.3354632688163975e-08,1.4378149050855197e-16,9.9330933405953455e-15
18,0.00044283613476818961,22.413993866808863,1083.964917853157,143.61015332977837,27.152082876646737,28.001554866841349,55.221246731737715,623.14558254667099,-1.448104239189888e-08,1.4378149050855197e-16,9.9330933405953455e-15
19,0.00044217821977567178,22.277978179209455,1082.4970267833603,147.23054551976364,27.10809611573023,28.001729012005203,59.790059262434475,657.17618006776763,-1.5605427082782198e-08,1.4378149050855197e-16,9.9330933405953455e-15
20,0.00044153841358796493,22.146331339163307,1081.06847780724,150.74171652091738,27.064344486970107,28.001912123325827,64.470871339750971,691.16128854357203,-1.6727368390987592e-08,1.4378149050855197e-16,9.9330933405953455e-15
21,0.00044091537193138614,22.018726701415609,1079.6763573401695,154.15183246460975,27.02082128751977,28.00210416802031,69.260382703058823,725.10209719683439,-1.7855284199938294e-08,1.4378149050855197e-16,9.9330933405953455e-15
22,0.00044030790888714249,21.894876167241801,1078.318094812772,157.46809581895488,26.97752030267759,28.002305114222807,74.155534058029815,758.99970926295362,-1.8977687171137755e-08,1.4378149050855197e-16,9.9330933405953455e-15
23,0.0004397149719486777,21.77452410807674,1076.9914086564602,160.69689729808152,26.934435749604972,28.002514930920356,79.15347927614286,792.85515188650481,-2.010619460978243e-08,1.4378149050855197e-16,9.9330933405953455e-15
24,0.0004391356219135292,21.657442467463603,1075.6942627567407,163.84393831340995,26.891562229726649,28.002733587893513,84.251561883519784,826.66938449249028,-2.1236207325274134e-08,1.4378149050855197e-16,9.9330933405953455e-15
25,0.00043856901651152878,21.543426773567134,1074.424830996762,166.91433066082163,26.848894688160577,28.002961055665939,89.447295024123946,860.44330592193592,-2.2360631821456684e-08,1.4378149050855197e-16,9.9330933405953455e-15
26,0.0004380143969543223,21.432292863562509,1073.1814681265278,169.91267841093727,26.806428378899895,28.003197305456322,94.738344263974156,894.1777605569323,-2.3478695404662705e-08,1.4378149050855197e-16,9.9330933405953455e-15
27,0.00043747107679329897,21.323874170492878,1071.9626856307557,172.84314573767804,26.764158834738904,28.003442309138073,100.12251273866083,927.8735436120279,-2.4603499468134552e-08,1.4378149050855197e-16,9.9330933405953455e-15
28,0.00043693843261945653,21.218019458890577,1070.7671315853922,175.70951352773551,26.722081841140525,28.003696039201216,105.59772824904101,961.53140573246162,-2.5727810608590916e-08,1.4378149050855197e-16,9.9330933405953455e-15
29,0.00043641589624616783,21.114590921660291,1069.5935737253953,178.51522695849269,26.68019341340829,28.00395846871691,111.16203198848349,995.15205701177865,-2.6854853752843417e-08,1.4378149050855197e-16,9.9330933405953455e-15
30,0.0004359029480957478,21.013462570193656,1068.4408851194642,181.26343574515857,26.638489776642214,28.004229571307846,116.81356864574219,1028.736170519863,-2.7979460620950056e-08,1.4378149050855197e-16,9.9330933405953455e-15
31,0.00043539911157067294,20.914518864328461,1067.3080319771736,183.9570283917885,26.596967348057053,28.004509321118643,122.55057767494985,1062.2843854155246,-2.9106873522861702e-08,1.4378149050855197e-16,9.9330933405953455e-15
32,0.00043490394823605353,20.817653539883079,1066.1940632130584,186.59866150292305,26.55562272131877,28.004797692789506,128.3713855615903,1095.797309704498,-3.0231146558354723e-08,1.4378149050855197e-16,9.9330933405953455e-15
33,0.00043441706524008106,20.722768569031654,1065.0981298551014,189.19078577420859,26.514452651715931,28.005094661433521,134.27439883755372,1129.2755231879935,-2.964382211486053e-08,1.4378149050855197e-16,9.9330933405953455e-15
34,0.00043393807602794428,20.629773364864008,1064.0193896723511,191.7356658783998,26.473454045181892,28.005400202611934,140.25809829203803,1162.7195790204112,-2.9053801374623948e-08,1.4378149050855197e-16,9.9330933405953455e-15
35,0.00043346663404532273,20.538583972480904,1062.9570907395655,194.23540068797732,26.432623947017095,28.005714292315485,146.3210330853781,1196.1300053833088,-2.8463681578922019e-08,1.4378149050855197e-16,9.9330933405953455e-15
36,0.00043300241733194855,20.449122409580102,1061.9105344429438,196.69193976049738,26.39195953140365,28.006036906944853,152.46181593081383,1229.5073076876151,-2.7871649384922635e-08,1.4378149050855197e-16,9.9330933405953455e-15
37,0.00043254512614604446,20.361316092024065,1060.8790703297107,199.10709769939839,26.351458092367967,28.00636802329339,158.67911863356969,1262.8519701657742,-2.728024239135152e-08,1.4378149050855197e-16,9.9330933405953455e-15
38,0.00043209448087589596,20.275097326190469,1059.8620915828599,201.48256684523832,26.311117035605093,28.00670761852961,164.97166805467171,1296.1644573121823,-2.6688327389733668e-08,1.4378149050855197e-16,9.9330933405953455e-15
39,0.0004316502201972097,20.190402860772991,1058.8590310286882,203.8199284806752,26.270933871059956,28.007055670183146,171.33824244956261,1329.4452151900425,-2.6092812907825872e-08,1.4378149050855197e-16,9.9330933405953455e-15
40,0.00043121209944182233,20.107173489934532,1057.8693576022411,206.12066275163673,26.230906206181658,28.007412156129213,177.77766813807239,1362.6946726201659,-2.5495857413048122e-08,1.4378149050855197e-16,9.9330933405953455e-15
