time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,28.00000000000745,28.000000000006747,28.000000000001819,27.999999999999876,27.999999999996135,27.999999999995659,27.999999999999851,27.999999999994628,27.99999999999201,28.000000000000146,28.000000000001176,28.000000000001339,28.000000000005283,27.999999999999982,28.000000000000345,27.999999999997577,28.000000000007972,27.999999912452491,27.999717328179674,27.935413028317161,26.570300211031583,28.00000000000745,28.000000000006747,28.000000000001819,27.999999999999876,27.999999999996135,27.999999999995659,27.999999999999851,27.999999999994628,27.99999999999201,28.000000000000146,28.000000000001176,28.000000000001339,28.000000000005283,27.999999999999982,28.000000000000345,27.999999999997577,28.000000000009663,28.000000000000416,28.0000000061194,28.00000309626278,28.000186639519058
2,28.000000000015362,28.00000000001166,28.000000000001929,27.999999999999876,27.99999999999411,27.999999999992728,27.999999999999684,27.999999999990798,27.999999999985899,27.999999999999542,28.000000000001176,28.000000000002135,28.000000000006867,27.999999999999982,28.000000000000238,27.999999999450459,27.999999378153973,27.999822852962929,27.986763857110319,27.717823044096001,25.999144575749902,28.000000000015362,28.00000000001166,28.000000000001929,27.999999999999876,27.99999999999411,27.999999999992728,27.999999999999684,27.999999999990798,27.999999999985899,27.999999999999542,28.000000000001176,28.000000000002135,28.000000000006867,27.999999999999982,28.000000000000345,27.999999999997577,28.00000000003006,28.000000007077478,28.000000893078411,28.000035652641262,28.000525291537421
3,28.0000000000102,28.000000000008445,28.000000000003659,28.000000000002277,28.000000000000256,27.999999999984286,27.999999999996771,27.999999999997357,27.99999999998904,27.999999999998316,28.000000000000405,28.00000000000751,28.000000000005855,27.999999999993786,27.999999998495927,27.999999538092929,27.999943785503852,27.997224879007806,27.942380298546638,27.466123019001131,25.569085212074878,28.0000000000102,28.000000000008445,28.000000000003659,28.000000000002277,28.000000000000256,27.999999999984286,27.999999999996771,27.999999999997357,27.99999999998904,27.999999999998316,28.000000000000352,28.0000000000075,28.000000000005912,27.999999999995879,28.00000000000141,28.000000000020695,28.000000002989818,28.000000219658457,28.000007262695952,28.000115206979324,28.00096138368648
4,28.000000000002984,28.000000000003954,28.000000000006374,28.000000000006967,28.000000000002871,27.999999999980847,27.999999999995069,28.000000000001211,27.999999999991491,27.999999999998366,28.000000000003396,28.000000000010161,28.000000000000068,27.999999998773465,27.999999808370809,27.999984989393578,27.999405972979773,27.987894172818773,27.869196444461604,27.216236165366855,25.212003681755238,28.000000000002984,28.000000000003954,28.000000000006374,28.000000000006967,28.000000000002871,27.999999999980847,27.999999999995069,28.000000000001211,27.999999999991491,27.999999999998373,28.000000000003425,28.000000000010171,28.000000000004171,27.999999999994369,28.000000000011497,28.000000000948198,28.00000005173661,28.000001529656412,28.000025251633719,28.000244302252856,28.001475459077547
5,27.999999999997595,28.000000000000988,28.000000000008463,28.000000000011045,28.000000000004484,27.999999999978964,27.999999999994181,28.000000000003823,27.99999999999363,27.999999999998774,28.000000000005819,28.000000000008718,27.999999999399339,27.999999937118247,27.99999624807457,27.999870811896844,27.997404036336981,27.969052047726084,27.775749562856863,26.976465541910901,24.901522775238785,27.999999999997595,28.000000000000988,28.00000000000847,28.00000000001106,28.000000000004487,27.999999999978971,27.999999999994177,28.000000000003777,27.999999999993598,27.999999999998799,28.000000000005919,28.000000000011955,28.000000000003279,27.999999999996366,28.000000000267175,28.000000012004211,28.000000329096238,28.000005565014888,28.000059701221463,28.000421777128253,28.002056281181449
6,27.999999999993925,27.999999999999307,28.000000000010342,28.000000000014303,28.000000000005809,27.999999999978062,27.999999999993879,28.000000000005617,27.999999999995548,28.00000000000016,28.000000000005969,27.999999999780666,27.999999981631827,27.999999089882074,27.999971548294965,27.999434706107373,27.992789036393546,27.940088035388602,27.669049482985429,26.748386268014162,24.624118523689518,27.999999999993957,27.999999999999353,28.00000000001031,28.000000000014307,28.000000000005652,27.999999999977998,27.999999999993808,28.000000000005649,27.999999999995541,28.000000000000178,28.000000000007841,28.000000000013081,28.00000000000351,28.000000000061419,28.000000002771674,28.00000007189513,28.000001234656484,28.00001428129335,28.000113915588699,28.000645608078781,28.002696273968201
7,27.999999999991754,27.999999999998536,28.000000000011944,28.000000000016875,28.000000000006402,27.999999999977792,27.999999999993786,28.000000000007063,27.999999999997272,28.000000000000853,27.999999999931664,27.999999994981071,27.999999782386453,27.999993667597092,27.999875387869729,27.998330735218214,27.984638574955881,27.90164270310332,27.553967192539051,26.531676723668944,24.371759332630994,27.999999999991687,27.999999999998693,28.000000000011937,28.000000000016822,28.000000000006654,27.999999999977824,27.999999999993801,28.000000000007038,27.999999999997218,28.000000000001684,28.000000000009567,28.000000000014388,28.000000000019302,28.000000000629317,28.000000015895093,28.000000275767832,28.000003376100953,28.000029624191978,28.000190051209426,28.000913657588548,28.003389879634923
8,27.999999999991523,27.999999999998536,28.00000000001344,28.000000000018808,28.000000000007446,27.999999999977792,27.999999999993804,28.0000000000081,27.999999999998469,27.999999999979334,27.999999998683354,27.999999948315626,27.999998577479964,27.999972246768312,27.999614378305022,27.996160870472647,27.972385876705715,27.854857127903163,27.433776317482653,26.325484072669674,24.139213634353464,27.999999999991502,27.999999999998547,28.000000000013454,28.000000000018893,28.000000000007645,27.999999999977714,27.999999999993804,28.000000000007983,27.999999999998767,28.000000000003215,28.000000000011255,28.00000000001965,28.000000000148621,28.000000003538389,28.000000061994676,28.000000793040044,28.000007509424591,28.000053363456413,28.000289479357441,28.001223892631526,28.004132794985466
9,27.999999999998685,27.999999999997613,28.000000000013536,28.000000000013817,28.000000000003038,27.999999999989445,27.99999999998343,27.999999999996998,27.99999999999007,27.999999999664922,27.999999987756716,27.999999677678705,27.999993762237796,27.999910875239117,27.999055980501414,27.992545727074859,27.955785618383043,27.800976046111423,27.310676103823251,26.128859272120149,23.922848479199239,27.999999999998643,27.999999999997591,28.000000000013578,28.000000000013891,28.000000000003148,27.999999999989402,27.999999999983451,27.999999999997037,27.999999999997097,28.000000000007486,28.000000000018737,28.000000000038824,28.000000000794429,28.000000014013807,28.000000185716463,28.000001870644944,28.00001447169349,28.000087036822418,28.000413041708676,28.001574443381269,28.004921560315257
10,28.000000000002728,27.99999999999941,28.000000000012328,28.000000000008949,28.000000000002505,27.999999999994174,27.999999999976545,27.999999999985622,27.999999999909175,27.999999997098293,27.999999926366165,27.999998586045646,27.999979358619271,27.999770237660851,27.998042445057152,27.987167943562966,27.934829761960131,27.741172429567492,27.186156299492499,25.940900157956175,23.720019602288254,28.000000000002725,27.999999999999371,28.000000000012339,28.000000000008988,28.000000000002569,27.999999999994227,27.999999999976598,27.999999999987633,27.999999999996472,28.000000000010427,28.000000000025619,28.000000000180243,28.000000003183469,28.000000043446022,28.000000460481651,28.000003824993939,28.000025126274117,28.000131947738616,28.000561220809828,28.00196360918336,28.005753315517801
11,28.000000000005386,28.000000000000686,28.000000000010665,28.000000000005393,28.00000000000243,27.999999999995822,27.999999999970566,27.999999999957989,27.999999999300694,27.999999983036719,27.999999676826981,27.999995203677681,27.999944421989134,27.99949585473238,27.996407321098083,27.979789044062652,27.909666103741689,27.676483870041839,27.06123534443568,25.760793786606083,23.528731332894235,28.00000000000535,28.000000000000639,28.000000000010679,28.000000000005461,28.00000000000254,27.9999999999959,27.999999999971141,27.999999999980165,27.999999999995136,28.000000000013802,28.000000000058453,28.000000000725475,28.000000010164452,28.000000112447793,28.000000991896314,28.0000070280506,28.000040324450104,28.000189185503508,28.000734253295054,28.002389846949917,28.006625644788624
12,28.000000000007194,28.000000000001357,28.000000000008953,28.000000000002764,28.000000000002235,27.999999999995744,27.99999999996081,27.999999999807397,27.999999996044124,27.999999925504547,27.999998880647226,27.999986598435164,27.999871932487832,27.999020802796338,27.993989573256151,27.970249069419623,27.880535106700901,27.607800211685415,26.936614351670652,25.587822531493625,23.347433642453431,28.000000000007155,28.000000000001258,28.000000000008963,28.000000000002874,28.000000000002316,27.999999999995953,27.999999999966484,27.999999999974126,27.999999999993701,28.000000000022339,28.000000000184521,28.000000002378727,28.000000027313675,28.000000253616967,28.000001918132149,28.000011891895259,28.000060881133649,28.000259652428017,28.000932205759575,28.002851754815371,28.007536472473635
13,28.000000000008164,28.00000000000151,28.000000000007368,28.000000000000771,28.000000000001798,27.999999999993577,27.99999999992184,27.999999999040462,27.999999982653822,27.999999737334559,27.999996770966114,27.999967770753106,27.999738425761162,27.998269809212335,27.990643435521253,27.958457452800328,27.847725570867912,27.53587266646846,26.812777549169162,25.421357462508535,23.174894208644297,28.000000000008097,28.000000000001453,28.000000000007361,28.000000000000867,28.000000000001904,27.999999999995111,27.999999999962302,27.999999999969102,27.999999999993484,28.000000000052037,28.000000000576971,28.000000006611465,28.000000064178536,28.000000513624361,28.000003407942039,28.000018854235691,28.000087560987655,28.000344091276805,28.001155026399683,28.003348055541572,28.008483990190499
14,28.000000000008431,28.00000000000129,28.000000000005858,27.999999999999162,28.00000000000059,27.999999999983622,27.999999999737241,27.99999999588735,27.999999937923917,27.999999220936601,27.99999193710385,27.999931155485402,27.999514358442941,27.997163651915884,27.986244065641461,27.944380708010396,27.811545325023136,27.46133047781974,26.690058768128694,25.260847997671117,23.010114141072808,28.000000000008292,28.00000000000124,28.000000000005894,27.999999999999286,28.000000000001098,27.999999999993697,27.999999999958515,27.999999999965187,27.999999999998312,28.000000000145381,28.000000001618002,28.000000016119596,28.000000135526072,28.000000954463712,28.000005657149629,28.000028366014842,28.000121071678237,28.000443110254835,28.001402580688779,28.003877581322257,28.009466604103032
15,28.000000000008431,28.000000000000821,28.000000000004604,27.999999999997637,27.999999999997403,27.999999999938261,27.999999998983633,27.999999985168923,27.999999811368109,27.999997988824386,27.999982071983577,27.999866315182768,27.999165038071755,27.995623145597364,27.980689868997899,27.928029989833362,27.772302732657749,27.384698917654529,26.568686182484075,25.105811252812902,22.852270434929761,28.000000000008285,28.000000000000771,28.000000000004629,27.999999999997794,27.999999999999964,27.999999999991932,27.999999999955083,27.999999999962988,28.000000000018559,28.000000000400707,28.000000004049539,28.000000035362365,28.000000262465665,28.000001653874119,28.00000888435272,28.000040881424571,28.000162061764382,28.000557204703,28.001674676377586,28.004439260420096,28.010482895700324
16,28.000000000008288,28.000000000000206,28.000000000003297,27.999999999995726,27.999999999985349,27.999999999754614,27.999999996386514,27.999999954024538,27.999999498401959,27.999995363851482,27.999963737560435,27.999759857250005,27.998651890127658,27.993572356782256,27.973902508010323,27.909449952108371,27.730295584521663,27.306416049279715,26.448812903645983,24.95582231961756,22.700675469994934,28.000000000008239,28.000000000000149,28.000000000003311,27.999999999996522,27.999999999998693,27.999999999989921,27.99999999995212,27.999999999964881,28.000000000079424,28.00000000101867,28.000000009173252,28.00000007114128,28.000000473357151,28.000002705052879,28.000013326389798,28.000056850208541,28.000211121473107,28.00068677548898,28.001971081236253,28.005032105618358,28.011531591933622
17,28.000000000007763,27.999999999999368,28.000000000001936,27.999999999991623,27.999999999939,27.999999999115321,27.99999998866322,27.999999874514835,27.999998805451057,27.999990267605192,27.999932178168486,27.999595562723769,27.997933851514997,27.990940951067827,27.965825473720834,27.888709402022933,27.685804875268822,27.226847372483878,26.33053822166011,24.810505816787661,22.554747763083608,28.000000000007965,27.999999999999343,28.000000000002149,27.999999999995179,27.999999999997311,27.999999999987903,27.999999999950298,27.999999999977231,28.000000000234415,28.000000002370069,28.000000019092578,28.000000133176449,28.000000804457386,28.000004215819299,28.000019233937024,28.000076711953778,28.000268785175937,28.000832144408143,28.002291535784313,28.005655204310582,28.012611542021308
18,28.000000000007091,27.999999999998398,28.000000000000011,27.999999999978719,27.99999999977755,27.999999997175976,27.999999968378216,27.999999692253549,27.999997405771428,27.999981107725901,27.999881201063999,27.999354686275744,27.996968730191703,27.987665729170168,27.956421877410584,27.865893776638128,27.639091730801688,27.146298215561327,26.213922558157375,24.669528709496081,22.413990373350451,28.000000000007176,27.999999999998508,28.000000000001073,27.999999999993896,27.999999999995858,27.999999999986059,27.999999999951189,28.000000000014154,28.000000000587328,28.000000005085798,28.000000036985622,28.000000234641416,28.000001300296987,28.000006307393836,28.000026867450899,28.000100892021763,28.000335534791535,28.000993567004361,28.002635762506806,28.006307710008642,28.013721699122513
