time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,28.000000000000188,28.00000000000087,27.999999999999829,27.999999999999645,27.999999999997566,28.000000000001407,27.999999999999819,27.999999999999094,28.000000000001286,28.000000000000298,28.000000000000121,28.000000000003165,28.00000000000367,28.0000000000006,28.000000000000149,28.000000000000668,27.999999999998408,27.999999912386105,27.999717292885823,27.935413250763549,26.570306445484331,28.000000000000188,28.00000000000087,27.999999999999829,27.999999999999645,27.999999999997566,28.000000000001407,27.999999999999819,27.999999999999094,28.000000000001286,28.000000000000298,28.000000000000121,28.000000000003165,28.00000000000367,28.0000000000006,28.000000000000149,28.000000000000668,28.000000000000057,28.000000000001442,28.000000006127536,28.000003096299285,28.000186638089225
2,28.000000000000188,28.00000000000087,27.999999999999829,27.999999999999645,27.999999999997513,28.000000000001407,27.999999999999819,27.999999999999094,28.000000000001286,28.000000000000298,28.000000000000639,28.000000000005699,28.000000000006612,28.000000000001052,28.000000000000181,27.999999999455341,27.999999377972362,27.999822839570939,27.986763744493388,27.717824291068464,25.999149579969583,28.000000000000188,28.00000000000087,27.999999999999829,27.999999999999645,27.999999999997513,28.000000000001407,27.999999999999819,27.999999999999094,28.000000000001286,28.000000000000298,28.000000000000639,28.000000000005699,28.000000000006612,28.000000000001052,28.000000000000149,28.000000000000774,28.000000000016112,28.000000007081951,28.000000893113661,28.000035652615562,28.000525289546424
3,27.999999999998614,27.999999999997897,27.999999999999083,28.000000000000938,27.999999999998053,27.999999999998654,28.000000000000913,27.999999999999098,28.000000000002451,28.00000000000523,28.00000000000162,28.000000000002899,28.000000000003364,27.999999999996351,27.999999998497813,27.999999537981203,27.999943780807133,27.997224825020002,27.942380323817865,27.46612475934425,25.56908963274196,27.999999999998614,27.999999999997897,27.999999999999083,28.000000000000938,27.999999999998053,27.999999999998654,28.000000000000913,27.999999999999098,28.000000000002451,28.00000000000523,28.000000000001616,28.000000000002863,28.000000000003357,27.999999999998295,28.000000000003443,28.000000000019039,28.000000002981054,28.000000219679276,28.000007262767035,28.000115206805525,28.000961381262947
4,27.99999999999628,27.999999999995811,27.99999999999871,28.000000000000934,27.99999999999805,27.999999999998039,28.000000000001169,27.999999999999954,28.000000000004313,28.000000000008626,28.000000000002402,28.000000000000693,27.999999999996515,27.999999998776694,27.999999808333147,27.999984988015072,27.999405954746095,27.987894103376917,27.869196685783105,27.216238140330812,25.212007768902993,27.99999999999628,27.999999999995811,27.99999999999871,28.000000000000934,27.99999999999805,27.999999999998039,28.000000000001215,27.999999999999961,28.000000000004317,28.00000000000864,28.000000000002462,28.000000000000647,28.000000000000359,27.999999999997506,28.00000000001506,28.000000000945253,28.000000051733029,28.000001529700224,28.000025251723724,28.000244301902537,28.001475456309098
5,27.999999999994145,27.999999999994156,27.999999999998082,28.000000000000934,27.999999999998028,27.999999999997861,28.0000000000014,28.000000000000981,28.00000000000632,28.000000000011152,28.000000000003112,27.999999999995531,27.999999999394451,27.999999937109731,27.99999624770123,27.999870806477912,27.997404001840657,27.969052002385613,27.775750012281389,26.976467644332956,24.901526634818836,27.999999999994145,27.999999999994156,27.999999999998082,28.000000000000934,27.999999999998064,27.999999999997854,28.00000000000141,28.000000000000895,28.000000000006313,28.000000000011212,28.00000000000313,27.999999999998838,27.999999999997883,28.000000000000341,28.000000000271758,28.000000012001795,28.000000329101404,28.000005565085594,28.000059701307904,28.000421776595424,28.002056278119809
6,27.999999999992301,27.999999999992749,27.999999999997499,28.000000000000934,27.999999999998028,27.999999999997861,28.000000000001616,28.000000000002018,28.00000000000826,28.000000000013308,28.000000000001847,27.999999999764412,27.99999998162216,27.999999089786634,27.999971546789112,27.999434693827432,27.992788991234715,27.940088043198735,27.6690501125622,26.748388444957524,24.624122213346659,27.999999999992301,27.999999999992749,27.999999999997499,28.000000000000934,27.999999999998064,27.999999999997854,28.00000000000167,28.000000000002,28.000000000008281,28.000000000013372,28.000000000003659,27.999999999997328,27.99999999999693,28.000000000065945,28.000000002777238,28.000000071895194,28.000001234674571,28.000014281389952,28.000113915652179,28.000645607365637,28.00269627064926
7,27.999999999990816,27.999999999991523,27.999999999997026,28.000000000000934,27.999999999998028,27.999999999997861,28.000000000002039,28.000000000003141,28.000000000010061,28.000000000014246,27.99999999992599,27.99999999496146,27.999999782353111,27.999993667195408,27.999875384045428,27.998330714858309,27.984638528949965,27.901642780582954,27.553967973466875,26.531678945880802,24.371762888193128,27.999999999990816,27.999999999991523,27.999999999997026,28.000000000000934,27.999999999998064,27.999999999997854,28.000000000002036,28.000000000003098,28.000000000010093,28.00000000001517,28.00000000000411,27.999999999996454,28.000000000011827,28.000000000634252,28.000000015901943,28.000000275772571,28.000003376135336,28.000029624310091,28.000190051234792,28.000913656700288,28.003389876085279
8,27.999999999989555,27.999999999990514,27.999999999996611,28.000000000000934,27.999999999998028,27.999999999997794,28.000000000002476,28.000000000004235,28.000000000011465,27.999999999992593,27.999999998676046,27.999999948288234,27.999998577364476,27.999972245658967,27.999614370984844,27.996160842838659,27.972385840274793,27.854857282513869,27.433777224795602,26.325486322698357,24.13921708002966,27.999999999989555,27.999999999990514,27.999999999996611,28.000000000000934,27.999999999998064,27.999999999997854,28.000000000002444,28.000000000004196,28.000000000011809,28.000000000016708,28.000000000004587,27.999999999999456,28.000000000140147,28.000000003543736,28.000000062003444,28.000000793051942,28.000007509477392,28.000053363590329,28.000289479333215,28.001223891574451,28.004132791226041
9,27.999999999988358,27.999999999990038,27.999999999996675,28.000000000002419,28.000000000000977,27.999999999999996,28.000000000002899,28.000000000007216,28.000000000003546,27.999999999669011,27.99999998773826,27.999999677628541,27.999993761809925,27.999910872210524,27.999055966515829,27.992545690596479,27.955785601971648,27.800976295558769,27.310677134217119,26.128861526632534,23.922851799743054,27.999999999988358,27.999999999990038,27.999999999996696,28.000000000002412,28.000000000000988,28.000000000000021,28.000000000002874,28.000000000007297,28.000000000010637,28.000000000011926,28.000000000003332,28.000000000029701,28.00000000079358,28.000000014022667,28.000000185730418,28.000001870678648,28.000014471782766,28.000087036976062,28.00041304162626,28.001574442140488,28.004921556318653
