time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,27.999999999999932,27.999999999999932,0,0,0,0,0
1,0.0004616190210350645,26.570306382675266,1125.3941093008884,35.962340433118278,27.948141735523954,28.00000507175897,0.75678077245698372,35.490800877240957,-1.5308690821322136e-12,1.6408233506400943e-16,1.1061278322108099e-14
2,0.00045917233729300319,25.999149547401966,1120.0508244072848,50.461261314950875,27.897535591358849,28.000020143743413,2.1279434046694736,70.757329014355733,6.4838865000993318e-11,1.6428841111298812e-16,1.1061278322108099e-14
3,0.00045730453877853363,25.569089641301893,1115.9608410646306,61.432758967452642,27.847732895242078,28.000045077826364,3.891720843777239,105.87833245533035,-1.0183311661854677e-10,1.6428841111298812e-16,1.1061278322108099e-14
4,0.00045573628326419025,25.212007781434515,1112.5195074891585,70.57980546413711,27.798573655455083,28.000079772404227,5.96905151746728,140.88191008977736,-2.3827480460118717e-10,1.6428841111298812e-16,1.1061278322108099e-14
5,0.00045435943995126638,24.9015266458882,1109.4927658033273,78.561833852794919,27.749965460700235,28.00012414311237,8.3142790023678135,175.78430143134514,-3.8963360476871395e-10,1.6428841111298812e-16,1.1061278322108099e-14
6,0.00045311854941625795,24.624122222276046,1106.7605579305646,85.716944443098868,27.701845992449464,28.000178116378589,10.896621845851417,210.59646520189963,-5.2466702224692712e-10,1.6428841111298812e-16,1.1061278322108099e-14
7,0.00045198066620917164,24.371762895192621,1104.2515575792725,92.245927620184446,27.654169525357648,28.000241626228195,13.693499788794094,245.32644740929456,-6.7428119059175002e-10,1.6428841111298812e-16,1.1061278322108099e-14
8,0.00045092432499478077,24.139217085440077,1101.919288776181,98.279572863998069,27.606900649805045,28.000314612415412,16.687430647873175,279.98048279294233,-8.3744164070544033e-10,1.6428841111298812e-16,1.1061278322108099e-14
9,0.00044993465706527429,23.922851836447631,1099.7315671297231,103.90870408880923,27.560010889654123,28.000397019216663,19.864359724648285,314.56358961703438,-6.9826147457076645e-10,1.6428841111298812e-16,1.1061278322108099e-14
10,0.00044900075474804338,23.72002287890264,1097.6647571739963,109.19942802743404,27.513476700521043,28.000488794594123,23.212668701260466,349.07991929876096,-5.6221223719168637e-10,1.6428841111298812e-16,1.1061278322108099e-14
11,0.00044811442757339797,23.528734539070907,1095.7011218977907,114.20163652322728,27.467278194481025,28.00058988959206,26.722544538300429,383.53297948317095,-4.2533497983117898e-10,1.6428841111298812e-16,1.1061278322108099e-14
12,0.00044726931198906135,23.347436786269771,1093.8268793416396,118.95408034325578,27.421398280777112,28.000700257878748,30.385556267475078,417.92578637824664,-2.9471678968706058e-10,1.6428841111298812e-16,1.1061278322108099e-14
13,0.00044646034723165454,23.174897296635748,1092.0310681065948,123.48756758410629,27.375822066732606,28.000819855394404,34.194358869035725,452.26096989378021,-1.5633203196335766e-10,1.6428841111298812e-16,1.1061278322108099e-14
14,0.00044568342999328473,23.010117178621016,1090.3047998317509,127.82707053447453,27.330536424273351,28.000948640069158,38.142479027028408,486.54084973447942,-1.9377082332057137e-11,1.6428841111298812e-16,1.1061278322108099e-14
15,0.00044493517855239426,22.85227342653284,1088.6407485947336,131.99316433667894,27.28552966745665,28.001086571596282,42.224155761688664,520.76749201960581,1.1867031131117591e-10,1.6428841111298812e-16,1.1061278322108099e-14
16,0.00044421276673202345,22.700678419461479,1087.0327914533725,136.00303951346308,27.240791306921249,28.001233611244388,46.43421908596374,554.94275240556726,2.5148686137123297e-10,1.6428841111298812e-16,1.1061278322108099e-14
17,0.00044351380396956386,22.554750673674462,1085.4757488002688,139.87123315813844,27.196311859158907,28.001389721701113,50.767995759191535,589.068309587567,3.8671296178478305e-10,1.6428841111298812e-16,1.1061278322108099e-14
18,0.00044283624675110555,22.413993247884854,1083.9651926121428,143.61016880287858,27.152082695804694,28.001554866941163,55.221234820797918,623.14569177659848,5.1985388361515485e-10,1.6428841111298812e-16,1.1061278322108099e-14
19,0.00044217833193250665,22.277977487839447,1082.4973020791713,147.23056280401386,27.108095922756096,28.001729012113124,59.790047866394993,657.17629793969752,6.5510923852573197e-10,1.6428841111298812e-16,1.1061278322108099e-14
20,0.00044153852567889153,22.146330580404005,1081.0687530461446,150.74173548989992,27.064344281935227,28.001912123441972,64.470860513489413,691.16141506464214,7.8944745841475773e-10,1.6428841111298812e-16,1.1061278322108099e-14
21,0.00044091548377138504,22.018725879813214,1079.6766320630711,154.15185300466962,27.020821070514273,28.002104168144665,69.260372497686078,725.10223235773799,9.2481285557644711e-10,1.6428841111298812e-16,1.1061278322108099e-14
22,0.00044030802033320359,21.89487528689552,1078.3183686638624,157.46811782761193,26.977520073805707,28.002305114355625,74.155524521265662,758.999853041655,1.0604438103259035e-09,1.6428841111298812e-16,1.1061278322108099e-14
23,0.00043971508289028749,21.774523172694533,1076.9916813599064,160.69692068263669,26.934435508981213,28.002514931061683,79.153470452644527,792.85530425109744,1.1936310772089427e-09,1.6428841111298812e-16,1.1061278322108099e-14
24,0.00043913573226551721,21.65744148040902,1075.694534099144,163.84396298977455,26.891561977472545,28.00273358804354,84.251553815170368,826.66954540342385,1.3236892900657058e-09,1.6428841111298812e-16,1.1061278322108099e-14
