time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,28.000000000000014,28.000000000000014,0,0,0,0,0
1,0.0004616190210350645,26.570602809713005,1125.3937849987178,35.954929757174803,27.948141029866516,28.000005071856233,0.75628635334797023,35.490779098854695,4.7552900165701454e-11,1.6057281325139268e-16,1.3453685788194371e-14
2,0.00045917233729300319,25.999348685680065,1120.0506076973559,50.456282857998417,27.897534617231226,28.00002014401387,2.1272609610460957,70.757299029378288,7.5937293897975311e-11,1.6171167812814614e-16,1.3840029368752748e-14
3,0.00045730453877853363,25.56924587404071,1115.9606717377515,61.428853148982213,27.847731724257802,28.000045078317569,3.8909005599668718,105.87829648236466,3.2066960227146137e-11,1.9879477825309619e-16,1.3840029368752748e-14
4,0.00045573628326419025,25.212138543509614,1112.519366253696,70.576536412259657,27.798572324522436,28.000079773152862,5.9681192558628231,140.88186927057959,-1.6326190621352335e-11,1.9990448002883842e-16,1.3961794153336285e-14
5,0.00045435943995126638,24.901640095528652,1109.4926436371384,78.558997611783624,27.749963993309791,28.000124144149279,8.3132512223628332,175.78425649159516,-5.8600900751465953e-11,2.0038324080817917e-16,1.3961794153336285e-14
6,0.00045311854941625795,24.624222942451915,1106.7604497680779,85.714426438702148,27.701844405221735,28.000178117730506,10.895510192466158,210.59641665436067,-1.1632120054144856e-10,2.0093952406244054e-16,1.3961794153336285e-14
7,0.00045198066620917164,24.371853760148852,1104.2514602452602,92.243655996278662,27.654167830838617,28.000241627919053,13.69231305163593,245.32639564051826,-1.7265471291703386e-10,2.0138816004176362e-16,1.3961794153336285e-14
8,0.00045092432499478077,24.139300036537886,1101.9192001271183,98.277499086552837,27.606898857889476,28.000314614467086,16.686175758972091,279.98042810741651,-2.402979331863167e-10,2.0189080717576928e-16,1.3961794153336285e-14
9,0.00044993465706527429,23.922928257089531,1099.7314856389432,103.90679357276173,27.560009008398289,28.000397021648681,19.863042327686479,314.56353226235944,-2.3044553304821056e-10,2.0189080717576928e-16,1.3961794153336285e-14
10,0.00044900075474804338,23.720093795503438,1097.6646817093867,109.19765511241408,27.513474736644643,28.000488797425081,23.211293503348518,349.07985948120586,-2.1964260154768466e-10,2.0189080717576928e-16,1.3961794153336285e-14
11,0.00044811442757339797,23.528800737854823,1095.7010515926172,114.19998155362939,27.4672761536964,28.000589892838846,26.721115540571329,383.53291737786481,-2.0590550067320898e-10,2.0189080717576928e-16,1.3961794153336285e-14
12,0.00044726931198906135,23.347498885062929,1093.8268135151632,118.95252787342683,27.421396168014915,28.000700261557562,30.384076923399991,417.92572213617552,-1.9339002574016085e-10,2.0189080717576928e-16,1.3961794153336285e-14
13,0.00044646034723165454,23.174955791265276,1092.0310062127826,123.4861052183681,27.375819886302754,28.000819859520302,34.192832197205554,452.26090364676907,-1.7732376988107123e-10,2.0189080717576928e-16,1.3961794153336285e-14
14,0.00044568342999328473,23.010172474087121,1090.3047414248238,127.82568814782192,27.330534179983399,28.000948644656507,38.140907693957509,486.54078159884637,-1.6044867731729341e-10,2.0189080717576928e-16,1.3961794153336285e-14
15,0.00044493517855239426,22.85232585864474,1088.6406933052617,131.99185353388145,27.285527362700364,28.001086576658572,42.222542144158737,520.7674220989162,-1.437090012479508e-10,2.0189080717576928e-16,1.3961794153336285e-14
16,0.00044421276673202345,22.700728270274684,1087.0327389712211,136.00179324313297,27.240788944747635,28.001233616794469,46.43256531897692,554.94268079275059,-1.2840445227047005e-10,2.0189080717576928e-16,1.3961794153336285e-14
17,0.00044351380396956386,22.55479818276979,1085.4756988621418,139.87004543075523,27.196309442325294,28.001389727751395,50.76630377353586,589.06823636657327,-1.1394287751060175e-10,2.0189080717576928e-16,1.3961794153336285e-14
18,0.00044283624675110555,22.414038620779742,1083.9651449922956,143.60903448050638,27.152080226819486,28.00155487350337,55.219506372947855,623.145617023716,-1.0066791921211223e-10,2.0189080717576928e-16,1.3961794153336285e-14
19,0.00044217833193250665,22.278020902375051,1082.4972565823596,147.22947744062375,27.108093403913571,28.001729019198564,59.788284562645202,657.17622172461824,-8.8181829571159801e-11,2.0189080717576928e-16,1.3961794153336285e-14
20,0.00044153852567889153,22.146372191672988,1081.0687095021858,150.74069520817534,27.064341715343364,28.001912131061495,64.469063829675221,691.16133745133061,-7.4959668882058871e-11,2.0189080717576928e-16,1.3961794153336285e-14
21,0.00044091548377138504,22.018765824015532,1079.6765903225898,154.15085439961169,27.020818458117986,28.002104176308681,69.258543795476086,725.10215340514844,-5.9831954837427163e-11,2.0189080717576928e-16,1.3961794153336285e-14
