time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,27.999999999999993,28.000000000000004,28,28,27.999999999999996,28.000000000000007,28,28,27.999999999999986,27.999999999999979,28,28.000000000000025,28.000000000000004,27.999999999999989,27.999999999999989,27.999999999999989,27.999999999998185,27.999999907702907,27.999714536622132,27.935412639705834,26.570602809713005,27.999999999999993,28.000000000000004,28,28,27.999999999999996,28.000000000000007,28,28,27.999999999999986,27.999999999999979,28,28.000000000000025,28.000000000000004,27.999999999999989,27.999999999999989,27.999999999999989,28,28.000000000000959,28.000000006218798,28.000003098724441,28.000186515422225
2,27.999999999999993,28.000000000000004,28,28,27.999999999999996,28.000000000000007,28,28,27.999999999999986,27.999999999999979,28,28.000000000000025,28.000000000000004,27.999999999999989,27.999999999999989,27.999999999424364,27.999999364980052,27.99982172495897,27.986751180975258,27.717876672268417,25.999348685680065,27.999999999999993,28.000000000000004,28,28,27.999999999999996,28.000000000000007,28,28,27.999999999999986,27.999999999999979,28,28.000000000000025,28.000000000000004,27.999999999999989,27.999999999999989,27.999999999999989,28.000000000016161,28.000000007145054,28.00000089486301,28.000035649301296,28.000525119653354
3,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,27.999999999999996,27.999999999999993,27.999999999997915,27.999999998445933,27.999999531012669,27.999943443568114,27.997220047983458,27.94237077543708,27.46619610262124,25.56924587404071,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,27.999999999999996,27.999999999999993,27.999999999999986,27.999999999999989,28.000000000017206,28.000000003005365,28.000000220297071,28.000007266844467,28.00011519110755,28.000961176510081
4,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,27.999999999999996,27.999999999996085,27.999999998748638,27.99999980579231,27.999984894067236,27.999404502584575,27.987886230381925,27.869195569884766,27.216314992877905,25.212138543509614,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,27.999999999999996,27.999999999999993,27.999999999999986,28.000000000008576,28.000000000949129,28.000000051918345,28.000001531583621,28.000025256894382,28.000244271593424,28.001475223063281
5,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,27.999999999996678,27.999999999383665,27.999999936321395,27.999996222543221,27.999870399958585,27.997400889884823,27.969043134199943,27.775757357069448,26.97654488970765,24.901640095528652,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,27.999999999999996,27.999999999999993,28.000000000003041,28.000000000265082,28.00000001204813,28.000000329727712,28.000005568644774,28.000059705888042,28.000421731119829,28.0020560204382
6,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999998042,27.999999999762426,27.999999981397782,27.999999083208497,27.999971437588442,27.999433686251987,27.992784244765414,27.940079954941105,27.669064478239363,26.748464024039098,24.624222942451915,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,27.999999999999996,28.00000000000081,28.000000000069289,28.000000002780489,28.000000072073519,28.00000123607354,28.000014286644156,28.000113918122395,28.000645546827609,28.002695991404725
7,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999254,27.999999999920131,27.999999994901966,27.999999780660932,27.999993638560802,27.999875086523485,27.998328887368302,27.984632548607383,27.901636551438937,27.5539878001129,26.531752034085422,24.371853760148852,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,28.000000000000057,28.000000000017508,28.000000000640703,28.000000015941502,28.000000276224071,28.000003378594339,28.000029630999766,28.000190050371682,28.000913581474876,28.003389577447997
8,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999886,27.999999999975358,27.999999998654037,27.999999947858655,27.999998569970199,27.999972162214913,27.999613762656374,27.996158106317914,27.972379153108481,27.854853436624161,27.433801183092999,26.325556634321327,24.139300036537886,28.000000000000025,28.000000000000007,28.000000000000014,28,27.999999999999954,28,27.999999999999989,27.999999999999986,27.999999999999993,27.999999999999986,27.999999999999993,28.000000000004015,28.000000000147971,28.000000003560526,28.000000062128347,28.0000007939488,28.00000751319136,28.000053371300666,28.000289474193,28.001223802144089,28.004132474908594
9,28.000000000000004,28,28.000000000000004,27.999999999999993,27.999999999999989,28.000000000000064,27.999999999999982,28,27.999999999993115,27.999999999652655,27.999999987626197,27.999999675750047,27.999993739251451,27.99991068625831,27.999054939015497,27.992542081078781,27.955778710312426,27.800974985068002,27.31070415332869,26.12892903470345,23.922928257089531,28.000000000000004,28,28.000000000000004,27.999999999999993,27.999999999999989,28.000000000000064,27.999999999999982,28.000000000000011,28.000000000000107,28.000000000000014,28.000000000001002,28.000000000034056,28.00000000080237,28.000000014061527,28.00000018601467,28.000001872195515,28.000014476832,28.000087045209618,28.000413031486293,28.001574339049451,28.004921223762405
