time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00020000000000000001,30.810109667147191,485.57600801777227,416.65525832132022,31.857833602005201,28.000000000000007,0,0,0,0,0
1,0.00020000000000000001,30.807755660242996,485.57712381704482,416.7141084939251,31.854602275673763,28.022355728719468,13.090535566636607,15.254837725525656,4.8781546804929846e-12,1.8327896512741164e-16,1.8189871028053838e-14
2,0.00020000000000000001,30.805403780935315,485.57823860783674,416.77290547661715,31.851373656062059,28.044315711668766,26.182919097874102,30.509710488460126,9.8333994294837521e-12,1.8327896512741164e-16,1.9331449264929465e-14
3,0.00020000000000000001,30.803053897319824,485.57935245267043,416.83165256700443,31.848147740844002,28.066022610230252,39.277149005615108,45.764618258693119,5.6813862715089963e-12,1.8327896512741164e-16,1.9331449264929465e-14
4,0.00020000000000000001,30.800705995275631,485.58046535823934,416.89035011810927,31.844924527733252,28.087527018573965,52.373223728911121,61.019561006628919,4.9826790146454167e-12,1.8327896512741164e-16,1.9331449264929465e-14
5,0.00020000000000000001,30.798360068328044,485.58157732761254,416.94899829179894,31.841704014454361,28.108858136418341,65.471141714220721,76.274538702812592,3.910955121508871e-12,1.8327896512741164e-16,1.9331449264929465e-14
6,0.00020000000000000001,30.796016112355478,485.58268836274357,417.00759719111306,31.838486198737705,28.130035644929819,78.570901412018131,91.529551317865042,-6.7808795926636724e-13,1.8327896512741164e-16,1.9331449264929465e-14
7,0.00020000000000000001,30.793674124242255,485.58379846510917,417.06614689394365,31.835271078317835,28.151073979529837,91.672501275571349,106.78459882246023,-2.0133639157836906e-12,1.8327896512741164e-16,1.9331449264929465e-14
8,0.00020000000000000001,30.791334101386177,485.58490763594295,417.12464746534562,31.832058650932424,28.171984315581472,104.77593976037389,122.03968118731433,-5.303764558859752e-12,1.8327896512741164e-16,1.9331449264929465e-14
9,0.00020000000000000001,30.788996041478519,485.58601587633922,417.18309896303703,31.828848914322013,28.192775637166264,117.88121532380823,137.29479838317923,-7.9846274831416361e-12,1.8327896512741164e-16,1.9331449264929465e-14
10,0.00020000000000000001,30.786659942393598,485.58712318730545,417.24150144016005,31.825641866229819,28.213455370625798,130.98832642505207,152.54995038084101,-1.3243112424164351e-11,1.8327896512741164e-16,1.9331449264929465e-14
