time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,33,32.99379875613613,32.975218096209503,32.944327139841228,32.901240768901161,32.846119152706883,32.779167086189737,32.700633143899864,32.610808653520643,32.5100264933453,32.398659718930489,32.277120024880773,32.145856048430488,32.005351522171914,31.856123283928916,31.698719152389376,31.53371567768562,31.361715776647117,31.183346262941392,30.99925528276523,30.810109667147191,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,32.995812114604078,32.989616070009404,32.971050972922342,32.940185890134195,32.897135607384783,32.842060159828193,32.775164170880466,32.696696006876572,32.606946751494391,32.506249004218922,32.394975508141918,32.273537613040958,32.142383580379203,32.001996737586502,31.852893489599239,31.695621196261637,31.53075592479011,31.358900087036172,31.180679970026027,30.996742991575921,30.807751877298507,27.999999999999428,28,28.000000000000007,28.000000000000004,28.000000000000174,27.999999999999062,28,27.999999999999972,27.999999999998924,27.999999999999879,28,28,28,28,28.000000000000007,28.000000000002515,28.000000000423935,28.000000540920727,28.000240402482376,28.02793373435264,28.6034683831368
2,32.991627741552428,32.985436887077718,32.966887339911921,32.936048109045309,32.893033884258266,32.838004566673028,32.771164608322316,32.692762167511255,32.603088084111967,32.502474679033313,32.391294383166056,32.269958201748459,32.138914020789208,31.998644762894031,31.849666400472383,31.692525834910171,31.527798650910899,31.356086754932029,31.178015871144307,30.994232370361431,30.805398439096813,27.999999999999428,28,28.000000000000007,28.000000000000004,28.000000000000174,27.999999999999062,28,27.999999999999972,27.999999999998924,27.999999999999879,28,28,28,28,28.000000000010658,28.000000004599148,28.000001096124052,28.000125857812815,28.006230364801066,28.119565027227353,28.857989925646894
3,32.987446873524377,32.981261204550734,32.962727194248387,32.931913793668969,32.888935596641886,32.833952370395615,32.767168395707635,32.6888316230417,32.599232648665371,32.498703515140029,32.387616341418742,32.266381788489809,32.135447367225268,31.995295595742668,31.84644201428311,31.689433066156106,31.52484385372426,31.353275771385967,31.175353914563242,30.991723737888336,30.803047401372545,27.999999999999297,28.000000000000064,28.000000000000007,27.999999999999844,28.000000000000163,27.999999999999364,28,28.000000000000064,27.999999999999744,27.999999999999879,28.000000000000004,27.999999999999993,28.000000000000249,28.00000000002856,28.000000005406033,28.000000612710579,28.000039793718123,28.001399386926209,28.025287767701897,28.227903361971254,29.04949210748018
4,32.983269507411045,32.977089019514068,32.958570533016534,32.927782941099508,32.884840741660959,32.829903568146243,32.763175530232658,32.684904370708281,32.595380442444551,32.494935509889338,32.383941380316863,32.262808370755586,32.131983617252885,31.991949233778723,31.843220328766456,31.686342887771179,31.521891529765739,31.350467122557099,31.17269410383075,30.989217204222971,30.800698550996408,27.999999999999297,28.000000000000064,28.000000000000007,27.999999999999844,28.000000000000163,27.999999999999364,28,28.000000000000064,27.999999999999744,27.999999999999879,28.000000000000004,28.000000000000011,28.000000000028404,28.000000003135366,28.000000232044304,28.000010962237763,28.000319431481071,28.005562544211084,28.056624554182775,28.336558754199871,29.208964873449982
5,32.979095640228913,32.972920329032675,32.954417353304834,32.923655548435569,32.880749316439328,32.825858157083374,32.759186009093135,32.680980407754411,32.591531462745877,32.491170660635945,32.380269497280658,32.259237946036691,32.128522768440327,31.988605674652288,31.840001341645241,31.683255297292323,31.518941674136403,31.347660798665043,31.170036460281267,30.986712795322333,30.798351806286739,27.999999999999297,28.000000000000064,28.000000000000007,27.999999999999844,28.000000000000163,27.999999999999364,28,28.000000000000064,27.999999999999744,27.999999999999879,28.000000000000068,28.000000000016488,28.000000001327507,28.000000074345941,28.00000286161886,28.00007393241934,28.001254880007949,28.013762189407835,28.096844127216691,28.441470275975718,29.348129312498937
6,32.974925269024581,32.96875513017384,32.950267652201639,32.919531612779885,32.87666131810365,32.821816134366721,32.755199829487964,32.677059731424826,32.587685706867056,32.487408964736481,32.376600689732008,32.255670511826168,32.125064818357529,31.985264916012355,31.836785050595228,31.68017029187893,31.515994281526691,31.344856795756495,31.167381002097095,30.9842105155418,30.796007124945227,27.999999999999297,28.000000000000064,28.000000000000007,27.999999999999844,28.000000000000163,27.999999999999364,28,28.000000000000064,27.999999999999744,27.999999999999879,28.000000000007564,28.000000000475261,28.00000002187414,28.000000729046896,28.000017309868149,28.000288205797197,28.003321595430243,28.026291416082358,28.143011430034498,28.541742022063499,29.472935555296772
7,32.970758390857668,32.964593420008661,32.946121426795756,32.915411131237704,32.872576743783192,32.817777497158239,32.751216988618232,32.673142338966684,32.583843172107855,32.483650419549797,32.372934955095005,32.25210606561911,32.121609764575624,31.981926955498807,31.833571453197827,31.677087868362481,31.513049347231853,31.342055113452897,31.16472774169717,30.981710362939978,30.793664481308287,27.999999999999297,28.000000000000064,28.000000000000007,27.999999999999844,28.000000000000163,27.999999999999364,28,28.000000000000064,27.999999999999744,28.000000000002753,28.000000000154543,28.000000006135043,28.000000183643511,28.000004093037976,28.000067106316166,28.000800916585465,28.00690677743243,28.042919541249621,28.19303563041694,28.63740030578268,29.586897206420161
8,32.96659500279506,32.960435195611986,32.941978674177321,32.911294100916798,32.868495590610131,32.813742242622254,32.747237483687591,32.66922822762951,32.580003855770428,32.479895022436949,32.369272290795742,32.248544604912702,32.118157604665576,31.978591790729627,31.830360546915912,31.674008023436432,31.510106867518093,31.339255752910848,31.162076686965996,30.979212333695187,30.791323858136522,27.999999999999297,28.000000000000064,28.000000000000007,27.999999999999844,28.000000000000163,27.999999999999364,28,28.000000000000064,28.000000000000703,28.000000000047113,28.000000001673339,28.000000046045312,28.000000976446053,28.000015801817185,28.000193462119512,28.001779790860638,28.012255705961373,28.063190888609185,28.245490115532895,28.728746807225797,29.692294425078781
9,32.962435101909371,32.956280454061137,32.937839391437613,32.907180518927106,32.864417855718948,32.809710367925952,32.743261311901797,32.665317394665564,32.57616775515892,32.476142770761172,32.365612694262083,32.244986127205692,32.114708336193601,31.975259419288342,31.827152329106518,31.670930753845035,31.507166839554312,31.336458715676432,31.159427842665448,30.976716423543643,30.78898524298048,27.999999999999829,27.999999999999964,28.000000000000032,27.999999999999979,28.000000000000028,27.999999999999616,28.000000000000021,28.000000000000309,28.00000000001371,28.000000000448996,28.000000011538706,28.000000234900732,28.000003757520869,28.000046881131706,28.000453435465001,28.003385447465718,28.019481692907199,28.086592756564741,28.299405694054265,28.816148008617404,29.790706422216076
