time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00020000000000000001,28,486.90800000000002,486.90800000000002,28,28,0,0,0,0,0
1,0.00020000000000000001,28.000000000000018,486.90800000000002,486.90799999999956,28,28.022358859890609,15.296665957741075,15.29666595774111,2.2160158877611521e-12,1.7643274419367508e-16,1.1353341181239171e-14
2,0.00020000000000000001,28.000000000000018,486.90800000000002,486.90799999999956,28,28.044320064167419,30.593331915483304,30.593331915483336,2.2299673617531865e-12,1.7643274419367508e-16,1.1353341181239171e-14
3,0.00020000000000000001,28.000000000000018,486.90800000000002,486.90799999999956,27.999999999999993,28.066027862218743,45.889997873224104,45.889997873224139,2.5996596233639891e-12,1.7643274419367508e-16,1.1353341181239171e-14
4,0.00020000000000000001,28.000000000000018,486.90800000000002,486.90799999999956,27.999999999999993,28.087533004895427,61.186663830965927,61.186663830965962,2.6136110973560234e-12,1.7643274419367508e-16,1.1353341181239171e-14
5,0.00020000000000000001,28.000000000000018,486.90800000000002,486.90799999999956,27.999999999999993,28.108864752120702,76.483329788708161,76.48332978870819,2.6275625713480582e-12,1.7643274419367508e-16,1.1353341181239171e-14
6,0.00020000000000000001,28.000000000000018,486.90800000000002,486.90799999999956,27.999999999999993,28.130042815804252,91.779995746450382,91.779995746450425,2.6415140453400926e-12,1.7643274419367508e-16,1.1353341181239171e-14
7,0.00020000000000000001,28.000000000000018,486.90800000000002,486.90799999999956,27.999999999999993,28.151081649574394,107.07666170419262,107.07666170419265,2.6554655193321274e-12,1.7643274419367508e-16,1.1353341181239171e-14
8,0.00020000000000000001,28.000000000000018,486.90800000000002,486.90799999999956,27.999999999999993,28.171992440627758,122.37332766193485,122.37332766193487,2.6694169933241618e-12,1.7643274419367508e-16,1.1353341181239171e-14
9,0.00020000000000000001,28,486.90800000000002,486.90800000000002,28,28.192784181248189,137.66999361967564,137.66999361967567,2.4937156177369769e-12,1.7643274419367508e-16,1.1559962327850151e-14
10,0.00020000000000000001,28,486.90800000000002,486.90800000000002,28,28.213464303737737,152.96665957741644,152.96665957741646,2.4937156177369769e-12,1.7643274419367508e-16,1.1559962327850151e-14
