time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,28,28.000000000000036,28,28.000000000000099,28.000000000000004,28,28,28,28.000000000000004,27.99999999999995,27.999999999999872,28,27.999999999999986,27.999999999999996,28.000000000000007,28,28,28,28.000000000000025,28.000000000000167,28.000000000000018,28,28.000000000000036,28,28.000000000000099,28.000000000000004,28,28,28,28.000000000000004,27.99999999999995,27.999999999999872,28,27.999999999999986,27.999999999999996,28.000000000000007,28,28.000000000005567,28.000000076967492,28.000140554089093,28.027781558175079,28.61503054631202
2,28,28.000000000000036,28,28.000000000000099,28.000000000000004,28,28,28,28.000000000000004,27.99999999999995,27.999999999999872,28,27.999999999999986,27.999999999999996,28.000000000000007,28,28,28,28.000000000000025,28.000000000000167,28.000000000000018,28,28.000000000000036,28,28.000000000000099,28.000000000000004,28,28,28,28.000000000000004,27.99999999999995,27.999999999999872,28,27.999999999999986,27.999999999999996,28.000000000000082,28.00000000048674,28.000000364167679,28.000083954330957,28.005784715450286,28.121389329831093,28.865620360315003
3,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,27.999999999999986,28.000000000000025,28.000000000000036,28.000000000000007,28.000000000000004,27.999999999999964,28,27.999999999999986,28.000000000000181,28.000000000000018,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,27.999999999999986,28.000000000000025,28.000000000001876,28.000000001033861,28.000000249970672,28.000026562931261,28.001228417112749,28.024926393337438,28.230495008127338,29.055468911961551
4,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,27.999999999999986,28.000000000000025,28.000000000000036,28.000000000000007,28.000000000000004,27.999999999999964,28,27.999999999999986,28.000000000000181,28.000000000000018,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,27.999999999999986,28.00000000000324,28.000000000762618,28.000000101093523,28.000007127899014,28.000266070740899,28.005277762933947,28.056560679085614,28.339389451809932,29.213975509494286
5,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,27.999999999999986,28.000000000000025,28.000000000000036,28.000000000000007,28.000000000000004,27.999999999999964,28,27.999999999999986,28.000000000000181,28.000000000000018,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,28.000000000002188,28.000000000361403,28.000000032891158,28.000001795118127,28.000058526368949,28.001141724099572,28.013436389757647,28.097090111534452,28.444336238419172,29.352488460130004
6,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,27.999999999999986,28.000000000000025,28.000000000000036,28.000000000000007,28.000000000000004,27.999999999999964,28,27.999999999999986,28.000000000000181,28.000000000000018,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,28.000000000001158,28.000000000136215,28.000000009600686,28.000000439252144,28.000013033839725,28.000250947813253,28.003148573338724,28.025989361359471,28.143519173056248,28.544560105235867,29.476817918009317
7,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,27.999999999999986,28.000000000000025,28.000000000000036,28.000000000000007,28.000000000000004,27.999999999999964,28,27.999999999999986,28.000000000000181,28.000000000000018,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,28.000000000000203,28.000000000045059,28.000000002637847,28.000000106012813,28.000002932946245,28.000055854760031,28.000733835704622,28.006687495416571,28.042682058083752,28.19374944990528,28.640136247275713,29.59041154482869
8,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28,27.999999999999922,27.999999999999936,27.999999999999986,28.000000000000025,28.000000000000036,28.000000000000007,28.000000000000004,27.999999999999964,28,27.999999999999986,28.000000000000181,28.000000000000018,28.000000000000085,28.000000000000007,28,28.000000000000103,28.000000000000021,28,28,28.000000000000011,28.000000000000075,28.000000000013323,28.000000000699252,28.000000025430687,28.000000666079863,28.000012563120567,28.000170815212066,28.001679415471052,28.012008846109023,28.063038671326538,28.246361493686468,28.731387781529477,29.695513829519978
9,28.000000000000021,28.000000000000036,28.000000000000053,28.000000000000011,28,27.999999999999972,28,28.000000000000007,28.000000000000057,27.999999999999972,27.999999999999975,27.999999999999986,28.000000000000004,28.000000000000039,27.999999999999996,28.000000000000007,27.999999999999975,28.000000000000007,27.999999999999979,28.00000000000006,28,28.000000000000021,28.000000000000036,28.000000000000053,28.000000000000011,28,27.999999999999972,28,28.000000000000053,28.000000000004047,28.00000000018137,28.000000006091362,28.000000152574334,28.000002852126194,28.000039801820449,28.000415354507172,28.003252636952901,28.019225516615403,28.086533209687975,28.300395736599629,28.818691083414627,29.793682783644126
