time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,0,0,28.000000000000014,28.000000000000014,0,0,0,0,0
1,0.0004616190210350645,28.000186515422225,0,0.21533711444430281,28.000005071856233,28.000005071856233,0.0033970661728511095,0,1.9969428898102127e-12,1.5792988688626509e-16,1.4014112638188595e-14
2,0.00045917233729300319,28.000525119653354,0,0.42687200866620145,28.00002014401387,28.00002014401387,0.013492209741730527,0,3.1987992427609294e-11,1.5792988688626509e-16,1.4014112638188595e-14
3,0.00045730453877853363,28.000961176510081,0,0.63597058724793598,28.000045078317569,28.000045078317569,0.030192896056755205,0,1.4392542925660323e-11,1.9502431061926289e-16,1.4014112638188595e-14
4,0.00045573628326419025,28.001475223063281,0,0.84311942341797064,28.000079773152862,28.000079773152862,0.053431064929838089,0,-3.0983510175119741e-11,1.9502431061926289e-16,1.4019411330026623e-14
5,0.00045435943995126638,28.0020560204382,0,1.0485994890449213,28.000124144149279,28.000124144149279,0.083150206169281343,0,-8.8897021243116916e-11,1.9502431061926289e-16,1.4019411330026623e-14
6,0.00045311854941625795,28.002695991404725,0,1.252600214881916,28.000178117730506,28.000178117730506,0.11930103916951985,0,-1.5766065222001054e-10,1.9502431061926289e-16,1.4508904808060594e-14
7,0.00045198066620917164,28.003389577447997,0,1.4552605638000315,28.000241627919053,28.000241627919053,0.16183937303222509,0,-2.1700092999058649e-10,1.9502431061926289e-16,1.4508904808060594e-14
8,0.00045092432499478077,28.004132474908594,0,1.6566881272851219,28.000314614467086,28.000314614467086,0.2107248545743024,0,-2.7821205202463544e-10,1.9502431061926289e-16,1.4508904808060594e-14
9,0.00044993465706527429,28.004921223762498,0,1.8569694059375585,28.000397021648681,28.000397021648681,0.26592015912422579,0,-2.708757199216765e-10,1.9502431061926289e-16,1.4508904808060594e-14
10,0.00044900075474804338,28.005752963666755,0,2.0561759083311593,28.000488797425092,28.000488797425081,0.32739043189999384,0,-2.7084976919227608e-10,1.9502431061926289e-16,1.4508904808060594e-14
11,0.00044811442757339797,28.006625278641536,0,2.2543680339615513,28.000589892838846,28.000589892838846,0.39510288177067027,0,-2.6786329422319995e-10,1.9502431061926289e-16,1.4508904808060594e-14
12,0.00044726931198906135,28.007536092895567,0,2.451597677610895,28.000700261557565,28.000700261557562,0.46902647589648233,0,-2.5951276881273469e-10,1.9502431061926289e-16,1.4508904808060594e-14
13,0.00044646034723165454,28.008483597938032,0,2.6479100515492071,28.000819859520305,28.000819859520302,0.54913170278101842,0,-2.4896405030113519e-10,1.9502431061926289e-16,1.4508904808060594e-14
14,0.00044568342999328473,28.009466199844919,0,2.8433450038769514,28.000948644656535,28.000948644656507,0.63539038410524107,0,-2.3732301627353979e-10,1.9502431061926289e-16,1.4508904808060594e-14
15,0.00044493517855239426,28.01048248003308,0,3.0379379991729571,28.001086576658604,28.001086576658572,0.72777552233716647,0,-2.2561915795130743e-10,1.9502431061926289e-16,1.4508904808060594e-14
16,0.00044421276673202345,28.011531165393368,0,3.2317208651658547,28.001233616794501,28.001233616794469,0.82626117525940346,0,-2.1534625209317535e-10,1.9502431061926289e-16,1.4508904808060594e-14
17,0.00044351380396956386,28.012611105093317,0,3.4247223726670661,28.001389727751413,28.001389727751395,0.9308223511929683,0,-2.0193319872624006e-10,1.9502431061926289e-16,1.4508904808060594e-14
18,0.00044283624675110555,28.013721252248402,0,3.6169686937898682,28.001554873503402,28.00155487350337,1.0414349204318498,0,-1.8670482867973441e-10,1.9502431061926289e-16,1.4508904808060594e-14
19,0.00044217833193250665,28.014860649221593,0,3.8084837694602136,28.001729019198585,28.001729019198564,1.1580755395806517,0,-1.686758587842874e-10,1.9502431061926289e-16,1.4508904808060594e-14
20,0.00044153852567889153,28.016028415677422,0,3.9992896080645046,28.001912131061523,28.001912131061495,1.280721586308164,0,-1.5313702807891827e-10,1.9502431061926289e-16,1.4508904808060594e-14
21,0.00044091548377138504,28.017223738760098,0,4.1894065309975304,28.002104176308723,28.002104176308681,1.4093511026141672,0,-1.3676707765117793e-10,1.9502431061926289e-16,1.4508904808060594e-14
22,0.00044030802033320359,28.018445864933366,0,4.37885337666577,28.002305123074255,28.002305123074212,1.5439427451317962,0,-1.2291924359382757e-10,1.9502431061926289e-16,1.4508904808060594e-14
23,0.00043971508289028749,28.019694093137943,0,4.5676476715514447,28.002514940344554,28.002514940344508,1.684475741301944,0,-1.1198057746711088e-10,1.9502431061926289e-16,1.4508904808060594e-14
24,0.00043913573226551721,28.020967769004049,0,4.7558057748988247,28.002733597900022,28.002733597899987,1.8309298504925819,0,-9.7342402456170424e-11,1.9502431061926289e-16,1.4508904808060594e-14
25,0.00043856912620862887,28.02226627991962,0,4.9433430020094704,28.002961066263669,28.002961066263623,1.9832853293160631,0,-8.2355101516025804e-11,1.9502431061926289e-16,1.4508904808060594e-14
26,0.00043801450594699038,28.023589050797494,0,5.1302737300626511,28.00319731665434,28.00319731665428,2.1415229005362857,0,-6.9130792415738239e-11,1.9502431061926289e-16,1.4508904808060594e-14
27,0.00043747118504447306,28.024935540419573,0,5.3166114895106809,28.003442320945066,28.003442320945027,2.3056237250666456,0,-5.4496220570511278e-11,1.9502431061926289e-16,1.4508904808060594e-14
28,0.00043693854010202782,28.026305238260189,0,5.5023690434952144,28.003696051625244,28.003696051625194,2.4755693766454758,0,-4.0287290621193935e-11,1.9502431061926289e-16,1.4508904808060594e-14
29,0.00043641600294099967,28.0276976617115,0,5.6875584572124716,28.003958481766297,28.003958481766269,2.6513418188438522,0,-2.6179731278058017e-11,1.9502431061926289e-16,1.4508904808060594e-14
30,0.00043590305399009323,28.029112353647069,0,5.87219115882327,28.004229584990412,28.00422958499037,2.8329233841161758,0,-1.0287477139887129e-11,1.9502431061926289e-16,1.4508904808060594e-14
31,0.00043539921665692634,28.030548880272931,0,6.0562779931767174,28.004509335441913,28.004509335441817,3.0202967546483031,0,4.9184133557203362e-12,1.9502431061926289e-16,1.4508904808060594e-14
32,0.00043490405251074397,28.032006829223825,0,6.2398292694044066,28.004797707760986,28.004797707760925,3.2134449447946931,0,2.0516790900389017e-11,1.9502431061926289e-16,1.4508904808060594e-14
33,0.0004344171802660113,28.033485807841647,0,6.4228548039587885,28.005094677057816,28.005094677057755,3.4123512836886047,0,9.0616279907354916e-12,1.9502431061926289e-16,1.4508904808060594e-14
34,0.00043393820080119347,28.034985441749839,0,6.6053639562539956,28.005400218896078,28.005400218896025,3.6169994041026126,0,-2.6724526779708958e-12,1.9502431061926289e-16,1.4508904808060594e-14
35,0.00043346676767019111,28.036505373409351,0,6.7873656647661207,28.005714309266359,28.005714309266313,3.8273732248764065,0,-1.5793196778249058e-11,1.9502431061926289e-16,1.4508904808060594e-14
36,0.00043300255900717864,28.038045260931064,0,6.9688684767233333,28.006036924569262,28.006036924569234,4.0434569394389674,0,-2.5903884478221758e-11,1.9502431061926289e-16,1.4508904808060594e-14
37,0.00043254527515295397,28.0396047769772,0,7.1498805755700445,28.006368041597749,28.006368041597678,4.265235003955806,0,-3.6297900183469225e-11,1.9502431061926289e-16,1.4508904808060594e-14
38,0.00043209463656823546,28.041183607767543,0,7.3304098058114775,28.006707637520467,28.006707637520407,4.4926921262970536,0,-4.7694642658229732e-11,1.9502431061926289e-16,1.4508904808060594e-14
39,0.00043165038199249244,28.04278145217803,0,7.510463695549241,28.007055689866519,28.007055689866455,4.7258132557490367,0,-5.676553408630899e-11,1.9502431061926289e-16,1.4508904808060594e-14
40,0.00043121226681381398,28.044398020920823,0,7.6900494769794214,28.007412176511146,28.007412176511075,4.9645835734011499,0,-6.7462347187782985e-11,1.9502431061926289e-16,1.4508904808060594e-14
41,0.00043078006162107073,28.046033035796903,0,7.8691741050774588,28.007777075662165,28.007777075662098,5.2089884831476772,0,-7.9053248129748852e-11,1.9502431061926289e-16,1.4508904808060594e-14
42,0.00043035355091400844,28.047686229012836,0,8.0478442746790613,28.008150365847527,28.008150365847467,5.4590136032509289,0,-9.0009674455608419e-11,1.9502431061926289e-16,1.4508904808060594e-14
43,0.00042993253195068581,28.049357342555066,0,8.226066436123336,28.008532025903357,28.008532025903317,5.7146447584179567,0,-1.0057768847565302e-10,1.9502431061926289e-16,1.4508904808060594e-14
44,0.0004295168137148994,28.051046127615475,0,8.4038468096131247,28.008922034962914,28.008922034962833,5.9758679723482304,0,-1.1132877744328139e-10,1.9502431061926289e-16,1.4508904808060594e-14
45,0.0004291062159885491,28.052752344063048,0,8.5811913984238153,28.009320372445988,28.009320372445899,6.2426694607140227,0,-1.2228183988346844e-10,1.9502431061926289e-16,1.4508904808060594e-14
46,0.0004287005685163088,28.054475759957004,0,8.7581060010748502,28.009727018049187,28.009727018049137,6.5150356245392036,0,-1.3413022999240255e-10,1.9502431061926289e-16,1.4508904808060594e-14
47,0.00042829971025152268,28.056216151097058,0,8.934596222573532,28.010141951736497,28.010141951736419,6.7929530439455714,0,-1.4591626082744842e-10,1.9502431061926289e-16,1.4508904808060594e-14
48,0.00042790348867397193,28.057973300607703,0,9.1106674848074221,28.01056515373045,28.010565153730397,7.076408472238807,0,-1.5577226327973761e-10,1.9502431061926289e-16,1.4508904808060594e-14
49,0.00042751175917123206,28.059746998552804,0,9.2863250361798322,28.010996604503795,28.010996604503745,7.3653888303088975,0,-1.6703342712867574e-10,1.9502431061926289e-16,1.4508904808060594e-14
50,0.00042712438447659349,28.061537041578141,0,9.46157396054641,28.011436284771623,28.011436284771563,7.6598812013220359,0,-1.7567123564764152e-10,1.9502431061926289e-16,1.4508904808060594e-14
51,0.00042674123415728673,28.063343232578926,0,9.6364191855268011,28.011884175483669,28.011884175483583,7.9598728256833358,0,-1.8653377427581895e-10,1.9502431061926289e-16,1.4508904808060594e-14
52,0.00042636218414767802,28.065165380390535,0,9.8108654902365977,28.0123402578173,28.012340257817218,8.265351096251436,0,-1.972472964473162e-10,1.9502431061926289e-16,1.4508904808060594e-14
53,0.00042598711632262917,28.067003299500008,0,9.9849175124997913,28.01280451317081,28.012804513170728,8.5763035537877279,0,-2.0907156167832287e-10,1.9502431061926289e-16,1.4508904808060594e-14
54,0.00042561591810698769,28.068856809776918,0,10.15857975557708,28.013276923156695,28.013276923156617,8.8927178826243871,0,-2.1932105973227316e-10,1.9502431061926289e-16,1.4508904808060594e-14
55,0.00042524848211737741,28.07072573622164,0,10.331856594459055,28.013757469595816,28.013757469595717,9.2145819065369476,0,-2.2973561162575128e-10,1.9502431061926289e-16,1.4508904808060594e-14
56,0.00042488470583323441,28.072609908729923,0,10.504752281751895,28.014246134511165,28.014246134511083,9.5418835848079908,0,-2.4170118185418075e-10,1.9502431061926289e-16,1.4508904808060594e-14
