time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,27.999999999999986,27.999999999999986,0,0,0,0,0
1,0.00046161946893698882,26.570300634614643,1125.395207542296,35.962484134633854,27.948141640921456,28.00000507176054,0.75678841390314278,35.490871884309286,2.0311499244722389e-09,1.5323127479054473e-16,1.0661674123910048e-14
2,0.00045917264894377717,25.999145005197143,1120.0515895544181,50.461374870071474,27.897535460319265,28.000020143745889,2.1279550095062016,70.757428392218387,4.3382018163695192e-09,1.5327879623497663e-16,1.0735388509698184e-14
3,0.00045730473714658147,25.569085773159205,1115.9613293347677,61.432855671019837,27.847732740737477,28.000045077825256,3.8917357510911894,105.87845085164018,3.6138258583347774e-09,1.5327879623497663e-16,1.0735388509698184e-14
4,0.00045573642981624362,25.212004361738924,1112.5198689379406,70.579890956526896,27.798573485614185,28.000079772399182,5.9690692863336219,140.88204161917955,2.8899619793432831e-09,1.5327879623497663e-16,1.0735388509698184e-14
5,0.00045435955691219539,24.901523546148727,1109.4930547461752,78.561911346281747,27.749965279569103,28.000124143102937,8.314299332325314,175.78444308329793,2.1333883627465725e-09,1.5327879623497663e-16,1.0735388509698184e-14
6,0.00045311864720911965,24.624119365460146,1106.7607998615315,85.717015863496385,27.701845802434935,28.000178116364296,10.896644516294778,210.5966151435743,1.3330384214346434e-09,1.5327879623497663e-16,1.0735388509698184e-14
7,0.0004519807505356448,24.371760231120643,1104.2517664543,92.245994221983892,27.654169328052401,28.00024162620862,13.693524628734302,245.3266044031175,5.7819181747492756e-10,1.5327879623497663e-16,1.0735388509698184e-14
8,0.00045092439931019381,24.139214579319777,1101.9194730582847,98.279635517005559,27.606900446339697,28.000314612390639,16.68745751955953,279.98064594376388,-1.8002902676688537e-10,1.5327879623497663e-16,1.0735388509698184e-14
9,0.00044993468289436072,23.922849558642476,1099.7316326901762,103.90876103393811,27.560010683387922,28.000397019189592,19.864388523065177,314.56375657206922,1.3796143382977341e-09,1.5327879623497663e-16,1.0735388509698184e-14
10,0.00044900074551668025,23.720020848460543,1097.6647367668925,109.19947878848646,27.51347649590268,28.000488794565051,23.212699228595721,349.08008688040456,2.9371165662889606e-09,1.5327879623497663e-16,1.0735388509698184e-14
11,0.0004481143923279922,23.52873274633442,1095.7010376218905,114.20168134163946,27.467277994696296,28.000589889560455,26.722576598151296,383.53314536126635,4.4809642686924016e-09,1.5327879623497663e-16,1.0735388509698184e-14
12,0.00044726925704346386,23.347435215870611,1093.8267466331902,118.95411960323479,27.421398088160736,28.000700257844439,30.385589674914144,417.92594880406438,6.0115459940587351e-09,1.5327879623497663e-16,1.0735388509698184e-14
13,0.00044646027712163898,23.174895932324041,1092.0308980628081,123.48760169189896,27.375821883024496,28.000819855357015,34.194393452525787,452.26112753044993,7.5309558150358098e-09,1.5327879623497663e-16,1.0735388509698184e-14
14,0.00044568334805662952,23.01011600483821,1090.3046006245324,127.82709987904468,27.33053625078562,28.000948640028767,38.142514628182433,486.54100154470467,9.0474414506625113e-09,1.5327879623497663e-16,1.0735388509698184e-14
