time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000002206,28.000000000010573,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999986,27.999999999999893,27.999999999999247,27.999999912457564,27.999717329482468,27.935413068054423,26.570300634614643,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000002206,28.000000000010573,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999986,27.999999999999893,28.000000000000131,28.000000000001204,28.000000006139217,28.000003096273307,28.000186639539535
2,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000003268,28.000000000011369,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999972,27.999999999455511,27.999999378149884,27.999822853313759,27.986763865346266,27.717823141507331,25.999145005197143,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000003268,28.000000000011369,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999986,27.999999999999893,28.000000000018801,28.000000007082779,28.000000893113864,28.00003565267038,28.000525291580729
3,27.999999999992301,27.999999999997499,27.99999999999806,28.000000000001776,28.000000000008562,28.000000000006395,27.99999999999914,28.00000000000955,28.000000000000419,27.99999999999552,28.00000000000281,27.999999999992529,28.000000000004494,28.0000000000006,27.999999998504666,27.999999538099175,27.999943785743444,27.99722488173585,27.942380318470455,27.466123159143642,25.569085773159205,27.999999999992301,27.999999999997499,27.99999999999806,28.000000000001776,28.000000000008562,28.000000000006395,27.99999999999914,28.00000000000955,28.000000000000419,27.99999999999552,28.00000000000291,27.999999999992507,28.000000000004508,28.000000000002451,28.000000000008946,28.00000000001652,28.000000002973458,28.000000219665974,28.000007262727042,28.000115207003528,28.000961383723155
4,27.999999999987629,27.999999999995939,27.999999999998046,28.000000000003617,28.000000000015508,28.000000000007425,27.999999999993374,28.000000000012147,28.000000000001929,27.99999999999552,28.000000000003183,27.999999999991513,28.000000000003361,27.999999998787164,27.999999808388001,27.999984989474846,27.999405973902658,27.987894178543172,27.869196480355452,27.216236358012168,25.212004361738924,27.999999999987629,27.999999999995939,27.999999999998046,28.000000000003617,28.000000000015508,28.000000000007425,27.999999999993374,28.000000000012147,28.000000000001929,27.99999999999552,28.00000000000307,27.99999999999125,28.00000000000728,28.000000000007113,28.00000000002397,28.000000000941682,28.000000051714565,28.000001529664416,28.000025251664304,28.000244302271231,28.001475459105823
5,27.999999999986048,27.999999999995424,27.999999999998046,28.000000000005826,28.00000000002057,28.000000000008026,27.999999999990926,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000003219,27.999999999986933,27.999999999406885,27.999999937139304,27.999996248117373,27.999870812184941,27.997404038236031,27.969052057855166,27.775749619609876,26.976465792917747,24.901523546148727,27.999999999986048,27.999999999995424,27.999999999998046,28.000000000005826,28.00000000002057,28.000000000008026,27.999999999990926,28.00000000001257,28.000000000002782,27.99999999999552,28.00000000000307,27.99999999999125,28.000000000009528,28.000000000015266,28.000000000283674,28.000000011995994,28.000000329070016,28.000005565022104,28.000059701251271,28.000421777141177,28.00205628120176
6,27.999999999986048,27.999999999995424,27.999999999998042,28.000000000008228,28.000000000024155,28.000000000008363,27.99999999999039,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000001485,27.99999999975665,27.999999981642901,27.999999089914468,27.999971548401827,27.999434706732977,27.992789039653744,27.940088052025519,27.669049564824331,26.748386577182259,24.624119365460146,27.999999999986048,27.999999999995424,27.999999999998042,28.000000000008228,28.000000000024155,28.000000000008363,27.99999999999039,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000003123,27.99999999999083,28.000000000013078,28.000000000085798,28.000000002791467,28.000000071885744,28.000001234627085,28.000014281299361,28.000113915617142,28.000645608086618,28.002696273981243
7,27.999999999986048,27.999999999995424,27.999999999998057,28.000000000010299,28.00000000002656,28.000000000009152,27.99999999999039,28.00000000001257,28.000000000002782,27.999999999995492,27.999999999925393,27.999999994955903,27.999999782401694,27.999993667651228,27.999875388090889,27.998330736321055,27.984638580213069,27.901642728572906,27.553967302449298,26.531677087895872,24.371760231120643,27.999999999986048,27.999999999995424,27.999999999998057,28.000000000010299,28.00000000002656,28.000000000009152,27.99999999999039,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000003123,27.999999999990827,28.000000000032141,28.000000000658449,28.000000015917809,28.000000275757682,28.000003376068999,28.000029624196316,28.000190051236039,28.000913657591411,28.003389879641361
8,27.999999999986048,27.999999999995424,27.999999999998071,28.000000000011525,28.00000000002828,28.000000000009365,27.99999999999039,28.00000000001257,28.000000000003126,27.99999999997258,27.999999998675662,27.999999948290196,27.999998577502321,27.999972246861169,27.999614378697881,27.996160872248392,27.97238588482784,27.854857164429053,27.433776457197062,26.325484487846985,24.139214579319777,27.999999999986048,27.999999999995424,27.999999999998071,28.000000000011525,28.00000000002828,28.000000000009365,27.99999999999039,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000003123,27.999999999994944,28.000000000164203,28.000000003571746,28.000000062020018,28.000000793029415,28.000007509390485,28.000053363459063,28.000289479381781,28.001223892629667,28.004132794985757
9,27.99999999998532,27.999999999996991,28.00000000000859,28.000000000013891,28.000000000021181,28.000000000001968,27.999999999998764,28.000000000008864,27.999999999997083,27.999999999659188,27.99999998773465,27.999999677672275,27.999993762302168,27.999910875555791,27.999055981728631,27.992545730823011,27.955785630084353,27.800976091662793,27.310676269761274,26.128859738662481,23.922849558642476,27.99999999998532,27.999999999996991,28.00000000000859,28.00000000001388,28.000000000021149,28.000000000001965,27.999999999998732,28.000000000008878,28.000000000003613,28.000000000000693,27.999999999996042,28.000000000028237,28.00000000081295,28.000000014044414,28.000000185741268,28.000001870650827,28.000014471667818,28.00008703682418,28.000413041727409,28.001574443400937,28.004921560339103
10,27.999999999986407,28.000000000000586,28.000000000015522,28.000000000016321,28.000000000015092,27.999999999997502,28.00000000000329,28.000000000006967,27.999999999916124,27.99999999708777,27.999999926339822,27.9999985860598,27.999979358773945,27.999770238333429,27.998042447222836,27.987167949066261,27.934829777465374,27.741172486805098,27.186156494813567,25.940900684435316,23.720020848460543,27.999999999986429,28.00000000000054,28.000000000015504,28.000000000016268,28.000000000015074,27.999999999997488,28.000000000003297,28.000000000008889,28.000000000003162,27.999999999998899,27.999999999997126,28.000000000175483,28.000000003204132,28.000000043475428,28.000000460509032,28.000003825010275,28.00002512625813,28.000131947739764,28.000561220825951,28.001963609217459,28.005753315562895
11,27.999999999989225,28.000000000004988,28.000000000020975,28.000000000017739,28.00000000001053,27.999999999994511,28.000000000004917,27.999999999987491,27.999999999308287,27.999999983022178,27.999999676802048,27.999995203727337,27.999944422294039,27.999495855860609,27.996407324208008,27.9797890512565,27.909666123830945,27.676483941333014,27.06123557253277,25.760794385736137,23.52873274633442,27.999999999989182,28.000000000004945,28.000000000020904,28.000000000017693,28.000000000010495,27.999999999994447,28.000000000005507,28.000000000009518,28.000000000002611,27.999999999998028,28.000000000026603,28.000000000723926,28.000000010187289,28.000000112477206,28.000000991927017,28.000007028075739,28.000040324442402,28.000189185505953,28.000734253312444,28.00238984699623,28.006625644851333
