time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,27.999999999999986,27.999999999999986,0,0,0,0,0
1,0.00046161892938875862,26.570303216955285,1125.3938893371735,35.96241957611781,27.948141759049868,28.00000507176054,0.75678640452723878,35.490790754075306,2.0376725635075137e-09,1.5320262149287087e-16,1.0661674123910048e-14
2,0.00045917227238678298,25.999147563472839,1120.0506682416967,50.461310913179069,27.89753562635012,28.000020143745889,2.1279509812211135,70.757313158499798,4.3451076045715433e-09,1.5320262149287087e-16,1.0661674123910048e-14
3,0.00045730443261130519,25.569088306999074,1115.9605834307424,61.432792325023122,27.847732942417021,28.000045077825256,3.891729723547233,105.87830974156788,3.6143186226249928e-09,1.5320262149287087e-16,1.0661674123910048e-14
4,0.00045573616829913373,25.212006874234842,1112.5192278223549,70.579828144128953,27.798573716655998,28.000079772399182,5.9690612772411775,140.88187886102352,2.8745377031485894e-09,1.5320262149287087e-16,1.0661674123910048e-14
5,0.00045435932476066936,24.901526039154295,1109.492485174673,78.561849021142564,27.749965535954505,28.000124143102937,8.3142893576909636,175.78426138480555,2.0809762547922796e-09,1.5320262149287087e-16,1.0661674123910048e-14
6,0.0004531184367307996,24.624121840485017,1106.7602831017332,85.716953987874604,27.701846081312361,28.000178116364296,10.896632590812716,210.59641642952786,1.2818595474841229e-09,1.5320262149287087e-16,1.0661674123910048e-14
7,0.00045198055689631226,24.371762689416016,1104.2512907331977,92.245932764599559,27.654169627263762,28.00024162620862,13.69351076601961,245.32639013238409,5.2226298981039386e-10,1.5320262149287087e-16,1.0661674123910048e-14
8,0.00045092421923919793,24.139217021938038,1101.9190304101789,98.279574451549053,27.606900764179482,28.000314612390639,16.687441732326274,279.98041727138138,-2.441704822433371e-10,1.5320262149287087e-16,1.0661674123910048e-14
9,0.00044993451389172597,23.922851983651416,1099.7312170275595,103.90870040871461,27.56001101835334,28.000397019189592,19.864370824940398,314.56351451827823,1.3162681822363628e-09,1.5320262149287087e-16,1.0661674123910048e-14
10,0.0004490005859246286,23.720023259060614,1097.6643440496339,109.19941852348467,27.513476846865377,28.000488794565051,23.212679631673293,349.07983221302703,2.8707088028583933e-09,1.5320262149287087e-16,1.0661674123910048e-14
11,0.00044811424085889267,23.528735143586054,1095.7006647132507,114.20162141034859,27.467278360688233,28.000589889560455,26.72255511329146,383.53287873940968,4.416506986723455e-09,1.5320262149287087e-16,1.0661674123910048e-14
12,0.00044726911267511742,23.34743760051181,1093.826391043001,118.9540599872048,27.421398468341234,28.000700257844439,30.3855663122918,417.92567080122217,5.9526795908986724e-09,1.5320262149287087e-16,1.0661674123910048e-14
13,0.00044646013902731785,23.174898304941568,1092.0305577769907,123.48754237646079,27.375822276654372,28.000819855357015,34.194368221802662,452.26083865134848,7.4805436999264267e-09,1.5320262149287087e-16,1.0661674123910048e-14
14,0.00044568321555692788,23.01011836592777,1090.3042739878179,127.82704085180568,27.330536657208633,28.000948640028767,38.142487538598573,486.54070223789495,9.0000752911124377e-09,1.5320262149287087e-16,1.0661674123910048e-14
15,0.00044493495982453254,22.852274778922546,1088.6402119984116,131.99313052693631,27.285529923816618,28.001086571552626,42.224163294773554,520.76732785636204,1.0511197653148929e-08,1.5320262149287087e-16,1.0661674123910048e-14
16,0.00044421254515062726,22.700679924291798,1087.0322476374117,136.0030018927051,27.240791586939164,28.001233611196991,46.434225514064288,554.94257129293328,1.2015752271606956e-08,1.5320262149287087e-16,1.0661674123910048e-14
17,0.00044351358061339052,22.554752319545603,1085.4752004182453,139.87119201135991,27.196312162937833,28.001389721650259,50.768000965527897,589.06811133970461,1.3506993281823703e-08,1.5320262149287087e-16,1.0661674123910048e-14
18,0.0004428360224374956,22.413995024543226,1083.9646416773946,143.61012438641927,27.152083023351402,28.001554866886416,55.221238697313218,623.14547628083483,1.4989321567274061e-08,1.5320262149287087e-16,1.0661674123910048e-14
