time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000002206,28.000000000010573,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999986,27.999999999999893,27.999999999999279,27.999999912458254,27.999717330973567,27.935413289981092,26.570303216955285,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000002206,28.000000000010573,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999986,27.999999999999893,28.000000000000131,28.000000000001204,28.000000006139217,28.000003096273307,28.000186639539535
2,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000003268,28.000000000011369,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999972,27.999999999455522,27.999999378152978,27.999822854024114,27.986763905406519,27.717823730800504,25.999147563472839,28.000000000000188,27.999999999999829,27.999999999997513,27.999999999999819,28.000000000001286,28.000000000003268,28.000000000011369,28.000000000000149,28.000000000000057,27.999999999998074,27.999999999999982,27.999999999999723,27.999999999999286,27.99999999999876,27.999999999999986,27.999999999999893,28.000000000018801,28.000000007082779,28.000000893113864,28.00003565267038,28.000525291580729
3,27.999999999992301,27.999999999997499,27.99999999999806,28.000000000001776,28.000000000008562,28.000000000006395,27.99999999999914,28.00000000000956,28.000000000000504,27.999999999995449,28.000000000002903,27.999999999992468,28.000000000004555,28.000000000000583,27.999999998504681,27.999999538101179,27.999943785942424,27.997224889675898,27.942380445149876,27.46612400182142,25.569088306999074,27.999999999992301,27.999999999997499,27.99999999999806,28.000000000001776,28.000000000008562,28.000000000006395,27.99999999999914,28.00000000000955,28.000000000000419,27.99999999999552,28.00000000000291,27.999999999992507,28.000000000004508,28.000000000002451,28.000000000008946,28.00000000001652,28.000000002973458,28.000000219665974,28.000007262727042,28.000115207003528,28.000961383723155
4,27.999999999987629,27.999999999995939,27.999999999998046,28.000000000003563,28.000000000015532,28.00000000000745,27.999999999993392,28.000000000012136,28.000000000001897,27.999999999995449,28.000000000003048,27.999999999991051,28.000000000003467,27.99999999878716,27.999999808388754,27.999984989524254,27.999405975547973,27.987894205859273,27.869196710691529,27.216237377553458,25.212006874234842,27.999999999987629,27.999999999995939,27.999999999998046,28.000000000003617,28.000000000015508,28.000000000007425,27.999999999993374,28.000000000012147,28.000000000001929,27.99999999999552,28.00000000000307,27.99999999999125,28.00000000000728,28.000000000007113,28.00000000002397,28.000000000941682,28.000000051714565,28.000001529664416,28.000025251664304,28.000244302271231,28.001475459105823
5,27.999999999986048,27.999999999995424,27.999999999998046,28.00000000000588,28.000000000020602,28.000000000008075,27.999999999990891,28.000000000012136,28.000000000001897,27.999999999995449,28.000000000003077,27.999999999986677,27.999999999406871,27.999999937139513,27.999996248129143,27.999870812535235,27.997404044185899,27.969052116071342,27.775749953125938,26.976466942230253,24.901526039154295,27.999999999986048,27.999999999995424,27.999999999998046,28.000000000005826,28.00000000002057,28.000000000008026,27.999999999990926,28.00000000001257,28.000000000002782,27.99999999999552,28.00000000000307,27.99999999999125,28.000000000009528,28.000000000015266,28.000000000283674,28.000000011995994,28.000000329070016,28.000005565022104,28.000059701251271,28.000421777141177,28.00205628120176
6,27.999999999986048,27.999999999995424,27.999999999998042,28.00000000000821,28.000000000024123,28.000000000008402,27.999999999990084,28.000000000012136,28.000000000001897,27.999999999995449,28.000000000001389,27.999999999756479,27.999999981642937,27.999999089917193,27.999971548477806,27.999434708042173,27.992789053827693,27.940088149336614,27.66904999454432,26.74838782567253,24.624121840485017,27.999999999986048,27.999999999995424,27.999999999998042,28.000000000008228,28.000000000024155,28.000000000008363,27.99999999999039,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000003123,27.99999999999083,28.000000000013078,28.000000000085798,28.000000002791467,28.000000071885744,28.000001234627085,28.000014281299361,28.000113915617142,28.000645608086618,28.002696273981243
7,27.999999999986048,27.999999999995424,27.999999999998025,28.000000000010093,28.000000000026542,28.000000000008967,27.999999999990084,28.000000000012136,28.000000000001897,27.999999999995264,27.999999999925272,27.999999994955761,27.999999782402316,27.999993667667955,27.999875388381621,27.998330739706539,27.984638606757692,27.901642869883386,27.553967819625527,26.531678414587773,24.371762689416016,27.999999999986048,27.999999999995424,27.999999999998057,28.000000000010299,28.00000000002656,28.000000000009152,27.99999999999039,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000003123,27.999999999990827,28.000000000032141,28.000000000658449,28.000000015917809,28.000000275757682,28.000003376068999,28.000029624196316,28.000190051236039,28.000913657591411,28.003389879641361
8,27.999999999986048,27.999999999995424,27.99999999999811,28.000000000011688,28.000000000028194,28.000000000009674,27.999999999990084,28.000000000012136,28.000000000001947,27.999999999972321,27.999999998675527,27.999999948290228,27.999998577505959,27.999972246926248,27.999614379498453,27.996160879193035,27.972385927545073,27.854857352148414,27.433777053134179,26.325485877710136,24.139217021938038,27.999999999986048,27.999999999995424,27.999999999998071,28.000000000011525,28.00000000002828,28.000000000009365,27.99999999999039,28.00000000001257,28.000000000002782,27.99999999999552,28.000000000003123,27.999999999994944,28.000000000164203,28.000000003571746,28.000000062020018,28.000000793029415,28.000007509390485,28.000053363459063,28.000289479381781,28.001223892629667,28.004132794985757
9,27.99999999998532,27.999999999996991,28.000000000008686,28.000000000013952,28.000000000021256,28.000000000002043,27.999999999998515,28.000000000008253,27.999999999996238,27.999999999658815,27.999999987734515,27.999999677673017,27.999993762316826,27.99991087574417,27.999055983497318,27.992545743020173,27.955785692167069,27.800976326490151,27.310676936459508,26.12886118038648,23.922851983651416,27.99999999998532,27.999999999996991,28.00000000000859,28.00000000001388,28.000000000021149,28.000000000001965,27.999999999998732,28.000000000008878,28.000000000003613,28.000000000000693,27.999999999996042,28.000000000028237,28.00000000081295,28.000000014044414,28.000000185741268,28.000001870650827,28.000014471667818,28.00008703682418,28.000413041727409,28.001574443400937,28.004921560339103
