time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,27.999999999999986,27.999999999999986,0,0,0,0,0
1,0.00046161892922026287,26.570303274609426,1125.3938888633172,35.962418134764285,27.948141763182718,28.00000507176054,0.75678631475344671,35.490787896054869,2.0299591048568303e-09,1.5320262148437906e-16,1.0661674123910048e-14
2,0.00045917227232712796,25.999147603746149,1120.0506680523545,50.461309906346315,27.897535630448736,28.000020143745889,2.1279508541620014,70.757310286265394,4.3392022446881902e-09,1.5320262148437906e-16,1.0661674123910048e-14
3,0.00045730443274064698,25.569088340377625,1115.9605837101994,61.432791490559339,27.847732946519621,28.000045077825256,3.8917295675957111,105.878306837761,3.6212844294141553e-09,1.5320262148437906e-16,1.0661674123910048e-14
4,0.00045573616843591229,25.21200690285751,1112.5192281253362,70.57982742856224,27.798573720739991,28.000079772399182,5.9690610970628244,140.88187594547603,2.8911222719346421e-09,1.5320262148437906e-16,1.0661674123910048e-14
5,0.0004543593248812823,24.901526064507312,1109.4924854418948,78.561848387317127,27.749965540014994,28.000124143102937,8.3142891563827952,175.78425846376629,2.1270510187689274e-09,1.5320262148437906e-16,1.0661674123910048e-14
6,0.00045311843683413155,24.624121863429128,1106.7602833294864,85.716953414271842,27.701846085348997,28.000178116364296,10.896632370578153,210.59641350555609,1.3306499386243477e-09,1.5320262148437906e-16,1.0661674123910048e-14
7,0.00045198055698490264,24.371762710494856,1104.2512909270567,92.245932237628551,27.654169631277416,28.00024162620862,13.693510528523049,245.32638720670343,5.7249926048708442e-10,1.5320262148437906e-16,1.0661674123910048e-14
8,0.00045092421931576938,24.139217041519025,1101.9190305763698,98.279573962024358,27.606900768170821,28.000314612390639,16.68744147888026,279.9804143446384,-1.8714013802143024e-10,1.5320262148437906e-16,1.0661674123910048e-14
9,0.00044993451412448829,23.922852004826211,1099.7312175738982,103.90869987934472,27.560011022434857,28.000397019189592,19.864370554937395,314.5635115144932,1.3713713483180511e-09,1.5320262148437906e-16,1.0661674123910048e-14
10,0.00044900058623881451,23.720023279598799,1097.6643447958638,109.19941801003006,27.513476851003848,28.000488794565051,23.212679345206386,349.07982915471865,2.9210051193711949e-09,1.5320262148437906e-16,1.0661674123910048e-14
11,0.00044811424121327873,23.528735163254275,1095.7006655588848,114.20162091864307,27.467278364862093,28.000589889560455,26.722554810984118,383.53287564162304,4.4641821264616472e-09,1.5320262148437906e-16,1.0661674123910048e-14
12,0.00044726911304627241,23.347437619287891,1093.8263919307822,118.95405951780278,27.421398472535767,28.000700257844439,30.385565994848712,417.92566767435835,5.9986004635774341e-09,1.5320262148437906e-16,1.0661674123910048e-14
13,0.00044646013940169351,23.17489832286633,1092.0305586737379,123.48754192834176,27.375822280859495,28.000819855357015,34.194367889915462,452.26083550280219,7.5252924525972538e-09,1.5320262148437906e-16,1.0661674123910048e-14
14,0.0004456832159266592,23.010118383061531,1090.304274874218,127.82704042346165,27.330536661417884,28.000948640028767,38.142487192916555,486.54069907304859,9.0427103954734731e-09,1.5320262148437906e-16,1.0661674123910048e-14
15,0.00044493496018511183,22.852274795328917,1088.6402128633549,131.99313011677702,27.285529928024381,28.001086571552626,42.224162935896132,520.76732467921011,1.0550980792836677e-08,1.5320262148437906e-16,1.0661674123910048e-14
