time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,28.000000000000014,28.000000000000014,0,0,0,0,0
1,0.00046161956077738668,26.570622954624163,1125.3950788121549,35.95442613439586,27.948140995797679,28.000005072465367,0.75632193210336296,35.490837496483586,2.7340141572129348e-11,1.7068619503172709e-16,1.3294266559735602e-14
2,0.00045917271391871087,25.999362310720027,1120.051511566189,50.455942231999359,27.897534570869926,28.000020145216372,2.1273115285824562,70.757380649265684,2.2078293290413594e-10,1.7197270507827627e-16,1.3294266559735602e-14
3,0.00045730484319431592,25.569269641887967,1115.9613888439658,61.428258952800796,27.847731789534244,28.000045081890327,3.8910196635243359,105.87837186472238,1.7967942994137276e-10,1.9296022238704756e-16,1.3294266559735602e-14
4,0.00045573654465251757,25.212164560643508,1112.5199762400955,70.575885983912286,27.798572473520103,28.000079779056897,5.9682887524739545,140.88193897057391,1.6806076774608056e-10,1.9296022238704756e-16,1.3313341368070981e-14
5,0.00045435967198859085,24.901666252531744,1109.4931820784536,78.558343686706337,27.749964210863233,28.000124152352804,8.3134613920462943,175.78432094690149,1.6044659549578366e-10,1.9296022238704756e-16,1.3501642321181417e-14
6,0.00045311875979647321,24.624248556887139,1106.76093612317,85.713786077821567,27.701844681649447,28.000178128205917,10.895754895552994,210.59647620989591,1.5874337938659633e-10,1.9558653452442906e-16,1.4007505701365521e-14
7,0.00045198085976426265,24.371878608137138,1104.2519065101631,92.243034796571521,27.65416815934481,28.000241640641807,13.692588014807981,245.32645057463699,1.4327205852186277e-10,1.9558653452442906e-16,1.4007505701365521e-14
8,0.00045092450499288627,24.139324063873946,1101.9196143088636,98.276898403151321,27.606899233396934,28.000314629414962,16.686477811527268,279.98047865011267,9.7555868544764016e-11,1.9558653452442906e-16,1.4007505701365521e-14
9,0.00044993482583956647,23.922961448994162,1099.7318627634777,103.90596377514596,27.560009689658074,28.000397045663156,19.863494437608125,314.56352807340051,2.2405249898273092e-10,1.9558653452442906e-16,1.4007505701365521e-14
10,0.00044900091403059938,23.720133328613937,1097.6650290363496,109.19666678465161,27.513475695184095,28.000488830415485,23.211879268959333,349.07980322959497,3.4700479015178865e-10,2.0290602519932398e-16,1.4007505701365521e-14
11,0.00044811457869282906,23.528844731341213,1095.7013743778202,114.19888171646963,27.467277366568773,28.000589934721422,26.721821910923154,383.53281138206825,4.6725906244338984e-10,2.0290602519932398e-16,1.4007505701365521e-14
12,0.00044726945599086727,23.347546049422924,1093.8271156855742,118.95134876442697,27.421397616301523,28.000700312254349,30.384893264956901,417.92556843418038,5.9353591356762603e-10,2.0290602519932398e-16,1.4007505701365521e-14
