time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,27.999999999999993,28,27.999999999999925,28,27.999999999999993,28,28,28,28.000000000000011,28.000000000000099,28.000000000000018,28.000000000000099,28.000000000000121,28,27.99999999999995,28.000000000000011,28.000000000000004,27.999999911190777,27.999716556429544,27.9354118862638,26.570379762924013,27.999999999999993,28,27.999999999999925,28,27.999999999999993,28,28,28,28.000000000000011,28.000000000000099,28.000000000000018,28.000000000000099,28.000000000000121,28,27.99999999999995,28.000000000000011,28.000000000000004,28.000000000000021,28.000000006145729,28.000003097095352,28.000186609897153
2,27.999999999999993,28,27.999999999999925,28,27.999999999999993,28,28,28,28.000000000000011,28.000000000000099,28.000000000000018,28.000000000000099,28.000000000000121,28,27.99999999999995,27.99999999945927,27.999999374560407,27.999822542014893,27.986760242529549,27.71783636328156,25.99919896821001,27.999999999999993,28,27.999999999999925,28,27.999999999999993,28,28,28,28.000000000000011,28.000000000000099,28.000000000000018,28.000000000000099,28.000000000000121,28,27.99999999999995,28.000000000000011,28.000000000000007,28.000000007115425,28.000000893598926,28.000035652503957,28.000525250515775
3,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,28.000000000000071,28,27.999999998490125,27.999999535988628,27.999943682008961,27.997223376666259,27.942376715086933,27.466141895528523,25.569130126521994,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,28.000000000000071,28,27.999999999999954,28.000000000012019,28.000000002986877,28.000000219874025,28.000007264253703,28.000115205294907,28.000961336019682
4,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,28.000000000000071,27.99999999878375,27.999999807580842,27.999984959370487,27.999405501157128,27.98789149337405,27.869194874801789,27.216257246910619,25.212042483153638,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,28.000000000000071,28,28.000000000001382,28.000000000943039,28.000000051796519,28.000001530349319,28.00002525419465,28.000244298336209,28.001475405816787
5,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,27.999999999397879,27.999999936888837,27.999996239872509,27.999870677533433,27.997402983407717,27.969048800160984,27.775750351618722,26.976487314797769,24.90155724089459,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,28.000000000000071,28,28.000000000260787,28.000000012016464,28.000000329321313,28.000005566424399,28.000059704492607,28.000421770679765,28.002056223046079
6,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,27.999999999776488,27.999999981560798,27.999999087734707,27.999971511836858,27.999434364618462,27.992787375108854,27.94008480805406,27.669052389933547,26.748408033603596,24.624149716166208,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,28.000000000000071,28.000000000063679,28.000000002773543,28.00000007195813,28.000001235182296,28.000014283542288,28.000113919233151,28.000645598986733,28.002696211490179
7,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,27.999999999934317,27.999999994957218,27.999999781825164,27.999993657997681,27.999875286780526,27.998330102868,27.98463641480005,27.901639892615773,27.553971846488029,26.531698150561809,24.371787944401269,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,28.000000000001684,28.000000000639993,28.000000015915298,28.000000275935491,28.000003377061375,28.000029627303913,28.000190054921113,28.000913645834569,28.003389813227372
8,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,27.999999999988813,27.999999998681879,27.999999948167318,27.999998574985064,27.999972218374367,27.999614168611217,27.996159906050583,27.9723833834869,27.854854956478381,27.433782364246024,26.325505005020162,24.139240145569406,27.999999999999982,28,27.999999999999954,28,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999989,28.000000000000011,28.000000000000082,28,28.000000000000099,28.00000000012842,28.000000003558352,28.000000062051331,28.000000793381709,28.000007510930416,28.000053367389086,28.000289482879214,28.001223878244996,28.004132724980536
9,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999989,27.999999999997577,27.999999999664315,27.999999987712208,27.999999676978206,27.999993753710068,27.999910804089495,27.999055580192,27.992544271026944,27.955782560652434,27.800974068545287,27.310683112161207,26.128880439264847,23.922874494750026,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999989,28.000000000000011,28.000000000000011,27.999999999999982,28.000000000024148,28.000000000787718,28.00000001404096,28.000000185847171,28.000001871320315,28.000014474158665,28.000087042511257,28.000413047073103,28.001574429963572,28.00492149093089
10,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999968,27.999999999918455,27.999999997084849,27.999999926167348,27.999998583614079,27.99997933637303,27.9997700932004,27.998041792403896,27.987165983735334,27.934826313483637,27.74117086336528,27.186164215770393,25.940921389993406,23.720045022597237,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999989,28.000000000000011,28.000000000000011,28.000000000002068,28.000000000171383,28.000000003187509,28.000000043497888,28.000000460742665,28.000003826142507,28.000025129903975,28.000131955284605,28.000561227896434,28.001963596509675,28.005753246540511
11,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999979053,27.999999999309104,27.999999982980437,27.999999676143453,27.999995197079901,27.999944374193174,27.999495602122053,27.996406369001978,27.979786608573946,27.909662434158179,27.676482847953586,27.061244077252294,25.76081496483269,23.528756117910032,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999989,28.000000000000011,28.000000000000011,28.00000000003476,28.000000000722334,28.000000010181832,28.000000112547124,28.000000992357499,28.000007029818669,28.000040329414706,28.000189194949371,28.000734261969143,28.002389834845552,28.006625576066867
12,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999997929,27.999999999832188,27.999999996043318,27.999999925314647,27.999998878743693,27.999986583519274,27.999871843516658,27.999020407040963,27.993988292718992,27.970246212894327,27.880531365663472,27.607799805338161,26.936623799381891,25.587843573396945,23.347457784854782,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999989,28.000000000000011,28.000000000002046,28.000000000161339,28.000000002382126,28.000000027351049,28.000000253794074,28.000001918875189,28.000011894426038,28.000060887566907,28.000259663774848,28.000932215885332,28.002851743141044,28.007536403896307
13,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999962931,27.99999999906607,27.999999982618871,27.9999997367965,27.99999676648066,27.999967741395508,27.999738277225269,27.998269238648962,27.990641815342872,27.958454244361157,27.847721882555533,27.535872905559771,26.812787612623033,25.421378311214031,23.174917718813091,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999989,28.000000000000011,28.000000000030585,28.000000000555087,28.000000006623303,28.000000064246713,28.000000513917815,28.000003409056369,28.000018857663495,28.000087568990484,28.000344104496794,28.001155037846996,28.003348044185316,28.008483921675111
14,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999993882,27.999999999780339,27.999999995906762,27.999999937793145,27.999999219624328,27.999991927841542,27.999931103602972,27.999514130561217,27.997162880570453,27.986242109989576,27.944377222292282,27.811541788118245,27.461331364294203,26.690069356115306,25.26086861452762,23.010137038752962,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999989,28.000000000003521,28.000000000124167,28.000000001598448,28.000000016143535,28.000000135640619,28.000000954919564,28.000005658728906,28.000028370461457,28.000121081322728,28.000443125301128,28.001402593336369,28.003877570193175,28.009466535587812
15,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999948809,27.999999999026493,27.999999985164347,27.999999811012341,27.999997985998466,27.999982054770115,27.999866230992783,27.999164711070474,27.995622154391725,27.980687594125619,27.928026300907405,27.77229942283428,27.384700435713963,26.568697213612516,25.105831612179685,22.85229274450856,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,27.999999999999989,28.000000000026084,28.000000000380634,28.000000004034028,28.000000035404149,28.000000262646981,28.000001654544892,28.000008886491372,28.000040886997798,28.000162073098569,28.000557221516488,28.001674690113674,28.004439249444104,28.01048282713862
16,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999991406,27.999999999765002,27.999999996424098,27.999999953957321,27.999999497582628,27.999995358358209,27.999963708183628,27.999759729708114,27.998651445451909,27.993571133809905,27.973899938915622,27.909446129732419,27.730292557823706,27.306418172277969,26.448824306502033,24.955842405185223,22.700697217798531,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,28.000000000000128,28.000000000088953,28.000000001000537,28.000000009164193,28.00000007120931,28.000000473630507,28.000002705996138,28.000013329180689,28.000056857001532,28.000211134524875,28.000686794003386,28.001971095959057,28.005032094734648,28.011531523290131
17,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999945913,27.999999999124451,27.999999988684241,27.999999874310102,27.999998803771177,27.999990257791922,27.999932131413374,27.999595380053524,27.99793327274692,27.9909394912215,27.965822641161616,27.888705509580713,27.685802171561523,27.226850067598715,26.330549934180809,24.810525618965642,22.554768975821805,28.000000000000018,28.000000000000025,27.999999999999922,27.999999999999989,27.999999999999993,27.999999999999993,27.999999999999989,28.000000000011752,28.000000000245684,28.000000002354831,28.000000019093338,28.000000133281681,28.000000804852629,28.000004217096322,28.000019237469214,28.000076720045417,28.000268799957059,28.000832164553213,28.002291551401402,28.005655193469121,28.012611473269278
