time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,27.999999999999986,27.999999999999986,0,0,0,0,0
1,0.00046162162939493402,26.570290082395239,1125.4004861286353,35.962747940118959,27.948141152233283,28.00000507175643,0.75679681961917233,35.491207604294097,-1.0945758707307375e-09,1.4213543713358785e-16,9.9527214387351186e-15
2,0.00045917415597223428,25.999134613564401,1120.0552769304659,50.46163466089002,27.897534780036402,28.000020143736911,2.1279716340140657,70.757900655095881,-2.3012677701866728e-09,1.4378149050855197e-16,9.9851262512511796e-15
3,0.00045730595504365741,25.56907549771519,1115.9643125072264,61.433112557120225,27.847731917767916,28.000045077817305,3.8917604733037616,105.87902678254765,-2.4280560082302514e-09,1.4378149050855197e-16,9.9851262512511796e-15
4,0.00045573747550449158,25.211994190388314,1112.5224326032983,70.580145240292154,27.798572545232542,28.000079772392166,5.9691020265025534,140.88270420972381,-2.5870754646705026e-09,1.4378149050855197e-16,9.9851262512511796e-15
5,0.00045436048515070461,24.901513466663818,1109.4953322503077,78.56216333340447,27.749964237884281,28.000124143097004,8.3143400170541124,175.78518147054999,-2.7604879810538148e-09,1.4378149050855197e-16,9.9851262512511796e-15
6,0.00045311948879410224,24.624109368402763,1106.7628662029913,85.717265789930948,27.701844670863995,28.000178116359216,10.896693079197803,210.59742161443555,-2.9236690640895884e-09,1.4378149050855197e-16,9.9851262512511796e-15
7,0.00045198152480474459,24.371750309181408,1104.2536687296226,92.246242270464762,27.654168115227531,28.000241626204406,13.693581009249122,245.32747311495046,-3.0872644950033367e-09,1.4378149050855197e-16,9.9851262512511796e-15
8,0.0004509251193411912,24.139204726682223,1101.9212431203171,98.279881832944398,27.606899159081735,28.000314612387442,16.687521661858788,279.98157227233105,-3.256154128811445e-09,1.4378149050855197e-16,9.9851262512511796e-15
9,0.00044993535798476607,23.922839762465678,1099.7332931941883,103.90900593835806,27.56000932717863,28.000397019182202,19.864460337352355,314.56473675279381,-4.3755536964472715e-09,1.4378149050855197e-16,9.9851262512511796e-15
10,0.00044900138261435869,23.72001110851722,1097.6663046337051,109.19972228706953,27.513475075412796,28.000488794553338,23.212778677336072,349.08111774717156,-5.4963073854290923e-09,1.4378149050855197e-16,9.9851262512511796e-15
