time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,27.999999999999932,27.999999999999932,0,0,0,0,0
1,0.00046161892922026287,26.570306802129441,1125.3938850040802,35.962329946763916,27.948141754777001,28.000005071759105,0.75678042696201608,35.49078763670208,3.6808769018869599e-10,1.7142960569106104e-16,1.0822017751670364e-14
2,0.00045917227232712796,25.999149973943691,1120.0506654730148,50.461250651407767,27.897535618844383,28.000020143743907,2.1279427286194883,70.757309929242581,4.6169254217237479e-10,1.7142960569106104e-16,1.1995393045384965e-14
3,0.00045730443274064698,25.569090200013918,1115.9605816947039,61.43274499965203,27.847732932573674,28.00004507782759,3.8917198013893608,105.87830640946534,6.9905634277085477e-10,1.7142960569106104e-16,1.1995393045384965e-14
4,0.00045573616843591229,25.21200845936826,1112.5192264441573,70.579788515793496,27.79857370489151,28.000079772405858,5.9690499979630367,140.88187545949424,9.2957355560404527e-10,1.7142960569106104e-16,1.1995393045384965e-14
5,0.0004543593248812823,24.90152741497068,1109.492483987673,78.561814625732922,27.74996552254375,28.000124143114689,8.3142769202784521,175.7842579287352,1.1722138963128197e-09,1.7142960569106104e-16,1.1995393045384965e-14
6,0.00045311843683413155,24.624123062384857,1106.760282041939,85.716923440378594,27.701846066452685,28.000178116381335,10.896619136067297,210.59641292757919,1.4372250113834374e-09,1.7142960569106104e-16,1.1995393045384965e-14
7,0.00045198055698490264,24.371763792149757,1104.2512897683946,92.245905196256047,27.654169611105502,28.000241626231251,13.693496400221948,245.32638659038085,1.7447508564347768e-09,1.7142960569106104e-16,1.1995393045384965e-14
8,0.00045092421931576938,24.139218028978483,1101.9190295210815,98.279549275537903,27.606900746841266,28.000314612419107,16.687426539297412,279.98041369359464,2.0683215069539434e-09,1.7142960569106104e-16,1.1995393045384965e-14
9,0.00044993451412448829,23.922852914543384,1099.7312166038259,103.90867713641541,27.560011000039918,28.000397019220806,19.864354871251575,314.56351083167561,2.3735562801848316e-09,1.7142960569106104e-16,1.1995393045384965e-14
10,0.00044900058623881451,23.720024123788381,1097.664343897535,109.1993969052905,27.513476827623425,28.000488794598844,23.212662973456499,349.07982844258254,2.6759560703021823e-09,1.7142960569106104e-16,1.1995393045384965e-14
11,0.00044811424121327873,23.52873595127593,1095.7006647219816,114.2016012181017,27.46727834056437,28.00058988959718,26.72253779880533,383.53287490225387,2.9894322408103025e-09,1.7142960569106104e-16,1.1995393045384965e-14
12,0.00044726911304627241,23.347438358496756,1093.8263911472002,118.95404103758116,27.421398447379371,28.000700257884343,30.385548383356408,417.92566690955408,3.301607697958803e-09,1.7142960569106104e-16,1.1995393045384965e-14
13,0.00044646013940169351,23.174899019165149,1092.0305579369767,123.48752452087126,27.375822254895883,28.000819855400376,34.194349715047863,452.2608347141317,3.6101467252104577e-09,1.7142960569106104e-16,1.1995393045384965e-14
14,0.0004456832159266592,23.010119041271615,1090.3042741789711,127.82702396820955,27.330536634692141,28.000948640075698,38.14246848642064,486.54069826189721,3.916770280480541e-09,1.7142960569106104e-16,1.1995393045384965e-14
15,0.00044493496018511183,22.852275419447857,1088.6402122052239,131.99311451380353,27.285529900577107,28.00108657160315,42.22414372606962,520.76732384680963,4.2257731942424306e-09,1.7142960569106104e-16,1.1995393045384965e-14
