time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,27.999999999992109,27.999999999997932,27.999999999998764,28.000000000001542,28.000000000008122,28.000000000001297,27.999999999991857,28.000000000007912,28.000000000000497,27.999999999996106,28.000000000003233,27.999999999993264,28.000000000005802,28.000000000003567,28.000000000008953,27.999999999998646,27.999999999989235,27.999999912432834,27.999717326017752,27.935413296081368,26.570303358421373,27.999999999992109,27.999999999997932,27.999999999998764,28.000000000001542,28.000000000008122,28.000000000001297,27.999999999991857,28.000000000007912,28.000000000000497,27.999999999996106,28.000000000003233,27.999999999993264,28.000000000005787,28.000000000003539,28.000000000008949,27.999999999998646,27.999999999990969,27.999999999993115,28.000000006126758,28.000003096265448,28.000186639549142
2,27.999999999987807,27.99999999999644,27.999999999998764,28.000000000003286,28.000000000014232,28.000000000002483,27.999999999987747,28.000000000009777,28.000000000001613,27.999999999996049,28.000000000003471,27.999999999991289,28.000000000008363,28.000000000007983,28.00000000001446,27.999999999452452,27.999999378109415,27.999822852957397,27.986763901085101,27.717823768016633,25.99914764813515,27.999999999987807,27.99999999999644,27.999999999998764,28.000000000003286,28.000000000014232,28.000000000002483,27.999999999987747,28.000000000009777,28.000000000001613,27.999999999996049,28.000000000003691,27.99999999999228,28.000000000008452,28.000000000007983,28.000000000014563,27.999999999998877,27.999999999999094,28.000000007066841,28.000000893092054,28.000035652646122,28.000525291563644
3,27.999999999986951,27.999999999997875,28.000000000007287,28.000000000005858,28.00000000000945,27.999999999994667,27.999999999995357,28.000000000006445,28.000000000002572,28.000000000000892,27.999999999995552,27.999999999993051,28.000000000005635,28.000000000004899,27.999999998508205,27.999999538069961,27.999943784849336,27.997224883329473,27.942380459137468,27.466124056621773,25.569088332667441,27.999999999986951,27.999999999997875,28.000000000007287,28.000000000005858,28.00000000000945,27.999999999994664,27.999999999995349,28.000000000006487,28.000000000002654,28.000000000000995,27.999999999995918,27.999999999993602,28.000000000005802,28.000000000006775,28.000000000013593,28.000000000025537,28.000000002966328,28.00000021966207,28.000007262721958,28.000115206992323,28.000961383703142
4,27.99999999998758,28.00000000000097,28.000000000013028,28.000000000008573,28.00000000000486,27.999999999990241,27.999999999999481,28.00000000000648,28.000000000002103,27.9999999999986,27.999999999989338,27.999999999991964,28.000000000000075,27.999999998785647,27.999999808371992,27.999984989154051,27.999405972340259,27.98789420186365,27.869196739007283,27.216237422855865,25.212006889782803,27.99999999998758,28.000000000000984,28.000000000013024,28.000000000008558,28.000000000004853,27.999999999990234,27.999999999999467,28.000000000006462,28.000000000002181,27.99999999999881,27.999999999989708,27.999999999992493,28.000000000004189,28.000000000006203,28.000000000024009,28.00000000095557,28.000000051722076,28.000001529671611,28.000025251667935,28.000244302271291,28.001475459099918
5,27.999999999989889,28.000000000004718,28.000000000017778,28.000000000010257,28.000000000001226,27.99999999998743,28.000000000001435,28.000000000007248,28.000000000001734,27.999999999996003,27.999999999984787,27.99999999998667,27.999999999399378,27.999999937127782,27.99999624801173,27.999870811400644,27.997404039957299,27.969052118115524,27.775749986304824,26.976466979116285,24.901526052991876,27.999999999989825,28.000000000004704,28.00000000001776,28.000000000010182,28.000000000001226,27.999999999987388,28.000000000001371,28.000000000007208,28.00000000000178,27.999999999996216,27.999999999985114,27.999999999990404,28.000000000002931,28.000000000009148,28.000000000280636,28.000000012014816,28.000000329090394,28.000005565040752,28.000059701262646,28.00042177715245,28.00205628121174
6,27.999999999992983,28.000000000008558,28.000000000021679,28.000000000011333,27.999999999998618,27.999999999985487,28.00000000000243,28.000000000007848,28.00000000000092,27.999999999993335,27.999999999979178,27.99999999975487,27.999999981630395,27.999999089874326,27.999971548113802,27.999434706083534,27.992789050257841,27.940088157077106,27.669050027970982,26.748387856824344,24.624121854393927,27.999999999992962,28.00000000000853,28.000000000021682,28.000000000011251,27.999999999998618,27.999999999985434,28.000000000002373,28.00000000000782,28.000000000001066,27.999999999993527,27.999999999981295,27.999999999988063,28.000000000002814,28.000000000074991,28.00000000278656,28.000000071909653,28.000001234658935,28.000014281328799,28.000113915636295,28.000645608109387,28.002696274006947
7,27.99999999999665,28.000000000012353,28.000000000024951,28.000000000012029,27.9999999999967,27.999999999983995,28.00000000000265,28.000000000008153,27.999999999999947,27.999999999989978,27.999999999899575,27.999999994951498,27.999999782379408,27.999993667548956,27.999875387653614,27.998330737249187,27.984638604938382,27.901642881816535,27.553967851547537,26.531678441894726,24.371762703723249,27.9999999999966,28.000000000012328,28.000000000024951,28.000000000011951,27.999999999996682,27.999999999983945,28.00000000000275,28.000000000008306,28.000000000000011,27.999999999991033,27.999999999977991,27.999999999986027,28.000000000018101,28.000000000643599,28.000000015911734,28.000000275786714,28.000003376111305,28.000029624235975,28.000190051263388,28.000913657626068,28.003389879682167
8,28.000000000000362,28.00000000001603,28.000000000027832,28.000000000012566,27.99999999999541,27.999999999982883,28.000000000002817,28.000000000008214,27.999999999998455,27.999999999964185,27.999999998646395,27.999999948281427,27.999998577459422,27.999972246674908,27.999614378387577,27.996160876702863,27.972385927892571,27.85485736683281,27.433777083053698,26.325485902366097,24.139217036615765,28.000000000000277,28.000000000016023,28.000000000027793,28.000000000012552,27.999999999995371,27.999999999982851,28.000000000002824,28.000000000008338,27.999999999999051,27.999999999988642,27.999999999975138,27.999999999987725,28.000000000146517,28.000000003553453,28.000000062013438,28.000000793063549,28.000007509442415,28.000053363508275,28.000289479417841,28.001223892676322,28.004132795041173
9,28.000000000003258,28.000000000016897,28.000000000023999,28.000000000008651,27.99999999999083,27.999999999990376,27.999999999997168,28.000000000003539,27.999999999987399,27.999999999649912,27.999999987715555,27.999999677641174,27.999993762088017,27.999910874486371,27.999055979119749,27.992545735904216,27.955785696232862,27.800976362715499,27.310676985968374,26.128861187854124,23.922851960662811,28.000000000003233,28.000000000016897,28.000000000023984,28.000000000008558,27.999999999990809,27.999999999990372,27.999999999997119,28.000000000003801,27.999999999994682,27.999999999993118,27.999999999979696,28.000000000019828,28.000000000798948,28.000000014040456,28.000000185743612,28.000001870681832,28.000014471734836,28.000087036889546,28.000413041781702,28.001574443400052,28.004921560314589
