time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00020000000000000001,30.810109667147191,485.57600801777227,416.65525832132022,31.857820252406963,27.999999999999986,0,0,0,0,0
1,0.00020000000000000001,30.807754890315124,485.57712418199065,416.71412774212195,31.85458892667268,28.022361729778627,13.090535981082549,15.254837733383559,-6.6138486890241101e-09,1.9155672300484951e-16,1.9962817602605076e-14
2,0.00020000000000000001,30.805402703748673,485.57823911842314,416.77293240628319,31.851360308145328,28.044324066361551,26.182920259356763,30.509710510481884,-1.3215087854009904e-08,1.9155672300484951e-16,1.9962817602605076e-14
3,0.00020000000000000001,30.803052591301736,485.57935307172295,416.83168521745665,31.848134394383418,28.066032691851049,39.277151162713274,45.764618299591746,-1.4643114126724509e-08,1.9155672300484951e-16,2.0130322267523894e-14
4,0.00020000000000000001,30.800704500788349,485.5804660666264,416.89038748029128,31.844911182966708,28.087538509918986,52.373227044081958,61.019561069485199,-1.6113495239601235e-08,1.9155672300484951e-16,2.0130322267523894e-14
5,0.00020000000000000001,30.798358411115167,485.58157811313146,416.94903972212086,31.841690671582885,28.108870835939417,65.471146324684824,76.27453879022768,-1.755886493126933e-08,1.9155672300484951e-16,2.0130322267523894e-14
6,0.00020000000000000001,30.796014310687724,485.58268921673402,417.00764223280692,31.838472857937415,28.130049410127949,78.570907437994435,91.52955143211814,-1.8992991953136527e-08,1.9155672300484951e-16,2.0130322267523894e-14
7,0.00020000000000000001,30.793672191958752,485.58379938101154,417.06619520103123,31.835257739746456,28.151088702874077,91.672508824804368,106.78459896559427,-2.0444890550762994e-08,1.9155672300484951e-16,2.0130322267523894e-14
8,0.00020000000000000001,30.791332049442115,485.58490860856449,417.12469876394715,31.832045314733723,28.171999912265562,104.77594893094434,122.03968136118905,-2.1860768992705255e-08,1.9155672300484951e-16,2.0130322267523894e-14
9,0.00020000000000000001,30.78899387899661,485.58601690135561,417.18315302508478,31.8288355808779,28.192792027796518,117.88122637411281,137.29479859269512,-2.0976282530046953e-08,1.9155672300484951e-16,2.0130322267523894e-14
10,0.00020000000000000001,30.786657676863037,485.58712426116693,417.24155807842413,31.825628535662709,28.213472498776735,130.98833943869604,152.54995062758189,-2.0112167934095919e-08,1.9155672300484951e-16,2.0130322267523894e-14
