time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,33,32.99379875613613,32.975218096209503,32.944327139841228,32.901240768901161,32.846119152706883,32.779167086189737,32.700633143899864,32.610808653520643,32.5100264933453,32.398659718930489,32.277120024880773,32.145856048430488,32.005351522171914,31.856123283928916,31.698719152389376,31.53371567768562,31.361715776647117,31.183346262941392,30.99925528276523,30.810109667147191,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,32.995812005871962,32.989615956196808,32.971050859309415,32.940185777200071,32.89713549533186,32.842060048970993,32.775164061418828,32.69669589907317,32.606946645735889,32.506248900406895,32.394975406775174,32.273537514241887,32.142383484303124,32.001996644601718,31.852893399615301,31.695621109778141,31.530755841660582,31.358900007650622,31.180679896000761,30.996743098371709,30.807755660223336,27.999999999999812,28,27.999999999997407,28.000000000002135,28,27.999999999998671,28,27.999999999999623,28.000000000003336,27.999999999999229,28,28,27.999999999999993,28,27.999999999997833,28.000000000002842,27.999999999999993,28.000000051291362,28.000128882991817,28.02777568519895,28.616317130631451
2,32.991627519625645,32.985436659729743,32.966887112902747,32.936047883355499,32.893033660362875,32.838004345136,32.771164389582019,32.692761952082691,32.603087872676696,32.502474471649684,32.3912941805632,32.269958004294793,32.138913828839286,31.998644576995865,31.849666220722334,31.692525662039323,31.527798484844855,31.356086597083312,31.178015760051391,30.994232990058432,30.805403780885595,27.999999999999812,28,27.999999999997407,28.000000000002135,28,27.999999999998671,28,27.999999999999623,28.000000000003336,27.999999999999229,28,28,27.999999999999993,28,27.999999999997833,28.000000000325954,28.000000303417696,28.000079193407135,28.005731509376584,28.121610439312757,28.866487862744744
3,32.987446538308596,32.981260863836894,32.962726854168046,32.931913455498339,32.888935261215899,32.833952038436266,32.767168067990958,32.688831300297402,32.599232331683851,32.498703204512559,32.38761603780204,32.266381492604054,32.135447079676275,31.995295317087475,31.846441745079719,31.689432806988428,31.524843605243905,31.353275542609222,31.175353849839336,30.991724977764143,30.803053897289466,28.000000000001382,27.999999999999854,27.999999999998799,28.000000000000433,27.999999999999936,27.999999999998813,27.999999999999996,28.000000000000206,28.000000000004633,27.99999999999924,28,27.999999999999833,28.00000000000033,27.999999999999989,28.000000000786876,28.000000218057107,28.000025110840859,28.001208218001491,28.024885519204126,28.230799373833989,29.05615212810498
4,32.983269058960353,32.977088565618921,32.95857008004409,32.927782490640588,32.884840294851223,32.829903125955909,32.763175093706799,32.684903940819439,32.595380020171248,32.49493509610766,32.383940975888443,32.262807976610574,32.131983234208079,31.991948862591642,31.843219970184926,31.686342542558492,31.521891200501283,31.350466841454317,31.172694163923964,30.989219066255941,30.800705995291711,28.000000000001382,27.999999999999854,27.999999999998799,28.000000000000433,27.999999999999936,27.999999999998813,27.999999999999996,28.000000000000206,28.000000000004633,27.99999999999924,28,27.999999999999833,28.00000000000033,28.000000000618581,28.000000089538737,28.000006720309905,28.000259903531312,28.005244405892352,28.056555484054208,28.339718874536345,29.214549778767516
5,32.979095078674916,32.97291976211973,32.954416787625505,32.923654985876169,32.880748758423834,32.825857604844607,32.759185463933321,32.680979870884748,32.591530935361341,32.491170143861048,32.380268992203611,32.2592374537914,32.128522290052473,31.988605211085293,31.840000893832549,31.683254866530046,31.518941268407747,31.347660491112833,31.170036701965316,30.986715255373415,30.798360068397134,28.000000000001382,27.999999999999854,27.999999999998799,28.000000000000433,27.999999999999936,27.999999999998813,27.999999999999996,28.000000000000206,28.000000000004633,27.99999999999924,28,27.999999999999833,28.000000000298321,28.000000029295091,28.000001685213594,28.000056789885218,28.001128533242376,28.013398684895183,28.097120979974193,28.444668515332935,29.35298882149252
6,32.974924594518143,32.968754450409577,32.950266973998602,32.919530938304852,32.876660649063581,32.82181547225867,32.755199175868846,32.677059087743139,32.587685074543842,32.487408345134838,32.376600084166498,32.255669921638912,32.125064244781392,31.985264360215318,31.836784513768112,31.680169776682575,31.515993806688954,31.344856489490393,31.167381463378192,30.984213543686511,30.796016112479315,28.000000000001382,27.999999999999854,27.999999999998799,28.000000000000433,27.999999999999936,27.999999999998813,27.999999999999996,28.000000000000206,28.000000000004633,27.99999999999924,28,28.000000000108756,28.000000008561933,28.000000410306601,28.000012564474886,28.000246664194908,28.003128433248417,28.0259548288087,28.143580130999773,28.544886227183962,29.477263990373778
7,32.970757603559584,32.96459262756224,32.946120636250136,32.915410345031333,32.872575963899649,32.81777672535997,32.751216226714426,32.673141588643404,32.583842435016379,32.483649697287902,32.372934249202032,32.252105377648014,32.121609095966157,31.981926307635312,31.833570827726046,31.677087270782785,31.513048813105826,31.342054834728668,31.164728447194694,30.981713929405132,30.793674124421614,28.000000000001382,27.999999999999854,27.999999999998799,28.000000000000433,27.999999999999936,27.999999999998813,27.999999999999996,28.000000000000206,28.000000000004633,27.99999999999924,28.000000000025302,28.000000002348795,28.000000098501925,28.000002809061055,28.000054584583033,28.000726073852622,28.006662069245216,28.042655312310409,28.193833940923692,28.640452540264864,29.590815607334733
8,32.966594102871753,32.960434290655336,32.941977771469688,32.911293203161748,32.868494700064211,32.813741361311614,32.747236613673131,32.669227370835877,32.580003014080496,32.479894197680821,32.36927148473643,32.248543819315344,32.118156841180394,31.978591051000468,31.830359833432944,31.674007346591104,31.510106285485186,31.339255525065258,31.162077652157283,30.979216410634493,30.791334101621771,28.000000000001382,27.999999999999854,27.999999999998799,28.000000000000433,27.999999999999936,27.999999999998813,27.999999999999996,28.000000000000206,28.000000000004633,27.999999999999673,28.000000000607141,28.000000023499627,28.000000633863486,28.00001220511918,28.000168225120444,28.001667786337268,28.011980346017381,28.063021985646003,28.246463901494167,28.731692909338623,29.695884164635817
9,32.962434089849431,32.956279437096732,32.937838377076211,32.907179510129758,32.864416854999526,32.80970937759767,32.743260334241363,32.665316431859139,32.576166809324285,32.476141843954274,32.365611788478148,32.244985244406749,32.114707478249997,31.975258588203268,31.82715152884743,31.670930002127669,31.507166221927413,31.336458558967053,31.159429077005001,30.976720985653589,30.788996041985335,28.000000000000323,27.999999999999648,27.999999999999339,28.000000000000469,27.999999999999961,27.999999999999325,27.999999999999996,28.000000000000149,28.000000000002867,28.000000000151243,28.00000000558423,28.000000144290798,28.000002754607568,28.000039007172717,28.000410989568785,28.003237329930222,28.019196245732928,28.086527595527436,28.300511673162553,28.818984451770298,29.794024740618994
