time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T0_0,T0_1,T0_2,T0_3,T0_4,T0_5,T0_6,T0_7,T0_8,T0_9,T0_10,T0_11,T0_12,T0_13,T0_14,T0_15,T0_16,T0_17,T0_18,T0_19,T0_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,27.999999999999993,28.000000000000011,28.000000000000004,27.999999999999996,28,28,28.000000000000007,27.999999999999996,28,28,28.000000000000004,28.000000000000014,28.000000000000007,28,28.000000000000007,28.000000000000004,27.999999999999925,27.999999999999993,28.000000000000036,27.99999999999995,27.999999999999993,27.999999999999993,28.000000000000011,28.000000000000004,27.999999999999996,28,28,28.000000000000007,27.999999999999996,28,28,28.000000000000004,28.000000000000014,28.000000000000007,28,28.000000000000007,28.000000000000004,28.00000000000626,28.000000082420982,28.00014294125214,28.027815802735073,28.614953199047783
2,27.999999999999993,28.000000000000011,28.000000000000004,27.999999999999996,28,28,28.000000000000007,27.999999999999996,28,28,28.000000000000004,28.000000000000014,28.000000000000007,28,28.000000000000007,28.000000000000004,27.999999999999925,27.999999999999993,28.000000000000036,27.99999999999995,27.999999999999993,27.999999999999993,28.000000000000011,28.000000000000004,27.999999999999996,28,28,28.000000000000007,27.999999999999996,28,28,28.000000000000004,28.000000000000014,28.000000000000007,28,28.000000000000092,28.000000000522174,28.000000375882369,28.000084893071087,28.005798882936311,28.121401166622977,28.865566012709305
3,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000000014,28.000000000000007,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999954,28,28.000000000000032,28.000000000000021,28.000000000000011,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000000014,28.000000000000007,28.000000000002167,28.000000001133944,28.000000262117673,28.000027121391682,28.001237159828261,28.024963319454102,28.230492238279179,29.055380398122963
4,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000000014,28.000000000000007,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999954,28,28.000000000000032,28.000000000000021,28.000000000000011,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000000014,28.000000000003496,28.000000000836803,28.000000106546519,28.000007320298749,28.000269155287903,28.005298218588294,28.056603733040873,28.339369233688007,29.213879838251604
5,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000000014,28.000000000000007,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999954,28,28.000000000000032,28.000000000000021,28.000000000000011,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000002689,28.000000000395737,28.000000034788808,28.000001852535455,28.000059461110816,28.001149523228452,28.013466710922682,28.097129899702221,28.444303567213307,29.352392736515956
6,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000000014,28.000000000000007,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999954,28,28.000000000000032,28.000000000000021,28.000000000000011,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000001133,28.000000000149353,28.000000010187918,28.000000455340956,28.000013298413656,28.000253487827038,28.003162154095243,28.026025877061631,28.143552087551832,28.544519118749083,29.476724390434867
7,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000000014,28.000000000000007,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999954,28,28.000000000000032,28.000000000000021,28.000000000000011,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000711,28.000000000049251,28.000000002808704,28.00000011037109,28.000003005098435,28.00005661604186,28.000738816877178,28.006706762603571,28.042721437431652,28.193774635051088,28.640089766954805,29.590320917076607
8,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28,28.000000000000028,28.000000000000004,28.000000000000014,28.000000000000007,27.999999999999993,28.000000000000004,28.000000000000004,27.999999999999954,28,28.000000000000032,28.000000000000021,28.000000000000011,27.999999999999982,28.000000000000007,28.000000000000007,28,28.000000000000004,28.000000000000007,28.000000000000004,28.000000000000007,28.000000000000053,28.000000000015444,28.000000000747015,28.000000026588406,28.000000685321996,28.000012780314048,28.000172450855754,28.0016874138798,28.012033008279612,28.063078463658542,28.246379239064265,28.731337684191345,29.695426241658179
9,28.000000000000018,27.999999999999993,27.999999999999979,28.000000000000043,28,28,28.000000000000004,27.999999999999989,28.000000000000025,28.000000000000039,27.999999999999993,27.999999999999986,28.000000000000007,28,28.000000000000004,28.000000000000004,27.999999999999922,27.999999999999993,28.000000000000028,28.000000000000011,28.000000000000014,28.000000000000018,27.999999999999993,27.999999999999979,28.000000000000043,28,28,28.000000000000004,27.999999999999993,28.000000000004647,28.000000000200369,28.000000006520846,28.000000159701777,28.00000293650335,28.000040505415633,28.000419415582016,28.003268420427823,28.019264697603397,28.086587193818339,28.300411140492578,28.818617660099729,29.793564335518965
10,28.000000000000018,27.999999999999993,27.999999999999979,28.000000000000043,28,28,28.000000000000004,27.999999999999989,28.000000000000025,28.000000000000039,27.999999999999993,27.999999999999986,28.000000000000007,28,28.000000000000004,28.000000000000004,27.999999999999922,27.999999999999993,28.000000000000028,28.000000000000011,28.000000000000014,28.000000000000018,27.999999999999993,27.999999999999979,28.000000000000043,28,28,28.000000000000004,28.00000000000118,28.000000000052889,28.000000001599034,28.000000037519076,28.000000681042163,28.000009549367306,28.000103401616716,28.000865578194563,28.005617260156505,28.028400401689609,28.112728300131188,28.35520652458802,28.902318077817256,29.885912562989844
