time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,0,0,28.000000000000014,28.000000000000014,0,0,0,0,0
1,0.0004616190210350645,28.000186523793381,0,0.2153369051653975,28.000005072465367,28.000005072465367,0.0033974742547873082,0,-8.149258197402751e-11,1.6770223185319437e-16,1.3189422762301014e-14
2,0.00045917233729300319,28.000525131339121,0,0.42687171652202593,28.000020145216372,28.000020145216372,0.013493015481630972,0,-2.9009310237676425e-10,1.6770223185319437e-16,1.3316127252085253e-14
3,0.00045730453877853363,28.000961204852612,0,0.63596987868468347,28.000045081890327,28.000045081890327,0.030195289449406703,0,-3.9273480201312835e-10,1.8859020421032527e-16,1.3760186855781569e-14
4,0.00045573628326419025,28.001475263630802,0,0.84311840922994818,28.000079779056897,28.000079779056897,0.053435019888078014,0,-5.2476662885454461e-10,1.8859020421032527e-16,1.3760186855781569e-14
5,0.00045435943995126638,28.002056070863002,0,1.0485982284248685,28.000124152352804,28.000124152352804,0.083155701301126136,0,-6.3103347851054574e-10,1.8859020421032527e-16,1.3760186855781569e-14
6,0.00045311854941625795,28.002696050195183,0,1.2525987451204479,28.000178128205917,28.000178128205917,0.11930805601048186,0,-7.1183096357368417e-10,1.8859020421032527e-16,1.3760186855781569e-14
7,0.00045198066620917164,28.003389643568092,0,1.4552589107976743,28.000241640641807,28.000241640641807,0.16184789515942832,0,-7.9982098089667501e-10,1.8859020421032527e-16,1.3760186855781569e-14
8,0.00045092432499478077,28.004132547590885,0,1.6566863102278617,28.000314629414962,28.000314629414962,0.21073486709010267,0,-8.9299443783487384e-10,1.8859020421032527e-16,1.3760186855781569e-14
9,0.00044993465706527429,28.004921333883178,0,1.8569666529205442,28.000397045663156,28.000397045663156,0.26593624424766088,0,-7.8410242399610286e-10,1.8859020421032527e-16,1.3760186855781569e-14
10,0.00044900075474804338,28.005753107220041,0,2.0561723194989945,28.000488830415485,28.000488830415485,0.32741252888376077,0,-6.8714520786549911e-10,2.0290602519932398e-16,1.3760186855781569e-14
11,0.00044811442757339797,28.006625452448567,0,2.2543636887857765,28.000589934721422,28.000589934721422,0.39513093452387482,0,-5.8898639825889332e-10,2.0290602519932398e-16,1.3760186855781569e-14
12,0.00044726931198906135,28.0075362943717,0,2.4515926407075561,28.000700312254349,28.000700312254349,0.46906043217221072,0,-4.8844541282959197e-10,2.0290602519932398e-16,1.3760186855781569e-14
13,0.00044646034723165454,28.008483824939603,0,2.6479043765099242,28.000819918958072,28.000819918958072,0.54917151356861893,0,-3.7442311060960837e-10,2.0290602519932398e-16,1.3760186855781569e-14
14,0.00044568342999328473,28.009466450564322,0,2.8433387358918871,28.000948712766228,28.000948712766228,0.63543600316300097,0,-2.6261974998680543e-10,2.0290602519932398e-16,1.3760186855781569e-14
15,0.00044493517855239426,28.010482752924581,0,3.0379311768854222,28.001086653374788,28.001086653374788,0.72782690582458165,0,-1.4939892893066962e-10,2.0290602519932398e-16,1.3760186855781569e-14
16,0.00044421276673202345,28.011531459119343,0,3.2317135220164772,28.001233702054897,28.001233702054897,0.82631828144203412,0,-4.1833397059855702e-11,2.0290602519932398e-16,1.3760186855781569e-14
17,0.00044351380396956386,28.012611418484148,0,3.4247145378962784,28.001389821496495,28.001389821496495,0.93088514020169677,0,6.99874492074025e-11,2.0290602519932398e-16,1.3760186855781569e-14
18,0.00044283624675110555,28.013721584272091,0,3.6169603931976546,28.001554975676097,28.001554975676097,1.0415033540635901,0,1.8264821521016971e-10,2.0290602519932398e-16,1.3760186855781569e-14
19,0.00044217833193250665,28.014860998960412,0,3.8084750259897326,28.001729129744131,28.001729129744131,1.1581495811313358,0,2.9560575892791846e-10,2.0290602519932398e-16,1.3760186855781569e-14
20,0.00044153852567889153,28.016028782309455,0,3.9992804422636752,28.001912249927102,28.001912249927102,1.2808012004312326,0,4.0826854386667572e-10,2.0290602519932398e-16,1.3760186855781569e-14
21,0.00044091548377138504,28.01722412154454,0,4.1893969613864712,28.002104303443421,28.002104303443421,1.4094362551995072,0,5.2139702822387912e-10,2.0290602519932398e-16,1.3760186855781569e-14
22,0.00044030802033320359,28.018446263198925,0,4.3788434200267901,28.002305258428855,28.002305258428855,1.5440334032012393,0,6.3910943719780642e-10,2.0290602519932398e-16,1.3760186855781569e-14
23,0.00043971508289028749,28.019694506273026,0,4.5676373431743578,28.002515083871355,28.002515083871355,1.6845718729183852,0,7.5939412181231276e-10,2.0290602519932398e-16,1.3760186855781569e-14
24,0.00043913573226551721,28.0209681964491,0,4.7557950887725298,28.002733749552839,28.002733749552839,1.8310314246803845,0,8.7998091817077161e-10,2.0290602519932398e-16,1.3760186855781569e-14
25,0.00043856912620862887,28.02226672116036,0,4.9433319709909718,28.002961225997556,28.002961225997556,1.9833923159908513,0,9.9784077742409991e-10,2.0290602519932398e-16,1.3760186855781569e-14
26,0.00043801450594699038,28.023589505359659,0,5.1302623660085089,28.00319748442563,28.00319748442563,2.1416352704427593,0,1.1212143136544491e-09,2.0290602519932398e-16,1.3760186855781569e-14
27,0.00043747118504447306,28.024936007864049,0,5.3165998033987805,28.003442496711202,28.003442496711202,2.3057414497231274,0,1.2478904414627746e-09,2.0290602519932398e-16,1.3760186855781569e-14
28,0.00043693854010202782,28.026305718179295,0,5.5023570455175808,28.003696235344805,28.003696235344805,2.4756924282942063,0,1.3733210004663672e-09,2.0290602519932398e-16,1.3760186855781569e-14
29,0.00043641600294099967,28.027698153725481,0,5.6875461568629326,28.003958673398873,28.003958673398873,2.6514701704063683,0,1.5015285988353194e-09,2.0290602519932398e-16,1.3760186855781569e-14
30,0.00043590305399009323,28.029112857401284,0,5.8721785649678893,28.004229784496477,28.004229784496477,2.8330570091529115,0,1.6296329561690009e-09,2.0290602519932398e-16,1.3760186855781569e-14
31,0.00043539921665692634,28.03054939543528,0,6.0562651141180091,28.004509542782898,28.004509542782898,3.0204356273219837,0,1.756140778696715e-09,2.0290602519932398e-16,1.3760186855781569e-14
32,0.00043490405251074397,28.032007355482655,0,6.2398161129336494,28.004797922899161,28.004797922899161,3.2135890398370601,0,1.880372357443358e-09,2.0290602519932398e-16,1.3760186855781569e-14
33,0.0004344171802660113,28.033486405437309,0,6.4228398640672424,28.005094925072537,28.005094925072537,3.4125173988758633,0,1.980501338470197e-09,2.0290602519932398e-16,1.3760186855781569e-14
34,0.00043393820080119347,28.034986108309024,0,6.6053472922743772,28.005400499610367,28.005400499610367,3.6171874209651995,0,2.0797045412716691e-09,2.0290602519932398e-16,1.3760186855781569e-14
35,0.00043346676767019111,28.036506106712189,0,6.7873473321951927,28.005714622507721,28.005714622507721,3.827583027844943,0,2.1794142459329131e-09,2.0290602519932398e-16,1.3760186855781569e-14
