time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
0,28.000000000000011,2.5499999999999994,0,0,0,0,0,0
1,28.000003262682803,2.5497990570663616,257,771,0.0021741940295419634,4.0188586727889899e-08,5.5152191252474073e-12,1.3218640871690604e-19
2,28.000012990680773,2.5495995124522359,513,1539,0.0086538410198034738,8.0097509552956223e-08,2.3305731003721427e-11,1.0508636918723203e-19
3,28.000029125972571,2.5494008399321082,577,1731,0.019397451526310963,1.1983201357847345e-07,2.0785103471068202e-11,1.4593223764237083e-19
4,28.000051625583563,2.5492028651848004,641,1923,0.034374307605005885,1.5942696303995159e-07,1.2659252865614622e-11,1.3105735887955944e-19
5,28.000080453643271,2.5490054889257365,705,2115,0.053558779150056371,1.9890221485278996e-07,-1.9238194600537061e-12,1.2030711284366716e-19
6,28.000115578729556,2.5488086446165221,769,2307,0.076928422069754934,2.3827107669568424e-07,-2.4418234482127344e-11,1.0668655008221587e-19
7,28.000156972552997,2.5486122836048275,833,2499,0.10446303608628439,2.7754327903465192e-07,-4.4105369759164316e-11,1.3815715347467865e-19
8,28.000204609187229,2.5484163682954661,897,2691,0.1361441134906072,3.1672634090683158e-07,-6.2674265583343098e-11,1.0031736276313412e-19
9,28.000258464563846,2.5482208684930745,913,2739,0.17195447816614265,3.5582630138512116e-07,-6.2693510605585585e-11,9.3098143967077574e-20
10,28.000318516152749,2.5480257592692732,929,2787,0.2118780541120561,3.9484814614528819e-07,-5.8459781352990454e-11,1.0463772710249859e-19
11,28.000384742687707,2.5478310195699936,945,2835,0.25589967138985159,4.3379608600135326e-07,-5.1719061391617078e-11,9.9343771182159209e-20
12,28.000457123986976,2.5476366313104157,961,2883,0.30400493694539887,4.7267373791681106e-07,-4.798309022377178e-11,5.3080800292987201e-20
13,28.000535640808057,2.5474425787360984,977,2931,0.35618013021122641,5.1148425278037933e-07,-4.9775851909403475e-11,4.5002140840488056e-20
14,28.000620274731499,2.5472488479615256,993,2979,0.41241212019289331,5.5023040769498452e-07,-5.4219323541712878e-11,1.6585178076841343e-20
15,28.00071100806732,2.547055426627332,1009,3027,0.47268829831011328,5.8891467453374019e-07,-5.989086793903053e-11,2.0582321591850711e-21
16,28.000807823777887,2.5468623036396001,1025,3075,0.53699652309238322,6.275392720801601e-07,-6.1702645663405882e-11,-6.8720097339374157e-21
17,28.000910705413279,2.5466694689675631,1041,3123,0.60532507398959512,6.6610620648697558e-07,-6.0098147878770653e-11,-1.6241070942019284e-20
18,28.001019637056856,2.5464769134839083,1057,3171,0.67766261232257952,7.0461730321836751e-07,-6.4699260772235974e-11,-2.2333256153472332e-20
19,28.001134603278654,2.5462846288367427,1073,3219,0.75399814791719433,7.4307423265127203e-07,-6.9146815943607827e-11,-3.2578715220554133e-20
20,28.001255589095262,2.5460926073456585,1089,3267,0.8343210103268357,7.814785308682021e-07,-6.8135255316678851e-11,-4.1690936848438286e-20
21,28.001382579934742,2.545900841916279,1105,3315,0.91862082380547605,8.1983161674420674e-07,-6.9197583493494026e-11,-2.8751764116577551e-20
22,28.001515561606197,2.5457093259693178,1121,3363,1.0068874853805485,8.58134806136404e-07,-7.3085528147218355e-11,-1.5965619798039125e-20
23,28.001654520272709,2.5455180533811057,1137,3411,1.0991111455132523,8.9638932377883952e-07,-7.4236468601271639e-11,-1.8652302427611359e-20
24,28.001799442427291,2.545327018433305,1153,3459,1.1952821909379434,9.3459631333888601e-07,-7.2448652178589086e-11,-6.7607539415490334e-21
25,28.001950314871607,2.5451362157700745,1169,3507,1.295391229351686,9.7275684598518579e-07,-7.1692781118401712e-11,-2.8010196697423761e-20
26,28.002107124696803,2.5449456403613064,1185,3555,1.3994290756861154,1.0108719277389825e-06,-7.4397977428417246e-11,-5.8285834297477127e-20
27,28.002269859266214,2.5447552874708879,1201,3603,1.5073867397417477,1.0489425058223546e-06,-7.3177923856357569e-11,-2.7221066393048173e-20
28,28.002438506199784,2.5445651526291342,1217,3651,1.6192554150026155,1.0869694741727618e-06,-7.6229456840990135e-11,-6.7700804029555688e-20
29,28.002613053359813,2.5443752316087003,1233,3699,1.7350264684793191,1.1249536782596267e-06,-7.8403152959924611e-11,-5.9850446426121179e-20
30,28.002793488838034,2.5441855204034369,1249,3747,1.8546914314527796,1.1628959193125698e-06,-8.1796529685371428e-11,-5.5577231381672238e-20
31,28.002979800944001,2.5439960152097449,1265,3795,1.9782419910106945,1.2007969580506163e-06,-8.3216739988897999e-11,-5.2538169811152415e-20
32,28.003171978193951,2.5438067124100705,1281,3843,2.1056699822848746,1.2386575179856279e-06,-8.4982794305574423e-11,-6.7116400926786974e-20
33,28.003370009238708,2.5436176085425095,1285,3859,2.2369673432530779,1.2764782914981239e-06,-8.2433340601870348e-11,-5.9283000525909802e-20
34,28.003573883043654,2.5434287003361318,1289,3875,2.3721262236511564,1.3142599327737e-06,-8.2447072672906181e-11,-5.8884299470659243e-20
35,28.003783588688442,2.5432399846492815,1293,3891,2.5111388619313693,1.3520030701434472e-06,-8.2697781848548253e-11,-7.3454258780168272e-20
36,28.003999115424197,2.5430514584762332,1297,3907,2.6539976191695049,1.3897083047527695e-06,-8.192401191153575e-11,-4.5747016982092057e-20
37,28.004220452665926,2.5428631189376616,1301,3923,2.8006949737948288,1.4273762124676268e-06,-8.1876300077052484e-11,-3.3901790610332701e-20
38,28.004447589985908,2.5426749632720056,1305,3939,2.9512235167037786,1.4650073455987748e-06,-7.9308701165789692e-11,-3.5738131570200422e-20
39,28.004680517107097,2.5424869888276707,1309,3955,3.1055759467047004,1.5026022344657267e-06,-8.158696207904736e-11,-3.7374294821830311e-20
40,28.00491922389736,2.5422991930559045,1313,3971,3.2637450662615324,1.5401613888190974e-06,-8.316816252740022e-11,-2.7901422446873038e-20
41,28.005163700363845,2.5421115735043114,1317,3987,3.425723777509377,1.5776852991374026e-06,-8.3671905408142173e-11,-3.2310295111780676e-20
42,28.005413936647773,2.5419241278109368,1321,4003,3.5915050785181402,1.6151744378122137e-06,-8.5592154090427748e-11,-4.0380269167848014e-20
43,28.005669923019553,2.541736853698831,1325,4019,3.7610820597830288,1.6526292602337268e-06,-8.1936619881759149e-11,-5.1373499508677752e-20
44,28.005931649874121,2.5415497489710637,1329,4035,3.9344479009231246,1.6900502057872579e-06,-7.9607101359233319e-11,-5.1057516514682495e-20
45,28.006199107726555,2.5413628115061488,1333,4051,4.1115958675711504,1.7274376987698425e-06,-8.4166606910127335e-11,-4.5927342355628617e-20
46,28.006472287208215,2.5411760392538243,1337,4067,4.2925193084392141,1.7647921492349964e-06,-8.2993010967477794e-11,-5.5792298340936025e-20
47,28.006751179062576,2.5409894302311367,1341,4083,4.4772116525470871,1.8021139537727115e-06,-8.2304381258666233e-11,-6.2871310023164836e-20
48,28.007035774141805,2.5408029825188443,1345,4099,4.6656664066003728,1.8394034962309424e-06,-8.3255890963027319e-11,-5.2536515449927308e-20
49,28.007326063403056,2.540616694258079,1349,4115,4.8578771525078182,1.8766611483841026e-06,-8.4779137769494746e-11,-5.1760620035352568e-20
50,28.007622037905385,2.5404305636472309,1353,4131,5.0538375450273518,1.9138872705534744e-06,-8.4186951747053591e-11,-5.2197371398780567e-20
