time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28.000000000000011,28,27.999999999999996,28,28,28.000000000000007,28.000000000000011,27.999999999999996,28,28.000000000000021,28.000000000000007,28,28,28.000000000000004,27.999999999999996,27.999999999999972,27.999999999999993,28.000000000000064,28.000000001368015,28.000001425525639,28.000129264199696,2.5500000000000003,2.5499999999999998,2.5500000000000171,2.5499999999999998,2.549999999999998,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000176,2.5499999999999989,2.5499999999999998,2.5499999999999994,2.5500000000000123,2.5499999999999998,2.5500000000000052,2.5499999999999998,2.5499999999999994,2.5500000000000052,2.52066151602286
2,28.000000000000011,28,27.999999999999996,28,28,28.000000000000007,28.000000000000011,27.999999999999996,28,28.000000000000021,28.000000000000007,28,28,28.000000000000004,27.999999999999996,27.999999999999972,28.000000000001304,28.000000001347509,28.00000031275739,28.000019148994884,28.00036533815431,2.5500000000000003,2.5499999999999998,2.5500000000000171,2.5499999999999998,2.549999999999998,2.5499999999999998,2.549999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000176,2.5499999999999989,2.5499999999999998,2.5499999999999994,2.5500000000000123,2.5499999999999998,2.5500000000000052,2.5500000000000043,2.5499999999999994,2.5499999999816483,2.5080048501999985
3,27.999999999999996,28.000000000000014,27.999999999999925,27.999999999999989,28.000000000000018,27.999999999999996,27.999999999999996,28.000000000000011,28,28.000000000000039,28.000000000000011,28.000000000000011,27.999999999999996,28.000000000000004,28.000000000000004,28.000000000001357,28.000000000457508,28.000000059349674,28.000003037526074,28.000065771681861,28.000670319832906,2.5499999999999976,2.5499999999999998,2.5499999999999936,2.5499999999999976,2.549999999999998,2.5500000000000056,2.5500000000000078,2.5500000000000043,2.5499999999999994,2.5499999999999998,2.5500000000000047,2.5499999999999989,2.5499999999999998,2.5500000000000034,2.5500000000000118,2.5499999999999998,2.5500000000000025,2.5500000000000007,2.5499999999999994,2.5499999962900444,2.4984381112134164
4,27.999999999999996,28.000000000000014,27.999999999999925,27.999999999999989,28.000000000000018,27.999999999999996,27.999999999999996,28.000000000000011,28,28.000000000000039,28.000000000000011,28.000000000000011,27.999999999999996,28.000000000000004,28.000000000000519,28.000000000114849,28.000000010849046,28.000000499510094,28.000011625131407,28.000144335497225,28.001030741036594,2.5499999999999976,2.5499999999999998,2.5499999999999936,2.5499999999999976,2.549999999999998,2.5500000000000056,2.5500000000000078,2.5500000000000043,2.5499999999999994,2.5499999999999998,2.5500000000000047,2.5499999999999989,2.5499999999999998,2.5500000000000034,2.5500000000000052,2.5500000000000047,2.5499999999999998,2.5500000000000007,2.5499999999999989,2.5499999097841122,2.4904359591527649
5,27.999999999999996,28.000000000000014,27.999999999999925,27.999999999999989,28.000000000000018,27.999999999999996,27.999999999999996,28.000000000000011,28,28.000000000000039,28.000000000000011,28.000000000000011,27.999999999999996,28.000000000000128,28.000000000025338,28.000000001959442,28.00000008404291,28.000002047373112,28.000029215467979,28.00025488205393,28.001438822993283,2.5499999999999976,2.5499999999999998,2.5499999999999936,2.5499999999999976,2.549999999999998,2.5500000000000056,2.5500000000000078,2.5500000000000043,2.5499999999999994,2.5499999999999998,2.5500000000000047,2.5499999999999989,2.5499999999999998,2.5500000000000034,2.5500000000000047,2.550000000000006,2.5499999999999994,2.5500000000000007,2.5499999999999989,2.5499992339924491,2.4834248881814043
6,27.999999999999996,28.000000000000014,27.999999999999925,27.999999999999989,28.000000000000018,27.999999999999996,27.999999999999996,28.000000000000011,28,28.000000000000039,28.000000000000011,28.000000000000011,28.000000000000004,28.000000000005084,28.000000000352724,28.000000014372315,28.000000361147283,28.000005705660207,28.000058182768214,28.000396565977315,28.00188931952988,2.5499999999999976,2.5499999999999998,2.5499999999999936,2.5499999999999976,2.549999999999998,2.5500000000000056,2.5500000000000078,2.5500000000000043,2.5499999999999994,2.5499999999999998,2.5500000000000047,2.5499999999999989,2.5499999999999998,2.5500000000000056,2.550000000000006,2.5500000000000047,2.5499999999999994,2.5500000000000012,2.5499999999999945,2.5499964377905102,2.4771143667982245
7,27.999999999999996,28.000000000000014,27.999999999999925,27.999999999999989,28.000000000000018,27.999999999999996,27.999999999999996,28.000000000000011,28,28.000000000000039,28.000000000000011,28.000000000000011,28.000000000001016,28.000000000063363,28.000000002488857,28.000000063932006,28.000001090862643,28.000012576944542,28.000100220268113,28.000568291189705,28.002378380622513,2.5499999999999976,2.5499999999999998,2.5499999999999936,2.5499999999999976,2.549999999999998,2.5500000000000056,2.5500000000000078,2.5500000000000043,2.5499999999999994,2.5499999999999998,2.5500000000000047,2.5499999999999989,2.5499999999999998,2.550000000000006,2.5500000000000074,2.5500000000000038,2.5499999999999976,2.5500000000000007,2.549999999999824,2.5499886341611062,2.4713330117929551
8,27.999999999999996,28.000000000000014,27.999999999999925,27.999999999999989,28.000000000000018,27.999999999999996,27.999999999999996,28.000000000000011,28,28.000000000000039,28.000000000000011,28.000000000000153,28.000000000011458,28.00000000043531,28.000000011367316,28.000000205909878,28.000002618762377,28.000023742742719,28.000156508494083,28.000768927865241,28.002903024134699,2.5499999999999976,2.5499999999999998,2.5499999999999936,2.5499999999999976,2.549999999999998,2.5500000000000056,2.5500000000000078,2.5500000000000043,2.5499999999999994,2.5499999999999998,2.5500000000000047,2.5500000000000003,2.5499999999999976,2.5500000000000047,2.5500000000000065,2.5500000000000047,2.5499999999999998,2.5500000000000007,2.5499999999974543,2.5499717925815304,2.4659696689970776
9,27.999999999999968,28.000000000000021,27.999999999999964,27.99999999999995,28.000000000000032,28,27.999999999999979,27.999999999999996,28.000000000000007,28.000000000000036,28.00000000000006,28.000000000002075,28.000000000076927,28.000000002031822,28.000000038582304,28.000000531286421,28.000005361754916,28.000040201748092,28.00022785835473,28.000997389878538,28.003460850864919,2.5499999999999985,2.5499999999999998,2.5499999999999963,2.549999999999994,2.5499999999999976,2.5500000000000043,2.5500000000000056,2.5500000000000016,2.5499999999999989,2.5500000000000007,2.5500000000000029,2.5499999999999972,2.549999999999998,2.5500000000000025,2.5500000000000065,2.5500000000000043,2.5499999999999989,2.5500000000000007,2.5499999999775285,2.5499412873246845,2.4609473673342421
