time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28.000000000000007,28,28.000000000000007,28.000000000000014,27.999999999999996,28.000000000000014,28.000000000000028,27.999999999999996,28.000000000000004,28.000000000000025,28.000000000000011,27.999999999999975,28,28.000000000000011,27.999999999999993,28,27.999999999999964,28.000000000000004,28.000000001260528,28.000001417929219,28.000129643425641,2.5500000000000012,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.550000000000006,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5499999999999972,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999985,2.5500000000000007,2.5499999999999994,2.5499999999999967,2.5500000000000029,2.5198562676206708
2,28.000000000000007,28,28.000000000000007,28.000000000000014,27.999999999999996,28.000000000000014,28.000000000000028,27.999999999999996,28.000000000000004,28.000000000000025,28.000000000000011,27.999999999999975,28,28.000000000000011,27.999999999999993,28,28.000000000000412,28.00000000127979,28.000000309145687,28.000019151280544,28.00036586588589,2.5500000000000012,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.550000000000006,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5499999999999972,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999985,2.549999999999998,2.5500000000000118,2.5499999999999967,2.549999999999661,2.5074592028072074
3,28.000000000000057,27.999999999999996,27.999999999999989,28,27.999999999999993,28.000000000000018,27.999999999999986,28.000000000000011,27.999999999999989,28.000000000000032,27.999999999999979,27.999999999999979,27.999999999999972,28.000000000000011,27.999999999999954,28.000000000000909,28.000000000436,28.000000058368414,28.000003026915028,28.000065805151394,28.000670958039557,2.5500000000000007,2.5500000000000012,2.5500000000000025,2.5499999999999998,2.5499999999999994,2.5500000000000016,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999985,2.5499999999999994,2.5499999999999998,2.5499999999999976,2.5500000000000038,2.5500000000000065,2.5499999999999976,2.5499999992501237,2.4980011011960204
4,28.000000000000057,27.999999999999996,27.999999999999989,28,27.999999999999993,28.000000000000018,27.999999999999986,28.000000000000011,27.999999999999989,28.000000000000032,27.999999999999979,27.999999999999979,27.999999999999972,28.000000000000011,28.000000000000206,28.000000000109331,28.00000001062066,28.000000495846976,28.000011609192466,28.000144409114395,28.001031469865808,2.5500000000000007,2.5500000000000012,2.5500000000000025,2.5499999999999998,2.5499999999999994,2.5500000000000016,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999985,2.5499999999999994,2.5499999999999963,2.5500000000000016,2.5500000000000007,2.5500000000000069,2.5499999999999985,2.5499999588868194,2.4900624731569052
5,28.000000000000057,27.999999999999996,27.999999999999989,28,27.999999999999993,28.000000000000018,27.999999999999986,28.000000000000011,27.999999999999989,28.000000000000032,27.999999999999979,27.999999999999979,27.999999999999972,28.000000000000032,28.000000000023601,28.000000001909772,28.000000083096715,28.000002039484738,28.0000291981431,28.000254999136676,28.001439629827086,2.5500000000000007,2.5500000000000012,2.5500000000000025,2.5499999999999998,2.5499999999999994,2.5500000000000016,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999985,2.5499999999999994,2.5500000000000007,2.5500000000000012,2.5500000000000007,2.5500000000000078,2.549999999999998,2.5499995039596297,2.4830943196177824
6,28.000000000000057,27.999999999999996,27.999999999999989,28,27.999999999999993,28.000000000000018,27.999999999999986,28.000000000000011,27.999999999999989,28.000000000000032,27.999999999999979,27.999999999999979,27.999999999999972,28.000000000004498,28.000000000341718,28.000000014153684,28.000000358719202,28.000005692834282,28.000058168232972,28.000396727374596,28.001890195431645,2.5500000000000007,2.5500000000000012,2.5500000000000025,2.5499999999999998,2.5499999999999994,2.5500000000000016,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999985,2.5500000000000012,2.5499999999999994,2.5499999999999967,2.5499999999999976,2.5500000000000083,2.5499999999999967,2.549997256661805,2.4768152802559675
7,28.000000000000057,27.999999999999996,27.999999999999989,28,27.999999999999993,28.000000000000018,27.999999999999986,28.000000000000011,27.999999999999989,28.000000000000032,27.999999999999979,27.999999999999979,28.000000000000522,28.000000000060798,28.000000002440693,28.000000063302586,28.000001086132727,28.000012559269404,28.000100212217269,28.000568496608143,28.002379318834635,2.5500000000000007,2.5500000000000012,2.5500000000000025,2.5499999999999998,2.5499999999999994,2.5500000000000016,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.5499999999999994,2.5499999999999976,2.5500000000000007,2.5499999999999998,2.5500000000000074,2.5499999999999878,2.5499903829980983,2.4710582867904796
8,28.000000000000057,27.999999999999996,27.999999999999989,28,27.999999999999993,28.000000000000018,27.999999999999986,28.000000000000011,27.999999999999989,28.000000000000032,27.999999999999979,27.999999999999979,28.000000000010598,28.000000000424876,28.000000011217612,28.000000204518962,28.00000261102015,28.00002372087565,28.000156509987704,28.000769176467344,28.00290401931635,2.5500000000000007,2.5500000000000012,2.5500000000000025,2.5499999999999998,2.5499999999999994,2.5500000000000016,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999954,2.5499999999999963,2.5500000000000012,2.5500000000000007,2.5500000000000029,2.5500000000000114,2.5499999999994944,2.5499747835478228,2.4657145179219695
9,27.999999999999687,28,28.000000000000028,27.999999999999996,28,27.999999999999964,27.999999999999947,27.999999999999975,28.000000000000043,27.999999999999982,28.000000000000004,28.000000000001759,28.000000000074074,28.00000000199628,28.000000038210231,28.000000528669787,28.000005350342828,28.000040176438215,28.000227871724142,28.000997680864891,28.00346189924765,2.5500000000000003,2.5500000000000007,2.5500000000000052,2.5499999999999998,2.5499999999999998,2.5500000000000185,2.5500000000000038,2.5499999999999976,2.5499999999999994,2.5500000000000003,2.549999999999998,2.5499999999999989,2.5499999999999945,2.5499999999999949,2.5500000000000007,2.5500000000000025,2.5500000000000003,2.5500000000000069,2.5499999999930454,2.5499456973815771,2.4607084031041415
