time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
0,28.000000000000011,2.5500000000000052,0,0,0,0,0,0
1,28.000003262437467,2.5497991818505832,257,771,0.0021740602204470688,4.0163629884742959e-08,-4.090512375826636e-11,4.4279172060419639e-20
2,28.000012989981677,2.5495996918476003,513,1539,0.008653466529926504,8.0061630481911283e-08,-1.1057781244126415e-10,5.0622070545658682e-20
3,28.000029124689295,2.5494010600828787,577,1731,0.019396769812233552,1.1978798342528426e-07,-1.768382127924576e-10,3.8774259234485097e-20
4,28.000051623612645,2.5492031191593232,641,1923,0.034373266404612093,1.5937616813603851e-07,-2.5730610761816492e-10,8.6358547754633998e-20
5,28.000080450896984,2.5490057723546675,705,2115,0.053557334439359158,1.9884552906853025e-07,-2.7365189947146754e-10,1.3175452996427386e-19
6,28.000115575130213,2.5488089544200805,769,2307,0.076926535374620006,2.3820911598445603e-07,-3.2074185645948777e-10,1.0815858260573933e-19
7,28.000156968030726,2.5486126174611234,833,2499,0.10446067300118027,2.7747650777654303e-07,-4.2346045305456484e-10,7.47649910842439e-20
8,28.000204603678061,2.5484167243729008,897,2691,0.13614124275832351,3.1665512542064797e-07,-4.9203221297846286e-10,7.1067700541285005e-20
9,28.000258458008666,2.5482212452989712,913,2755,0.17195107105969576,3.5575094020690899e-07,-4.4459275740281987e-10,-3.6071627528727075e-20
10,28.000318508496179,2.5480261555566313,929,2819,0.21187408399387297,3.9476888867483308e-07,-4.7992952520289031e-10,-5.9002314879615832e-20
11,28.000384733877762,2.5478314342768069,945,2883,0.25589511338690019,4.33713144638688e-07,-5.3965148782122127e-10,-6.6446526802286804e-20
12,28.000457113974591,2.5476370635180694,961,2947,0.3039997677001427,4.7258729638709364e-07,-5.2163643743226815e-10,-7.7556389609486519e-20
13,28.000535629546629,2.5474430276397459,977,3011,0.35617432768562085,5.1139447205126556e-07,-5.1280481710138345e-10,-7.9164428720289605e-20
14,28.000620262176383,2.5472493128484333,993,3075,0.41240566351106867,5.5013743031394437e-07,-5.3026494679760636e-10,-8.5671445008937997e-20
15,28.000710994176146,2.5470559068605558,1009,3139,0.47268116763027235,5.888186278896261e-07,-5.2921511123190343e-10,-8.9563329790999992e-20
16,28.000807808509983,2.5468627986454564,1025,3203,0.53698869950021122,6.2744027090952872e-07,-5.0717952260033969e-10,-1.1207794529377458e-19
17,28.000910688729348,2.5466699782258244,1041,3267,0.60531653940869323,6.6600435483615045e-07,-4.9810258721646147e-10,-1.6692332862849052e-19
18,28.001019618919141,2.5464774365199836,1057,3331,0.67765334943866917,7.0451269600437184e-07,-4.8035000916304102e-10,-1.1922644014745784e-19
19,28.001134583650664,2.5462851652153953,1073,3395,0.75398814011252224,7.4296695692128058e-07,-5.6441002505549195e-10,-9.9852629430547104e-20
20,28.001255567941985,2.5460931566658593,1089,3459,0.83431024162357836,7.8136866682847657e-07,-4.9569985295490857e-10,-8.7552867312189859e-20
21,28.001382557222083,2.5459014038069525,1105,3523,0.9186092788163992,8.1971923861007683e-07,-4.5404725751964878e-10,-9.8222670033511363e-20
22,28.001515537300868,2.5457099000857957,1121,3587,1.0068751492659378,8.5801998284142108e-07,-4.6168571769652186e-10,-1.4129024221639102e-19
23,28.001654494342759,2.5455186394021458,1137,3651,1.0990980039422569,8.9627211957174774e-07,-4.3988912105088171e-10,-1.0053257189406569e-19
24,28.001799414841468,2.5453276160585538,1153,3715,1.1952682300544133,9.3447678829024461e-07,-4.3494173653492971e-10,-1.017563856103379e-19
25,28.001950285599612,2.5451368247179018,1169,3779,1.2953764357437938,9.7263505642049375e-07,-4.3579991638155977e-10,-5.1116802100147819e-20
26,28.002107093709064,2.5449462603669457,1185,3843,1.3994134363587984,1.0107479266114707e-06,-3.8596099779915868e-10,8.2946182158608407e-21
27,28.002269826533947,2.5447559182848258,1201,3907,1.5073702420921415,1.0488163430358338e-06,-3.7401756631229818e-10,1.9902030161511202e-20
28,28.002438471694798,2.5445657940156901,1217,3971,1.6192380467975014,1.0868411968628179e-06,-3.0621020936074347e-10,6.2560561531483392e-20
29,28.002613017054678,2.5443758833448036,1233,4035,1.7350082178347532,1.1248233310398174e-06,-2.6423614277717131e-10,1.781298552450853e-20
30,28.002793450705884,2.5441861822775484,1249,4099,1.8546722868156813,1.16276354449104e-06,-2.1580489418228896e-10,-5.6305538061631037e-21
31,28.002979760958542,2.5439966870208957,1265,4163,1.9782219411414472,1.2006625958215446e-06,-2.6977780712679997e-10,1.0737450585791856e-21
32,28.003171936329647,2.5438073939670112,1281,4227,2.1056490162418311,1.238521206599143e-06,-2.6413093006362984e-10,6.0175386235186736e-20
33,28.003369965470224,2.5436182996629793,1285,4243,2.2369454503799608,1.2763400674039457e-06,-3.1862699744457898e-10,1.5540041835229128e-19
34,28.003573837346597,2.5434294008461378,1289,4259,2.372103393560153,1.3141198307731793e-06,-3.4614150200819835e-10,1.585205436228413e-19
35,28.003783541038604,2.5432406943824919,1293,4275,2.5111150844925252,1.3518611235020526e-06,-3.8759113739885406e-10,1.4252948802096617e-19
36,28.003999065797874,2.5430521772734536,1297,4291,2.6539728844994008,1.3895645453095118e-06,-3.8820314784117868e-10,1.6339594615322885e-19
37,28.004220401040072,2.542863846646334,1301,4307,2.8006692722461142,1.4272306707338847e-06,-3.9868483974449773e-10,1.758417056497017e-19
38,28.004447536337729,2.5426756997457622,1305,4323,2.9511968388551906,1.4648600508478e-06,-4.0703454261805347e-10,1.4839088984151693e-19
39,28.004680461414175,2.5424877339259329,1309,4339,3.1055482833517511,1.5024532148139289e-06,-4.2927852011133935e-10,1.7472501182275511e-19
40,28.004919166137885,2.5422999466435052,1313,4355,3.2637164084077512,1.5400106713000544e-06,-4.0907924036250562e-10,1.5493057976436116e-19
41,28.005163640516187,2.5421123354511561,1317,4371,3.4256941163586556,1.5775329097694127e-06,-4.1072124633813842e-10,6.4589221983769692e-20
42,28.005413874690852,2.5419248979917026,1321,4387,3.591474405466847,1.6150204016600964e-06,-4.142939856647456e-10,6.201503591750467e-20
43,28.005669858932503,2.5417376319926777,1325,4403,3.7610503664127908,1.6524736014654867e-06,-3.9106566362114534e-10,7.4973647393760402e-20
44,28.005931583636311,2.5415505352613694,1329,4419,3.9344151789942674,1.6898929477261461e-06,-4.1144871303613015e-10,1.3676255281130839e-20
45,28.006199039318052,2.5413636056802891,1333,4435,4.1115621090164183,1.7272788639422882e-06,-3.7128967027823776e-10,9.2868872765732602e-20
46,28.006472216608987,2.5411768412029279,1337,4451,4.2924845053576348,1.7646317594148165e-06,-4.1627364515663642e-10,8.4977569721976718e-20
47,28.006751106253294,2.5409902398498954,1341,4467,4.4771757971983934,1.8019520300219667e-06,-3.5121703228204423e-10,1.2989844006728144e-19
48,28.007035699103252,2.540803799705317,1345,4483,4.6656294913997929,1.8392400589377554e-06,-2.7800564394144486e-10,1.3464645678333582e-19
49,28.007325986116058,2.5406175189135118,1349,4499,4.8578391700208741,1.876496217297725e-06,-3.344640790906763e-10,1.426188235271219e-19
50,28.007621958351574,2.540431395675919,1353,4515,5.0537984879653468,1.9137208648168522e-06,-2.7538705803777616e-10,1.6266306413050687e-19
51,28.007923606967466,2.5402454282481823,1357,4531,5.2535011707470325,1.9509143503639535e-06,-2.350668178356021e-10,2.5015064879779039e-19
52,28.00823092321771,2.5400596149375247,1361,4547,5.4569410123673441,1.9880770124964449e-06,-2.1258219256283481e-10,2.1621804570964009e-19
53,28.008543898448814,2.5398739541002109,1365,4563,5.6641118732969131,2.0252091799589053e-06,-2.1911391911135467e-10,2.6651062695286417e-19
54,28.00886252409796,2.5396884441392551,1369,4579,5.8750076785533105,2.0623111721485408e-06,-1.7314002775083678e-10,1.6198146730576317e-19
55,28.009186791689547,2.539503083502253,1373,4595,6.0896224158684689,2.0993832995503138e-06,-1.5023887455480575e-10,2.0920189975396531e-19
56,28.009516692833522,2.5393178706792807,1377,4611,6.3079501339417146,2.136425864144236e-06,-2.0164639862576236e-10,2.6573307717706433e-19
57,28.009852219222566,2.5391328042010728,1381,4627,6.5299849407724686,2.1734391597870741e-06,-1.9299240443783858e-10,3.324964787774443e-19
58,28.010193362630329,2.5389478826371481,1385,4643,6.7557210020656164,2.2104234725704988e-06,-1.7453960959014878e-10,3.7197284633092499e-19
59,28.01054011490854,2.5387631045942163,1389,4659,6.9851525397080367,2.2473790811575127e-06,-2.1457904663381952e-10,4.4564155168489763e-19
60,28.010892467986096,2.5385784687145128,1393,4675,7.2182738303097347,2.2843062570988204e-06,-1.107931153957655e-10,4.7820434367866012e-19
61,28.011251280721631,2.5383939737532999,1397,4691,7.4556389535593439,2.3212052493401805e-06,-6.9065924248953498e-11,5.5163482101621749e-19
62,28.011617383219225,2.5382096184957486,1401,4707,7.6977910058159438,2.3580763008515797e-06,-6.5733513512708148e-11,6.8652150914401461e-19
63,28.01199074316175,2.5380254016784778,1405,4723,7.9447135625608132,2.3949196643058389e-06,-6.2636442302107715e-11,7.2105629971810352e-19
64,28.012371336760573,2.5378413220685418,1409,4739,8.196393115899733,2.4317355862929612e-06,-1.4180126952997503e-11,7.3234566071822724e-19
65,28.012759143821334,2.5376573784620815,1413,4755,8.4528175441592719,2.4685243075843265e-06,8.3694081784638579e-11,7.2722044964284868e-19
66,28.013154146254422,2.5374735696831761,1417,4771,8.7139756081523068,2.5052860633664903e-06,1.1694172253627102e-10,7.6209603862930943e-19
67,28.013556327386571,2.5372898945827176,1421,4787,8.9798567018639908,2.5420210834583354e-06,2.2507546061110475e-10,8.0042593385379163e-19
68,28.013965671577449,2.5371063520374308,1425,4803,9.2504507064374195,2.5787295925150724e-06,3.0157236664294687e-10,8.8791186415985005e-19
69,28.014382163984532,2.5369229409489042,1429,4819,9.5257478956210235,2.6154118102207976e-06,3.3463310134838367e-10,8.7300276079919428e-19
70,28.01480579040615,2.5367396602426533,1433,4835,9.8057388702254222,2.6520679514707177e-06,4.9182383400090715e-10,8.850034971261136e-19
71,28.015236537169855,2.536556508867287,1437,4851,10.090414510381153,2.6886982265439014e-06,5.066400100647104e-10,8.3787074582284208e-19
72,28.015674391053757,2.5363734857936686,1441,4867,10.379765939417506,2.7253028412672601e-06,4.9461859842079606e-10,8.5913094192668e-19
73,28.016119339223856,2.536190590014149,1445,4883,10.673784495700721,2.7618819971713772e-06,6.062631670108263e-10,9.121333668566278e-19
74,28.016571369186615,2.5360078205418173,1449,4899,10.972461710136695,2.7984358916387217e-06,6.8438852041961298e-10,9.7081355951113959e-19
75,28.017030468751173,2.5358251764097832,1453,4915,11.275789287829973,2.8349647180447467e-06,7.1702498339618928e-10,9.8433465380393138e-19
