time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
0,27.999999999999982,2.5499999999999963,0,0,0,0,0,0
1,28.000003262410665,2.5497991837869147,1025,3075,0.0021740428895773312,4.0163242616238464e-08,-3.2556583583243228e-11,5.4995904356806456e-20
2,28.000012989947773,2.5495996945704698,2049,6147,0.0086534457798577158,8.0061085905971322e-08,-4.2599495976851791e-10,2.1652443211606002e-19
3,28.000029124647828,2.5494010634034714,2305,6915,0.019396745104542611,1.1978731930639104e-07,-4.9781256693438721e-10,4.6565729979358927e-19
4,28.000051623562356,2.5492031229775423,2561,7683,0.034373236806361264,1.5937540449307545e-07,-1.2695641077943872e-10,7.2337824093397961e-19
5,28.000080450835743,2.5490057766071073,2817,8451,0.053557299212008448,1.9884467857886105e-07,-2.7145118356073689e-11,9.7664584845153759e-19
6,28.000115575056768,2.5488089590619261,3073,9219,0.07692649389269697,2.3820818761728773e-07,-1.5189852748369438e-10,1.0408006584420492e-18
7,28.000156967944289,2.548612622458434,3329,9987,0.10446062471536753,2.7747550831338682e-07,1.2395157875628988e-11,1.2770437515799236e-18
8,28.000204603576776,2.5484167296988915,3585,10755,0.13614118717590976,3.1665406022294286e-07,-4.4901946423813456e-10,1.6021745101200099e-18
9,28.000258457898962,2.5482212509381905,3649,11011,0.17195101217499961,3.5574981236303663e-07,-6.9197416248146239e-10,1.9988408044612654e-18
10,28.000318508377418,2.5480261614888948,3713,11267,0.21187402090640081,3.947677022228016e-07,-4.9877312452271812e-10,2.2030933077941109e-18
11,28.000384733748252,2.5478314404852491,3777,11523,0.25589504533130414,4.3371190295193973e-07,-1.6173782641497188e-10,2.5348882727886249e-18
12,28.000457113833328,2.5476370699882955,3841,11779,0.30399969400875526,4.7258600234270511e-07,1.4225204169362458e-10,2.75567115348273e-18
13,28.000535629391994,2.5474430343592922,3905,12035,0.35617424776604278,5.1139312814330553e-07,2.0121694908615538e-10,3.1715840795217162e-18
14,28.000620262007942,2.5472493198063444,3969,12291,0.41240557683092932,5.5013603873315911e-07,4.6091926939034881e-10,3.6657842738648649e-18
15,28.000710993993113,2.5470559140471094,4033,12547,0.47268107370437024,5.8881719058140106e-07,9.4486095082360748e-10,4.2995547563616624e-18
16,28.000807808310991,2.5468628060519247,4097,12803,0.53698859788313924,6.2743878961724891e-07,1.1928486540042304e-09,4.6837454093068166e-18
17,28.000910688513184,2.5466699858443449,4161,13059,0.60531642968838062,6.6600283113441222e-07,1.141607437005554e-09,4.6998332450403604e-18
18,28.001019618685007,2.546477444343394,4225,13315,0.67765323123090859,7.0451113132493171e-07,1.0148320018037948e-09,5.0808367710853477e-18
19,28.001134583398425,2.5462851732371483,4289,13571,0.75398801305768137,7.4296535257368188e-07,1.2627771835509949e-09,5.5917043445787101e-18
20,28.001255567670281,2.5460931648799403,4353,13827,0.83431010538399275,7.8136702401669191e-07,1.2402820543107401e-09,6.091489145429934e-18
21,28.001382556930309,2.5459014122077894,4417,14083,0.91860913307275882,8.1971755844610919e-07,1.0058490218623012e-09,6.5315658783179723e-18
22,28.001515536988261,2.5457099086682446,4481,14339,1.0068749937162595,8.5801826635654927e-07,8.469746099720815e-10,6.7952371431947629e-18
23,28.001654494008918,2.5455186481613947,4545,14595,1.0990978382992942,8.9627036772592267e-07,8.437752765957318e-10,7.2400689238340623e-18
24,28.001799414486303,2.5453276249901258,4609,14851,1.1952680540437428,9.3447500198000819e-07,9.464552775992424e-10,7.4260389778706842e-18
25,28.001950285221717,2.5451368338176041,4673,15107,1.2953762491039471,9.7263323648571101e-07,7.4276375106285262e-10,7.5422198036262072e-18
26,28.00210709330862,2.5449462696308309,4737,15363,1.3994132388390625,1.0107460738410947e-06,8.3581660099350251e-10,8.034651589217294e-18
27,28.00226982610998,2.5447559277091747,4801,15619,1.5073700334516813,1.0488144581728754e-06,7.8317762990353644e-10,8.3355004867252804e-18
28,28.002438471247189,2.5445658035969996,4865,15875,1.6192378268054586,1.0868392806086617e-06,8.7371433954327447e-10,8.7604385736326795e-18
29,28.002613016582796,2.5443758930797382,4929,16131,1.7350079862688443,1.1248213840579818e-06,8.6016593235546111e-10,8.9115350032367955e-18
30,28.002793450208319,2.5441861921629796,4993,16387,1.8546720434608397,1.1627615674104835e-06,2.9456255246849415e-10,9.0824670171347799e-18
31,28.002979760435593,2.5439966970538488,5057,16643,1.9782216857900652,1.2006605892395679e-06,1.0565800117879607e-10,9.403574498422379e-18
32,28.003171935780816,2.5438074041446246,5121,16873,2.1056487486927074,1.2385191710839715e-06,-4.6094184725362102e-11,9.6077655835947424e-18
33,28.003369964954121,2.5436183099972332,5137,16937,2.2369452061171908,1.2763380005627638e-06,6.2635309432826342e-11,1.043125738420609e-17
34,28.003573836860522,2.543429411333157,5153,17001,2.3721031711535066,1.3141177333785412e-06,2.5130705953100572e-10,1.0974436286786999e-17
35,28.003783540580173,2.5432407050186687,5169,17068,2.5111148826376541,1.3518589962765538e-06,2.9283557453283758e-10,1.1264686519106343e-17
36,28.00399906536466,2.5430521880553996,5185,17133,2.6539727019800394,1.3895623889308616e-06,6.8405046551459054e-11,1.2037061452994057e-17
37,28.004220400630626,2.5428638575708598,5201,17198,2.800669107921141,1.4272284858393336e-06,1.4124504620836307e-10,1.2401486625202257e-17
38,28.004447535949684,2.542675710809867,5217,17264,2.9511966916499963,1.4648578380379991e-06,7.0870520556967615e-11,1.2874694319767305e-17
39,28.004680461046153,2.5424877451267789,5233,17329,3.1055481522504684,1.5024509746563053e-06,2.025296399275983e-10,1.3449514535139592e-17
40,28.004919165788024,2.5422999579784062,5249,17394,3.2637162924488097,1.5400084043317812e-06,7.0278773419565883e-11,1.4143469438234829e-17
41,28.005163640182822,2.5421123469175568,5265,17460,3.4256940146303743,1.5775306165000239e-06,8.7670163830691467e-11,1.4266351254132644e-17
42,28.005413874372209,2.5419249095872023,5281,17526,3.5914743171021986,1.6150180825738023e-06,-1.6196251875002234e-10,1.4857902851755042e-17
43,28.005669858627215,2.5417376437149439,5297,17590,3.7610502905862075,1.6524712570232304e-06,-2.9465858989509987e-10,1.5241432587390766e-17
44,28.005931583342804,2.5415505471082342,5313,17654,3.9344151149198292,1.6898905783674389e-06,-6.4999159076552794e-10,1.592262740235676e-17
45,28.006199039035078,2.541363617649651,5329,17720,4.1115620559423594,1.7272764700868492e-06,-7.8134054851754788e-10,1.6166059212005603e-17
46,28.00647221633497,2.5411768532927499,5345,17784,4.2924844625672129,1.7646293414640445e-06,-1.3032434912553431e-09,1.7076866543716823e-17
47,28.006751105987405,2.5409902520582843,5361,17849,4.4771757640042384,1.8019495883602619e-06,-1.5514614443913527e-09,1.789190331769696e-17
48,28.007035698843854,2.5408038120304131,5377,17913,4.6656294671446465,1.8392375939337147e-06,-1.8356560358624624e-09,1.8175846297845587e-17
49,28.007325985861911,2.5406175313535573,5393,17980,4.8578391540734351,1.8764937293052234e-06,-2.5156652098325044e-09,1.8697544147099107e-17
50,28.007621958102188,2.5404314082292054,5409,18044,5.0537984797196911,1.9137183541760214e-06,-2.5850425904090563e-09,1.9346987634252253e-17
51,28.007923606722343,2.540245440913083,5425,18110,5.2535011696207903,1.9509118174020749e-06,-2.396264685642488e-09,1.991369817089907e-17
52,28.008230922975027,2.5400596277124468,5441,18174,5.456941017800311,1.9880744575287591e-06,-2.6534372362586795e-09,2.0255442464301372e-17
53,28.008543898207432,2.5398739669836523,5457,18239,5.6641118847512111,2.0252066032893566e-06,-3.1294361536239518e-09,2.1180892960806312e-17
54,28.008862523857012,2.5396884571297451,5473,18305,5.8750076955097255,2.062308574070455e-06,-3.4422906546101223e-09,2.1732779593695566e-17
55,28.009186791447721,2.5395030965983696,5489,18372,6.0896224378254313,2.0993806803470201e-06,-4.1172680966046395e-09,2.2141919668276545e-17
56,28.00951669259026,2.5393178838796691,5505,18439,6.3079501604151496,2.1364232240896444e-06,-4.4983120377962895e-09,2.2684195289628546e-17
57,28.009852218977016,2.539132817504385,5521,18506,6.5299849712952369,2.1734364991461989e-06,-5.0511352069827677e-09,2.3220372935504806e-17
58,28.010193362381571,2.538947896042115,5537,18572,6.7557210361875626,2.2104207915999468e-06,-5.5461599365237614e-09,2.3820756340527432e-17
59,28.010540114656397,2.5387631180995838,5553,18638,6.9851525769933716,2.2473763801059314e-06,-5.621023446012582e-09,2.4266670797190986e-17
