time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28.000000000000238,28.000000000000302,27.99999999999995,28.00000000000021,28.000000000000043,27.999999999999254,27.999999999999542,28.000000000000327,27.999999999999993,27.999999999999979,27.999999999999897,27.999999999999808,28.000000000000419,28,27.999999999999691,27.99999999999989,27.999999999999584,28.000000000000288,28.000000001252928,28.000001417442039,28.000129668368992,2.5499999999999994,2.5499999999999887,2.5499999999999949,2.5499999999999909,2.5500000000000038,2.5499999999999963,2.550000000000006,2.5500000000000096,2.5499999999999869,2.5499999999999976,2.5499999999999914,2.5499999999999989,2.5499999999999945,2.5500000000000012,2.550000000000006,2.549999999999998,2.549999999999998,2.5499999999999949,2.549999999999994,2.5499999999999958,2.5198060283218817
2,28.000000000000174,28.000000000000199,27.999999999999954,28.000000000000586,28.000000000000046,27.999999999999378,27.999999999999407,28.000000000000096,27.999999999999979,28,27.99999999999952,27.999999999999844,28.000000000000426,28.000000000000004,27.999999999999325,27.99999999999995,27.999999999999812,28.000000001273698,28.000000308907897,28.000019151444945,28.000365900553991,2.5499999999999976,2.5499999999999856,2.5499999999999945,2.5499999999999892,2.5500000000000047,2.5499999999999918,2.550000000000006,2.5500000000000109,2.5499999999999914,2.5499999999999949,2.5499999999999861,2.5499999999999927,2.5499999999999949,2.5499999999999972,2.5500000000000074,2.5499999999999998,2.5499999999999945,2.5499999999999918,2.5499999999999954,2.5499999999997667,2.5074242205440616
3,28.00000000000103,27.999999999999741,27.999999999999741,28.000000000002093,28.000000000000252,27.999999999999194,27.999999999999464,27.999999999999464,28.000000000000032,28.000000000000256,27.999999999999531,28.000000000001634,27.999999999998977,27.999999999997705,27.999999999999275,28.000000000002874,28.000000000433275,28.000000058303741,28.000003026223602,28.00006580736547,28.000670999926857,2.550000000000006,2.5499999999999909,2.5499999999999869,2.5500000000000034,2.5500000000000127,2.5499999999999914,2.5499999999999816,2.5500000000000105,2.5499999999999914,2.5499999999999914,2.5499999999999878,2.5499999999999901,2.5500000000000003,2.550000000000002,2.5500000000000083,2.5500000000000167,2.5500000000000025,2.5500000000000087,2.5500000000000052,2.5499999993589073,2.4979728573549465
4,28.000000000003912,28.000000000000064,27.999999999999996,28.000000000002789,27.999999999998455,27.999999999999009,28.000000000000448,27.999999999999403,28.00000000000032,28.000000000000899,27.999999999999989,28.000000000001535,27.999999999998369,27.999999999997765,27.999999999999041,28.000000000113424,28.000000010609167,28.000000495605729,28.000011608160243,28.000144413959205,28.001031517687171,2.5499999999999878,2.5499999999999821,2.5499999999999727,2.5500000000000065,2.5500000000000229,2.5499999999999918,2.5499999999999954,2.5500000000000083,2.5499999999999901,2.5499999999999874,2.5499999999999869,2.5499999999999887,2.5499999999999954,2.5500000000000007,2.5500000000000149,2.5500000000000198,2.550000000000006,2.5500000000000203,2.5500000000000185,2.5499999615313098,2.4900382411790254
5,28.000000000001332,28.000000000000192,27.999999999999709,28.00000000000275,27.999999999999073,27.999999999998604,28.000000000000448,28.000000000003308,28.000000000000988,28.000000000000838,28.00000000000054,28.000000000001673,27.999999999998426,27.99999999999914,28.00000000001851,28.000000001915023,28.000000083036813,28.000002038968784,28.000029197024663,28.000255006829136,28.001439682761369,2.549999999999979,2.549999999999979,2.5499999999999532,2.5500000000000007,2.5500000000000211,2.5499999999999829,2.5499999999999958,2.5500000000000145,2.5499999999999892,2.5499999999999896,2.5499999999999892,2.5499999999999932,2.5499999999999972,2.549999999999998,2.5500000000000185,2.5500000000000149,2.5499999999999998,2.5500000000000256,2.5500000000000291,2.549999520461073,2.4830728231225301
6,28.000000000001297,27.999999999999861,28.00000000000016,28.000000000002572,27.999999999998614,27.999999999998646,27.999999999999858,28.000000000002274,28.000000000001094,28.000000000000586,28.000000000000348,28.000000000001624,27.99999999999827,28.000000000000814,28.0000000003396,28.000000014147044,28.000000358561511,28.000005691997604,28.000058167295958,28.000396737972341,28.001890252895663,2.5499999999999385,2.549999999999975,2.5499999999999465,2.5500000000000105,2.5500000000000256,2.5499999999999812,2.5499999999999936,2.5500000000000136,2.5499999999999887,2.5499999999999807,2.5499999999999901,2.5499999999999892,2.5499999999999901,2.549999999999994,2.5500000000000234,2.5500000000000154,2.5500000000000012,2.5500000000000336,2.5500000000000389,2.549997309201042,2.4767958016584291
7,28.000000000000949,27.999999999999105,27.999999999999574,28.000000000002537,27.999999999998067,27.999999999998082,27.999999999999929,28.000000000000789,28.000000000000433,28.000000000000373,28.00000000000151,28.000000000001588,27.999999999999329,28.000000000055262,28.000000002436916,28.000000063270896,28.000001085828895,28.000012558117948,28.000100211704094,28.000568510091824,28.002379380385509,2.5499999999999399,2.5499999999999763,2.549999999999931,2.549999999999998,2.5500000000000207,2.5499999999999905,2.5499999999999958,2.5500000000000109,2.5499999999999816,2.5499999999999816,2.5499999999999856,2.5499999999999896,2.5499999999999985,2.5499999999999909,2.5500000000000305,2.5500000000000203,2.5500000000000038,2.5500000000000349,2.5500000000000274,2.5499904974670273,2.4710403756183874
8,28.000000000001492,27.999999999999272,27.999999999999233,28.000000000002565,27.999999999997218,27.999999999997545,28.000000000000384,28.000000000002604,28.000000000001389,27.999999999999378,28.000000000000824,28.000000000001531,28.000000000004331,28.000000000418517,28.00000001120652,28.000000204438422,28.000002610519115,28.000023719451473,28.000156510096886,28.000769192781902,28.002904084605039,2.5499999999999337,2.5499999999999767,2.5499999999999288,2.5499999999999892,2.5500000000000207,2.5499999999999874,2.550000000000006,2.550000000000002,2.5499999999999745,2.5499999999999754,2.5499999999999883,2.5499999999999972,2.5500000000000038,2.5499999999999927,2.5500000000000296,2.5500000000000118,2.5500000000000012,2.5500000000000411,2.549999999999593,2.5499749809484502,2.4656978695876566
9,28.000000000000899,28.000000000000256,27.999999999999979,27.999999999998323,28.000000000000174,27.999999999996561,28.000000000001108,27.9999999999952,27.999999999999439,27.999999999997957,28.000000000002316,28.00000000000248,28.000000000069019,28.000000001993438,28.000000038187064,28.000000528514224,28.000005349620373,28.000040174816359,28.000227872623451,28.000997699924707,28.003461967960028,2.5499999999999452,2.5499999999999661,2.5499999999999234,2.5500000000000029,2.5500000000000269,2.5500000000000047,2.5500000000000163,2.5500000000000185,2.5499999999999865,2.5499999999999829,2.5499999999999847,2.5499999999999932,2.5500000000000074,2.5499999999999994,2.5500000000000278,2.5500000000000203,2.5499999999999807,2.5500000000000331,2.5499999999937035,2.5499459891997023,2.4606927996576102
