time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
0,27.999999999999993,2.5499999999999994,0,0,0,0,0,0
1,28,2.5499999999999994,2,2,2.6645352591003757e-15,-1.4210854715202005e-23,4.7818433645239258e-13,8.0659923185066326e-21
2,27.999999999999993,2.5499999999999994,3,3,2.6645352591003757e-15,-3.552713678800501e-23,1.3953167250725838e-13,9.7361008144501861e-21
3,28,2.5500000000000003,4,4,2.6645352591003757e-15,-6.3948846218409025e-23,6.8250438212542575e-13,1.1667222743483187e-20
4,28.000000000000004,2.5500000000000003,5,5,6.2172489379008766e-15,-9.2370555648813028e-23,1.0646673971992483e-12,1.9485857372103389e-20
5,28,2.5499999999999994,6,6,1.1546319456101628e-14,-1.2789769243681805e-22,1.7664838293941811e-12,1.6684209569461813e-20
6,28,2.5499999999999994,7,7,2.2204460492503131e-14,-1.7053025658242407e-22,1.4873973961298021e-12,6.7517103019553357e-21
7,27.999999999999993,2.5499999999999994,8,8,3.9968028886505635e-14,-2.1316282072803008e-22,1.0433561938517385e-12,1.532496352041318e-20
8,27.999999999999993,2.5499999999999994,9,9,6.1284310959308641e-14,-2.557953848736361e-22,2.08669310304287e-13,1.5166867761706578e-20
9,27.999999999999993,2.5500000000000003,10,10,8.6153306710912148e-14,-3.0553337637684314e-22,-3.5936491232241224e-13,2.4372504014990971e-20
10,27.999999999999993,2.5499999999999994,11,11,1.1635137298071641e-13,-3.5527136788005017e-22,-3.2443865724651702e-12,3.0980218390652501e-20
11,27.999999999999993,2.5500000000000003,12,12,1.5187850976872141e-13,-4.0500935938325721e-22,-4.3816603525768671e-12,2.7959523585252378e-20
12,27.999999999999993,2.5500000000000003,13,13,1.8740564655672642e-13,-4.5474735088646424e-22,-4.3229873146510787e-12,3.2582159192884097e-20
13,27.999999999999993,2.5500000000000003,14,14,2.2470914018413168e-13,-5.0448534238967123e-22,-3.9357606387264865e-12,3.358491262872554e-20
14,27.999999999999993,2.5500000000000003,15,15,2.6201263381153694e-13,-5.5422333389287822e-22,-3.5619953617666512e-12,3.5591862790340444e-20
15,27.999999999999993,2.5500000000000003,16,16,3.0109248427834245e-13,-6.0396132539608521e-22,-2.4853340452335371e-12,3.6696756744447397e-20
16,28.000000000000004,2.5500000000000003,17,17,3.4372504842394846e-13,-6.5369931689929219e-22,-2.3427946262599372e-12,3.6416647475334459e-20
17,28,2.5499999999999994,18,18,3.8635761256955448e-13,-7.0343730840249918e-22,-1.7665878725404415e-12,3.7792435847449973e-20
18,28.000000000000004,2.5499999999999994,19,19,4.2899017671516049e-13,-7.6028072726330724e-22,-1.2331051408378081e-12,3.5884295535026717e-20
19,28,2.5499999999999994,20,20,4.7339909770016675e-13,-8.1712414612411529e-22,-4.4392914837137338e-13,3.6952108040111238e-20
20,28.000000000000007,2.5499999999999994,21,21,5.1780801868517301e-13,-8.8107299234252422e-22,7.1770850015960711e-13,3.5734082359794981e-20
21,28,2.5499999999999994,22,22,5.6221693967017927e-13,-9.4502183856093315e-22,6.5871269470783786e-13,3.7499781058158784e-20
22,28.000000000000007,2.5499999999999994,23,23,6.0662586065518553e-13,-1.0089706847793421e-21,1.5729656680943604e-12,3.3181457581576827e-20
23,28.000000000000004,2.5499999999999994,24,24,6.4925842480079154e-13,-1.072919530997751e-21,2.8159929637117676e-12,3.4747316135508163e-20
24,28.000000000000004,2.5499999999999994,25,25,6.8833827526759706e-13,-1.1439738045737611e-21,3.2496614511459797e-12,3.6879499454300777e-20
25,27.999999999999993,2.5499999999999989,26,26,7.2386541205560206e-13,-1.2150280781497712e-21,2.5579318396302866e-12,3.3416158728982549e-20
26,28.000000000000004,2.5499999999999989,27,27,7.5583983516480657e-13,-1.2931877790833823e-21,3.349738758889275e-12,3.4750202715372114e-20
27,28,2.5499999999999989,28,28,7.8426154459521058e-13,-1.3713474800169933e-21,4.2668729613399592e-12,3.4818592453689017e-20
28,28,2.5499999999999989,29,29,8.1090689718621434e-13,-1.4495071809506044e-21,4.6210563609797144e-12,3.4069858045881806e-20
29,28.000000000000004,2.5499999999999989,30,30,8.3399953609841759e-13,-1.5276668818842154e-21,5.7042567344585028e-12,3.1784574971993387e-20
30,28.000000000000004,2.5499999999999989,31,31,8.553158181712206e-13,-1.6058265828178265e-21,6.0882188962455204e-12,3.3735902960074537e-20
31,28.000000000000007,2.5499999999999994,32,32,8.766321002440236e-13,-1.6839862837514376e-21,7.5519511160276222e-12,3.6788572188583923e-20
32,28.000000000000007,2.5499999999999989,33,33,8.9617202547742636e-13,-1.7621459846850484e-21,7.7607958935824709e-12,3.8122616174973523e-20
33,28.000000000000007,2.5499999999999989,34,34,9.1393559387142886e-13,-1.8403056856186593e-21,7.3796782162783018e-12,3.831979178414692e-20
34,28.000000000000007,2.5499999999999994,35,35,9.2992280542603112e-13,-1.9184653865522702e-21,5.5375315416429678e-12,4.1905368064476382e-20
35,28.000000000000004,2.5499999999999994,36,36,9.4413366014123312e-13,-1.9895196601282803e-21,7.6392334306955019e-12,3.9480085867182668e-20
36,28.000000000000014,2.5499999999999994,37,37,9.5834451485643513e-13,-2.0605739337042904e-21,8.537954217323022e-12,3.8777869804107268e-20
37,28.000000000000007,2.5499999999999994,38,38,9.7077901273223688e-13,-2.1245227799226993e-21,8.8866228573533901e-12,3.8909320210222856e-20
38,28.000000000000011,2.5499999999999994,39,39,9.8321351060803863e-13,-2.1884716261411082e-21,8.1664356869541565e-12,2.9785951483063158e-20
39,28.000000000000007,2.5499999999999994,40,40,1.0009770790020411e-12,-2.2524204723595172e-21,8.4816677369557471e-12,2.8749447267273078e-20
40,28.000000000000007,2.5499999999999994,41,41,1.0240697179142444e-12,-2.3234747459355273e-21,8.4915103579969211e-12,2.3398727400092183e-20
41,28.000000000000007,2.5499999999999989,42,42,1.0489387136658479e-12,-2.3945290195115373e-21,7.7501513680615945e-12,2.2231327889698891e-20
42,28.000000000000007,2.5499999999999989,43,43,1.0702549957386509e-12,-2.4726887204451482e-21,6.1555692534044308e-12,2.8374858018764592e-20
43,28.000000000000004,2.5499999999999989,44,44,1.0915712778114539e-12,-2.5508484213787591e-21,6.3360554836449213e-12,2.4197754910914868e-20
44,28.000000000000007,2.5499999999999989,45,45,1.1128875598842569e-12,-2.62900812231237e-21,7.740655287512509e-12,2.3693269568525229e-20
45,28.000000000000007,2.5499999999999989,46,46,1.1342038419570599e-12,-2.7071678232459808e-21,7.9263098656503633e-12,2.332645188118904e-20
46,28.000000000000007,2.5499999999999989,47,47,1.1537437671904627e-12,-2.7853275241795917e-21,8.0731937045159323e-12,2.3057333820019902e-20
47,28.000000000000007,2.5499999999999989,48,48,1.1697309787450649e-12,-2.8634872251132026e-21,8.6039258845795966e-12,2.3245627644996287e-20
48,28.000000000000011,2.5499999999999989,49,49,1.1839418334602669e-12,-2.9416469260468135e-21,9.7501498185096827e-12,2.5121460467402981e-20
49,28.000000000000011,2.5499999999999994,50,50,1.1981526881754689e-12,-3.0127011996228236e-21,9.1239117950204594e-12,3.1395885891072078e-20
50,28.000000000000007,2.5499999999999994,51,51,1.2141398997300712e-12,-3.0837554731988336e-21,9.1187351678930007e-12,3.5050184976625763e-20
51,28.000000000000011,2.5499999999999994,52,52,1.2319034681240737e-12,-3.1548097467748437e-21,9.6774571208413194e-12,3.9074188329379717e-20
52,28.000000000000007,2.5499999999999994,53,53,1.247890679678676e-12,-3.2258640203508538e-21,8.6022991977822631e-12,3.2013725004276022e-20
53,28.000000000000011,2.5499999999999994,54,54,1.262101534393878e-12,-3.2969182939268639e-21,7.0015092017155828e-12,3.1862179561414679e-20
54,28.000000000000004,2.5499999999999994,55,55,1.27631238910908e-12,-3.367972567502874e-21,6.9143194976072695e-12,2.3348434297076642e-20
