time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,27.999999999999993,28.000000000000014,28.000000000000018,27.999999999999972,28,28.000000000000004,28.000000000000004,28.000000000000018,28,28.000000000000018,28.000000000000011,28.000000000000014,28.000000000000007,28.000000000000028,28.000000000000004,27.999999999999979,27.999999999999986,27.999999999999982,27.999999999999996,27.999999999999996,28,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000007,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999994,2.5500000000000007,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5499999999999985
2,28.000000000000007,28.000000000000018,28.000000000000011,27.999999999999972,28,28.000000000000007,28.000000000000011,28.000000000000032,28.000000000000011,28.000000000000014,28.000000000000004,28.000000000000007,28.000000000000014,28.000000000000028,28,27.999999999999979,27.999999999999989,27.999999999999975,27.999999999999989,27.999999999999996,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999999985,2.5500000000000012,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5500000000000007,2.5500000000000007,2.5499999999999998,2.5499999999999994,2.5499999999999985
3,28.000000000000007,28.000000000000021,28.000000000000007,27.999999999999968,28,27.999999999999993,28.000000000000018,28.000000000000032,28.000000000000011,28.000000000000018,28.000000000000021,28.000000000000011,28.000000000000025,28.000000000000032,28.000000000000004,27.999999999999972,27.999999999999986,27.999999999999975,27.999999999999986,28.000000000000004,27.999999999999996,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999999985,2.5500000000000012,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5500000000000007,2.5500000000000012,2.5500000000000007,2.5499999999999998,2.5499999999999989,2.549999999999998
4,28.000000000000021,28.000000000000025,28.000000000000007,27.999999999999964,28,28.000000000000007,28.000000000000032,28.000000000000046,28.000000000000021,28.000000000000018,28.000000000000032,28.000000000000018,28.000000000000025,28.000000000000036,27.999999999999996,27.999999999999975,27.999999999999986,27.999999999999968,27.999999999999982,27.999999999999989,27.999999999999989,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999999985,2.5500000000000012,2.5500000000000007,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5500000000000012,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5500000000000016,2.5500000000000007,2.5499999999999998,2.5499999999999989,2.5499999999999976
5,28.000000000000018,28.000000000000028,28.000000000000007,27.999999999999968,28,28.000000000000004,28.000000000000032,28.000000000000057,28.000000000000021,28.000000000000021,28.000000000000028,28.000000000000025,28.000000000000032,28.000000000000036,27.999999999999996,27.999999999999975,27.999999999999982,27.999999999999972,27.999999999999982,28,27.999999999999989,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999999985,2.5500000000000012,2.5500000000000007,2.5500000000000007,2.5499999999999998,2.5499999999999994,2.5500000000000016,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.550000000000002,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5499999999999976
6,28.000000000000028,28.000000000000028,28.000000000000004,27.999999999999964,28,28.000000000000011,28.000000000000046,28.000000000000064,28.000000000000032,28.000000000000025,28.000000000000039,28.000000000000025,28.000000000000036,28.000000000000028,27.999999999999993,27.999999999999972,27.999999999999996,27.999999999999968,27.999999999999979,27.999999999999982,27.999999999999964,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5500000000000007,2.5499999999999998,2.5499999999999994,2.5500000000000016,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5500000000000025,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5499999999999972
7,28.000000000000025,28.000000000000032,28.000000000000007,27.999999999999968,28,28.000000000000021,28.000000000000053,28.000000000000071,28.000000000000039,28.000000000000032,28.000000000000043,28.000000000000028,28.000000000000036,28.000000000000032,27.999999999999989,27.999999999999968,27.999999999999979,27.999999999999968,27.999999999999979,27.999999999999972,27.999999999999964,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.5500000000000025,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5500000000000034,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5499999999999972
8,28.000000000000028,28.000000000000028,28.000000000000007,27.999999999999964,28,28.000000000000028,28.000000000000068,28.000000000000082,28.000000000000046,28.000000000000036,28.000000000000046,28.000000000000043,28.000000000000039,28.000000000000039,27.999999999999982,27.999999999999972,27.999999999999972,27.999999999999968,27.999999999999975,27.999999999999964,27.999999999999954,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.5500000000000007,2.5499999999999998,2.5499999999999998,2.550000000000002,2.5499999999999998,2.5499999999999994,2.5500000000000003,2.5499999999999998,2.5500000000000034,2.5500000000000003,2.5499999999999998,2.549999999999998,2.5499999999999967
9,28.000000000000028,28.000000000000036,28.000000000000004,27.999999999999968,28.000000000000004,28.000000000000025,28.000000000000068,28.000000000000085,28.000000000000053,28.000000000000036,28.000000000000053,28.000000000000039,28.000000000000039,28.00000000000005,27.999999999999986,27.999999999999964,27.999999999999947,27.999999999999961,27.999999999999972,27.999999999999957,27.999999999999947,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000007,2.5500000000000007,2.5500000000000007,2.5500000000000003,2.5499999999999998,2.5500000000000025,2.5499999999999998,2.5499999999999989,2.5500000000000003,2.5499999999999998,2.5500000000000038,2.5500000000000003,2.5499999999999998,2.5499999999999985,2.5499999999999967
