time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
0,28.156846936409334,1.1280868077065807,0,0,0,0,0,0
1,28.156749427046414,1.1280815235330297,33,66,-0.058505617744263383,1.0568347102401738e-09,-8.6996677223227792e-12,3.5062270079782046e-20
2,28.156651978292462,1.1280762395776189,65,130,-0.11697487009764496,2.1136257923663482e-09,-1.8060632850369629e-11,3.5144529314291324e-20
3,28.156554590123264,1.1280709558403164,97,194,-0.17540777161627258,3.1703732528677532e-09,-2.6938718616920099e-11,5.2693708846880794e-20
4,28.156457262500616,1.1280656723210876,129,258,-0.23380434519253313,4.227077098548821e-09,-3.6490371488340223e-11,7.8641815363043748e-20
5,28.156359995386609,1.1280603890199101,161,322,-0.29216461358038442,5.2837373340117984e-09,-4.6060863456709455e-11,9.3926310087782276e-20
6,28.156262788743465,1.1280551059367665,193,386,-0.35048859946439953,6.3403539629222209e-09,-5.6147177185383867e-11,1.1981292089528074e-19
7,28.156165642533431,1.1280498230716391,225,450,-0.40877632548461512,7.3969269884388455e-09,-6.6283648708642673e-11,1.5862119147010855e-19
8,28.156068556718804,1.1280445404245147,257,514,-0.46702781424807405,8.4534564134087611e-09,-7.5571760654868925e-11,1.7689653218294301e-19
9,28.155971531261947,1.1280392579953793,289,578,-0.5252430883350403,9.5099422404710111e-09,-8.4147092072051066e-11,1.8629902958234792e-19
10,28.155874566125341,1.1280339757842204,321,642,-0.58342217030270505,1.0566384472117474e-08,-9.4639421299724802e-11,1.9170350458734262e-19
11,28.155777661271351,1.128028693791028,353,706,-0.64156508268754608,1.1622783110731325e-08,-1.0414732444508079e-10,2.2360859752124595e-19
12,28.155680816662468,1.1280234120157888,385,770,-0.69967184800690063,1.2679138158612786e-08,-1.1373075398113386e-10,2.4583386136834037e-19
13,28.155584032261171,1.1280181304584913,417,834,-0.75774248876008232,1.3735449617997e-08,-1.2390399296846599e-10,2.526192691695526e-19
14,28.155487308030061,1.1280128491191264,449,898,-0.81577702742917146,1.4791717491066969e-08,-1.3313567782946567e-10,2.7703404132398366e-19
15,28.155390643931629,1.1280075679976811,481,962,-0.87377548647964298,1.5847941779963137e-08,-1.4342248395859958e-10,2.9255324208518558e-19
16,28.155294039928457,1.1280022870941477,513,1026,-0.9317378883608074,1.6904122486790622e-08,-1.5452013280015109e-10,2.9511911757123386e-19
17,28.155197495983202,1.1279970064085134,545,1090,-0.98966425550617609,1.7960259613624952e-08,-1.6478309168566074e-10,3.2619986040124274e-19
18,28.155101012058488,1.1279917259407701,577,1154,-1.047554610333751,1.901635316251642e-08,-1.7339056405940578e-10,3.3598432137319108e-19
19,28.155004588116938,1.1279864456909043,609,1218,-1.1054089752462457,2.0072403135493745e-08,-1.8397924329838222e-10,3.5715934372333018e-19
20,28.154908224121282,1.1279811656589096,641,1282,-1.1632273726312787,2.1128409534566907e-08,-1.9347710759898273e-10,3.7837163443747391e-19
21,28.154811920034213,1.1279758858447739,673,1346,-1.2210098248615291,2.2184372361729541e-08,-2.0253049411167456e-10,3.9287053376248581e-19
22,28.154715675818469,1.1279706062484876,705,1410,-1.2787563542948928,2.3240291618960901e-08,-2.121565301910211e-10,4.0587112465482861e-19
23,28.154619491436815,1.1279653268700418,737,1474,-1.3364669832745675,2.4296167308227545e-08,-2.214143608042507e-10,4.2741423591520527e-19
24,28.154523366852064,1.1279600477094247,769,1538,-1.3941417341291491,2.5351999431484689e-08,-2.3151279504585176e-10,4.4268231627466344e-19
25,28.154427302026949,1.1279547687666296,801,1602,-1.4517806291727262,2.6407787990677432e-08,-2.4260389183683451e-10,4.4825145192034449e-19
26,28.154331296924404,1.1279494900416447,833,1666,-1.5093836907049507,2.7463532987741773e-08,-2.53221884433108e-10,4.7550178628991026e-19
27,28.154235351507214,1.1279442115344596,865,1730,-1.5669509410110942,2.8519234424605467e-08,-2.6425088853199163e-10,4.9933897958162617e-19
28,28.154139465738282,1.1279389332450673,897,1794,-1.62448240236212,2.9574892303188843e-08,-2.7442305025604519e-10,5.2068246243339052e-19
29,28.154043639580483,1.1279336551734562,929,1858,-1.6819780970147253,3.063050662540542e-08,-2.8353026870764353e-10,5.3030555856240567e-19
30,28.153947872996831,1.127928377319618,961,1922,-1.7394380472113848,3.168607739316249e-08,-2.924598115766619e-10,5.4854650019398528e-19
31,28.15385216595018,1.1279230996835414,993,1986,-1.7968622751803884,3.2741604608361697e-08,-3.0121602954957805e-10,5.7405819138884409e-19
32,28.153756518403565,1.1279178222652193,1025,2050,-1.8542508031358889,3.3797088272899427e-08,-3.1003429511178293e-10,6.0728000076156699e-19
33,28.15366093031998,1.1279125450646399,1057,2114,-1.9116036532779301,3.4852528388667265e-08,-3.1991094842642731e-10,6.3167473317318925e-19
34,28.153565401662437,1.1279072680817963,1089,2178,-1.9689208477924725,3.5907924957552332e-08,-3.2954695743103724e-10,6.5453962089128883e-19
35,28.153469932394,1.1279019913166766,1121,2242,-2.0262024088514368,3.6963277981437644e-08,-3.4027173786976839e-10,6.6677492108300375e-19
36,28.153374522477716,1.1278967147692729,1153,2306,-2.0834483586127228,3.8018587462202323e-08,-3.493507098190074e-10,6.9385907615997733e-19
37,28.153279171876704,1.1278914384395746,1185,2370,-2.1406587192202329,3.9073853401721951e-08,-3.5876048833094476e-10,7.0315590123612859e-19
38,28.153183880554018,1.1278861623275753,1217,2434,-2.1978335128039053,4.0129075801868815e-08,-3.6949522955187497e-10,7.1671973103978611e-19
39,28.153088648472878,1.1278808864332617,1249,2498,-2.2549727614797281,4.1184254664512033e-08,-3.7868165547738641e-10,7.2755226862193035e-19
40,28.152993475596436,1.1278756107566266,1281,2562,-2.3120764873497492,4.2239389991517789e-08,-3.8830991026805872e-10,7.4558990476858092e-19
41,28.152898361887832,1.1278703352976605,1313,2626,-2.3691447125021239,4.3294481784749557e-08,-3.978713435104364e-10,7.7265968758241139e-19
42,28.15280330731029,1.1278650600563542,1345,2690,-2.4261774590111114,4.4349530046068262e-08,-4.0769902905080091e-10,8.0419403558082904e-19
43,28.152708311827077,1.1278597850326975,1377,2754,-2.4831747489370946,4.5404534777332326e-08,-4.1650121199166001e-10,8.3074899539857328e-19
44,28.152613375401415,1.1278545102266833,1409,2818,-2.5401366043266123,4.6459495980397962e-08,-4.2645911628447219e-10,8.4515945748387589e-19
45,28.152518497996567,1.1278492356382992,1441,2882,-2.5970630472123659,4.7514413657119168e-08,-4.344728847527346e-10,8.6012425336421121e-19
46,28.152423679575897,1.1278439612675379,1473,2946,-2.6539540996132325,4.8569287809347934e-08,-4.4489636974454072e-10,8.8406098621042051e-19
47,28.152328920102661,1.1278386871143902,1505,3010,-2.710809783534283,4.9624118438934273e-08,-4.5380556777663283e-10,9.0773114717953753e-19
48,28.152234219540265,1.1278334131788463,1537,3074,-2.7676301209667997,5.0678905547726357e-08,-4.6330950816304839e-10,9.2664183368864661e-19
49,28.152139577852026,1.1278281394608967,1569,3138,-2.8244151338882877,5.1733649137570687e-08,-4.7211222713346157e-10,9.3865164961525841e-19
50,28.152044995001411,1.1278228659605343,1601,3202,-2.8811648442624938,5.2788349210312052e-08,-4.8113546241741745e-10,9.6297536727882329e-19
51,28.151950470951771,1.1278175926777461,1633,3266,-2.9378792740394077,5.3843005767793663e-08,-4.908020216371628e-10,9.8533215284331363e-19
52,28.151856005666556,1.1278123196125254,1665,3330,-2.9945584451552842,5.4897618811857234e-08,-5.0029515361212085e-10,1.0053799412760446e-18
53,28.15176159910926,1.1278070467648642,1697,3394,-3.0512023795326648,5.5952188344343024e-08,-5.1068762283237867e-10,1.0210270060653713e-18
54,28.151667251243314,1.1278017741347501,1729,3458,-3.1078110990803709,5.7006714367089968e-08,-5.2033232627105019e-10,1.0440322042948752e-18
55,28.151572962032322,1.1277965017221763,1761,3522,-3.1643846256935344,5.806119688193565e-08,-5.2933791182784018e-10,1.0705977235901266e-18
56,28.151478731439667,1.1277912295271326,1793,3586,-3.2209229812535911,5.9115635890716452e-08,-5.3934770863871273e-10,1.0661898590515905e-18
57,28.151384559429019,1.1277859575496096,1825,3650,-3.2774261876283153,6.0170031395267497e-08,-5.4816369303954671e-10,1.0815289476967575e-18
58,28.151290445963959,1.1277806857895989,1857,3714,-3.3338942666718077,6.1224383397422809e-08,-5.5829730053434667e-10,1.1030239079981956e-18
59,28.151196391008018,1.1277754142470917,1889,3778,-3.390327240224519,6.2278691899015242e-08,-5.67257391883777e-10,1.119371090703169e-18
60,28.151102394524841,1.127770142922077,1921,3842,-3.4467251301132702,6.3332956901876638e-08,-5.7577278687014066e-10,1.1307404168040719e-18
61,28.15100845647811,1.1277648718145472,1953,3906,-3.5030879581512466,6.4387178407837831e-08,-5.8437096633022489e-10,1.1285857599423876e-18
62,28.150914576831426,1.1277596009244926,1985,3970,-3.5594157461380194,6.5441356418728624e-08,-5.932930325410618e-10,1.1569406841600928e-18
63,28.150820755548551,1.1277543302519049,2017,4034,-3.6157085158595459,6.6495490936377974e-08,-6.0236847779747416e-10,1.1823240201883381e-18
64,28.15072699259315,1.127749059796773,2049,4098,-3.6719662890881941,6.7549581962613791e-08,-6.1157756094630533e-10,1.2179944586576284e-18
65,28.150633287929001,1.1277437895590903,2081,4162,-3.7281890875827455,6.8603629499263269e-08,-6.2133476814128785e-10,1.2338017444541975e-18
66,28.150539641519789,1.127738519538845,2113,4226,-3.7843769330884114,6.9657633548152613e-08,-6.2942425728927665e-10,1.2493691478731263e-18
67,28.150446053329368,1.1277332497360315,2145,4290,-3.8405298473368203,7.0711594111107272e-08,-6.3852325315159886e-10,1.2562704514329754e-18
68,28.150352523321502,1.1277279801506364,2177,4354,-3.896647852046053,7.1765511189951938e-08,-6.4813396988792904e-10,1.2768560365108366e-18
69,28.150259051460019,1.1277227107826546,2209,4418,-3.9527309689206458,7.2819384786510499e-08,-6.5894257216501939e-10,1.2965385730043371e-18
70,28.150165637708803,1.1277174416320732,2241,4482,-4.0087792196516165,7.3873214902606208e-08,-6.6848102379078733e-10,1.3039079380062691e-18
