time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28.199999999999999,28.199766863865595,28.199068270696419,28.19790666302719,28.196286101203956,28.19421224761156,28.191692344682227,28.188735186774995,28.185351086040612,28.181551832411138,28.177350647877276,28.172762135239818,28.167802221543909,28.162488096426529,28.156838145628097,28.150871879938784,28.144609859868382,28.138073616345945,28.13128556777129,28.12426893375498,28.117047645896704,1.2,1.1995876586542502,1.1983531847055127,1.1963042108967175,1.1934534001838224,1.1898183587539637,1.1854215151305854,1.18028996623742,1.1744552915311754,1.1679533365425252,1.1608239673848118,1.1531107979981163,1.1448608920915075,1.1361244419268759,1.1269544262525144,1.1174062498422423,1.1075373672253752,1.0974068933032117,1.0870752036381868,1.0766035272717391,1.0660535349758022
1,28.199875663372154,28.199642672175646,28.198944513310121,28.197783627792866,28.196164073445786,28.194091509133258,28.191573172785315,28.188617853293486,28.185235856397728,28.181438964700465,28.177240391972475,28.172654731936287,28.167697901735483,28.162387080320407,28.156740642001562,28.150778085439459,28.144519958361737,28.137987778312183,28.131203949753044,28.124191677640844,28.116974870945796,1.1999917491122725,1.1995794247794174,1.1983450017581998,1.1962961124786702,1.1934454193743702,1.1898105279060986,1.1854138656720361,1.1802825284780352,1.1744480944780169,1.1679464077238642,1.1608173326842672,1.1531044815000386,1.1448549159386565,1.136118826191362,1.1269491888208389,1.1174014063152113,1.1075329308335451,1.0974028748383837,1.087071611401399,1.0766003670380635,1.0660508060328262
2,28.199751404024425,28.199518557674732,28.198820832842923,28.197660669028821,28.19604212153169,28.193970845697759,28.19145407495748,28.188500592738446,28.185120698373691,28.181326167140607,28.177130204595198,28.172547395387305,28.167593646765091,28.162286126998993,28.156643198976596,28.150684349236357,28.144430112731737,28.137901993629317,28.131122382433645,28.124114468781624,28.116902146200555,1.1999834985665261,1.199571191244182,1.1983368191483876,1.1962880143946373,1.1934374388940796,1.1898026973812139,1.1854062165289834,1.1802750910254156,1.1744408977216954,1.1679394791909774,1.160810698257366,1.1530981652624794,1.1448489400322885,1.1361132106874661,1.126943951605178,1.1173965629879505,1.1075284946246922,1.0973988565392956,1.0870680193127695,1.07659720693473,1.0660480793664593
3,28.199627221926697,28.199394520333723,28.198697229265814,28.197537786706196,28.195920245433047,28.193850257276704,28.191335051170771,28.18838340508233,28.185005611941481,28.181213439705129,28.177020085719583,28.172440125567661,28.167489456608266,28.162185236438585,28.156545816530329,28.150590671307487,28.144340322957241,28.137816262273454,28.131040865712102,28.124037307628992,28.116829467490764,1.199975248361282,1.1995629580486156,1.1983286368761445,1.1962799166446871,1.1934294587430203,1.1897948671793732,1.1853985677014927,1.1802676538796248,1.1744337012622734,1.167932550943924,1.1608040641041646,1.1530918492854925,1.1448429643724538,1.1361075954152344,1.1269387146055754,1.1173917198604995,1.1075240585988526,1.0973948384059804,1.0870644273723289,1.0765940469617648,1.0660453532630461
4,28.199503117030925,28.199270560104662,28.198573702530979,28.197414980777459,28.195798445102742,28.193729743823461,28.191216101379169,28.188266290279827,28.18489059705658,28.181100782350406,28.176910035303017,28.172332922435874,28.167385331224718,28.162084408600162,28.156448494625099,28.150497051616618,28.144250589003001,28.137730584198927,28.130959399532394,28.123960194386378,28.116756834389694,1.1999669984964474,1.1995547251927046,1.1983204549414581,1.1962718192288042,1.193421478921177,1.1897870373005637,1.1853909191895495,1.1802602170406484,1.1744265050997373,1.1679256229826915,1.1607974302246529,1.1530855335690675,1.1448369889591405,1.1361019803746584,1.1269334778220232,1.1173868769328485,1.1075196227560196,1.0973908204384304,1.0870608355800726,1.0765908871191578,1.0660426274939674
5,28.199379089289096,28.199146676939609,28.198450252590664,28.197292251195123,28.195676720493658,28.193609305291428,28.191097225536659,28.188149248285626,28.184775653674524,28.180988195032871,28.176800053302962,28.172225785950484,28.16728127057419,28.161983643444714,28.15635123322328,28.150403490127452,28.144160910832426,28.137644959358425,28.130877983883863,28.123883129096786,28.116684246715113,1.1999587489719834,1.1995464926764359,1.1983122733443132,1.1962637221469761,1.1934134994285364,1.1897792077447713,1.1853832709931416,1.1802527805084735,1.1744193092340736,1.1679186953072673,1.1607907966188167,1.1530792181131941,1.1448310137923401,1.1360963655657268,1.1269282412545114,1.1173820342049889,1.1075151870961839,1.0973868026366393,1.0870572439359927,1.0765877274068711,1.0660399019766589
6,28.199255138653253,28.199022870790653,28.198326879397111,28.197169597911728,28.19555507155874,28.193488941634001,28.190978423597294,28.188032279054497,28.184660781750832,28.180875677709,28.176690139676882,28.172118716070049,28.167177274616421,28.161882940933282,28.156254032287226,28.150309986803542,28.144071288407478,28.13755938771008,28.130796618763128,28.123806111754288,28.116611704359897,1.1999504997878663,1.1995382604997942,1.1983040920846952,1.1962556253991885,1.1934055202650857,1.1897713785119834,1.1853756231122559,1.1802453442830894,1.1744121136652717,1.1679117679176403,1.1607841632866467,1.1530729029178608,1.144825038872042,1.1360907509884319,1.1269230049030308,1.1173771916769135,1.1075107516193385,1.0973827850006008,1.0870536524400849,1.0765845678247961,1.0660371766698284
7,28.199131265075465,28.198899141609918,28.198203582902618,28.197047020879822,28.19543349825091,28.193368652804669,28.190859695515094,28.187915382541185,28.184545981241101,28.180763230335266,28.176580294382276,28.172011712753175,28.167073343311202,28.161782301026918,28.156156891779318,28.150216541608074,28.143981721689659,28.137473869217871,28.130715304162557,28.123729142336192,28.116539207249087,1.1999422509440756,1.1995300286627653,1.1982959111625904,1.1962475289854273,1.1933975414308109,1.1897635496021857,1.1853679755468782,1.1802379083644836,1.1744049183933198,1.1679048408137986,1.1607775302281302,1.1530665879830577,1.1448190641982368,1.1360851366427629,1.1269177687675727,1.1173723493486145,1.1075063163254764,1.0973787675303079,1.0870500610923426,1.0765814083727148,1.0660344515492759
8,28.199007468507823,28.198775489349547,28.198080363059489,28.196924520052022,28.195312000523202,28.193248438756896,28.19074104124417,28.187798558700479,28.184431252100936,28.180650852868194,28.176470517376654,28.171904775958481,28.166969476618331,28.161681723686684,28.156059811661873,28.150123154503888,28.143892210640896,28.137388403849648,28.130634040068895,28.123652220813444,28.11646675532403,1.199934002440596,1.1995217971653367,1.1982877305779853,1.1962394329056809,1.1933895629256983,1.1897557210153649,1.1853603282969964,1.1802304727526425,1.1743977234182037,1.1678979139957324,1.1607708974432585,1.1530602733087738,1.1448130897709123,1.1360795225287106,1.1269125328481286,1.1173675072200828,1.1075018812145907,1.0973747502257529,1.0870464698927589,1.0765782490502891,1.0660317265993662
9,28.198883748902421,28.198651913961726,28.197957219820083,28.196802095380928,28.195190578328585,28.193128299444179,28.190622460738624,28.187681807487202,28.18431659428596,28.180538545264312,28.176360808617552,28.17179790564461,28.166865674497657,28.161581208873692,28.15596279189711,28.150029825453615,28.143802755223991,28.137302991575293,28.130552826464093,28.123575347154596,28.116394348535472,1.1999257542774091,1.1995135660074938,1.1982795503308654,1.1962313371599325,1.1933815847497349,1.1897478927515086,1.1853526813625992,1.1802230374475524,1.1743905287399137,1.1678909874634265,1.1607642649320165,1.1530539588949975,1.1448071155900599,1.1360739086462652,1.1269072971446898,1.1173626652913102,1.107497446286672,1.0973707330869293,1.0870428788413282,1.0765750898570938,1.0660290018093077
