time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28.399999999999999,28.401,28.404,28.408999999999999,28.416,28.425000000000001,28.436,28.449000000000002,28.463999999999999,28.481000000000002,28.5,28.521000000000001,28.544,28.568999999999999,28.596,28.625,28.655999999999999,28.689,28.724,28.760999999999999,28.800000000000001,1.1000000000000001,1.10025,1.101,1.10225,1.1040000000000001,1.10625,1.109,1.11225,1.1160000000000001,1.12025,1.125,1.13025,1.1359999999999999,1.14225,1.149,1.15625,1.1639999999999999,1.17225,1.181,1.19025,1.2
1,28.399600200435263,28.400599200936377,28.403596202438514,28.408591204942034,28.415584208446951,28.424575212953311,28.435564218461089,28.448551224970284,28.463536232480905,28.480519240992987,28.499500250506532,28.520479261021492,28.543456272537963,28.568431285055919,28.59540429857535,28.624375313096291,28.655344328618771,28.688311345142754,28.723276362667097,28.760239380995493,28.799200396684814,1.0998572450503792,1.1001068881631526,1.1008558175010146,1.1021040330641176,1.1038515348524622,1.106098322866049,1.1088443971048751,1.1120897575689439,1.1158344042582551,1.1200783371728074,1.1248215563126016,1.1300640616776378,1.1358058532679169,1.1420469310834371,1.1487872951242011,1.1560269453902061,1.1637658818814565,1.172004104597947,1.1807416135396838,1.1899784087066612,1.1997144896814387
2,28.399200800080244,28.400198802080141,28.403192808078451,28.408182818075613,28.41516883207165,28.424150850066574,28.435128872060378,28.448102898053104,28.463072928044742,28.480038962035305,28.499001000024833,28.51995904201333,28.542913088000823,28.567863137987317,28.594809191972853,28.623751249957454,28.654689311941148,28.687623377923206,28.722553447861394,28.759479521043531,28.798401594185787,1.0997146936919269,1.0999639804263244,1.1007118406289798,1.1019582743000746,1.1037032814396071,1.105946862047579,1.108689016123986,1.111929743668832,1.1156690446821182,1.1199069191638424,1.1246433671140057,1.129878388532608,1.1356119834196508,1.141844151775133,1.1485748935990554,1.1558042088914187,1.163532097652223,1.1717585598814666,1.1804835955791544,1.189707204745281,1.1994293867739165
3,28.398801798925785,28.399798803422399,28.402789816910914,28.407774839391745,28.414753870864903,28.423726911330402,28.434693960788298,28.447655019238578,28.462610086681249,28.479559163116338,28.498502248543915,28.519439342963967,28.54237044637653,28.567295558781666,28.594214680179359,28.623127810569702,28.654034949952432,28.686936098318249,28.721831255512633,28.758720420478401,28.797603590487039,1.099572345832891,1.0998212766976492,1.1005680692913453,1.101812723614173,1.103555239666133,1.1057956174472257,1.1085338569574479,1.1117699581968032,1.1155039211652917,1.1197357458629134,1.1244654322896672,1.1296929804455547,1.1354183903305775,1.1416416619447338,1.1483627952880251,1.1555817903604517,1.1632986471620164,1.1715133656927159,1.1802259459525524,1.1894363879415197,1.1991446909138765
4,28.398403196572808,28.399399204563174,28.402387228532906,28.407367268482396,28.414339324411735,28.423303396320883,28.434259484209885,28.447207588078772,28.462147707927578,28.479079843756306,28.498003995565021,28.518920163353734,28.541828347122514,28.566728546871381,28.593620762600374,28.622504994309505,28.653381241996662,28.686249505627156,28.721109784910198,28.757962078641093,28.796806384598547,1.0994302011827584,1.0996787766858935,1.1004245031946973,1.1016673807093704,1.1034074092299138,1.1056445887563271,1.10837891928861,1.1116104008267638,1.115339033370788,1.1195648169206853,1.1242877514764522,1.1295078370380931,1.1352250736056075,1.1414394611789951,1.148150999758258,1.1553596893433939,1.1630655299344079,1.1712685215312968,1.1799686641340608,1.1891659577426923,1.1988604014956241
5,28.39800499262277,28.39900000510287,28.401985042541828,28.406960104940062,28.413925192297601,28.422880304614452,28.433825441890711,28.446760604126318,28.461685791321358,28.478601003475863,28.497506240589878,28.518401502663441,28.541286789696606,28.566162101689436,28.593027438641947,28.621882800553731,28.65272818741682,28.685563599155593,28.720389035359091,28.757204494795666,28.796009975648769,1.0992882594514359,1.0995364801002419,1.1002811420460452,1.1015222452890487,1.1032597898292542,1.1054937756666623,1.1082242028012723,1.1114510712330854,1.1151743809621031,1.1193941319883245,1.1241103243117496,1.12932295793238,1.1350320328502184,1.1412375490652629,1.1479395065775158,1.1551379053869759,1.1628327454936465,1.1710240268975267,1.1797117495986151,1.1888959135968975,1.1985765179300993
6,28.397607186677426,28.398601204642262,28.401583258535506,28.406553348357537,28.413511474108404,28.422457635788106,28.433391833396701,28.44631406693421,28.461224336400694,28.478122641796194,28.497008983120747,28.517883360374437,28.540745773557305,28.565596222669402,28.592434707710677,28.621261228679348,28.652075785556235,28.684878378216581,28.719669006159315,28.756447668188429,28.795214362803211,1.0991465203492436,1.0993943866502938,1.1001379855528144,1.101377317057012,1.1031123811628893,1.105343177870449,1.1080697071796874,1.1112919690906076,1.1150099636032096,1.1192236907174937,1.12393315043346,1.1291383427511101,1.1348392676704488,1.1410359251914708,1.1477283153141797,1.1549164380385768,1.1626002933646642,1.1707798812924379,1.1794552018218996,1.1886262549530169,1.1982930396335094
7,28.397209778338976,28.398202802782595,28.401181876112179,28.406146998328104,28.413098169430377,28.422035389419097,28.432958658294254,28.445867976055915,28.460763342704105,28.477644758238917,28.496512222660385,28.517365735968554,28.540205298163535,28.565030909245369,28.591842569213636,28.620640278063625,28.651424035759792,28.684193842127417,28.718949696604923,28.755691598061421,28.794419545243528,1.0990049835869189,1.0992524960460632,1.0999950334228485,1.1012325957174891,1.1029651829299876,1.105192795060344,1.1079154321085578,1.11113309407463,1.1148457809585621,1.1190534927603539,1.1237562294800068,1.1289539911175199,1.1346467776728999,1.1408345891461422,1.1475174255372498,1.154695286846223,1.1623681730730655,1.1705360842177734,1.1791990202803464,1.1883569812607091,1.1980099660247239
8,28.396812767210012,28.397804799125449,28.400780894870429,28.405741054445365,28.412685277850265,28.421613565085206,28.432525916150222,28.445422331045325,28.46030280977061,28.477167352326159,28.496015958712004,28.516848628928212,28.539665362974866,28.564466160851985,28.591251022558364,28.620019948084344,28.650772937374253,28.683509990207327,28.718231105986035,28.754936283656061,28.793625522160145,1.0988636488756112,1.099110807997975,1.0998522853644088,1.1010880809751307,1.1028181948301425,1.1050426269294444,1.1077613772730361,1.1109744458609194,1.1146818326930936,1.1188835377695627,1.1235795610903248,1.1287699026553804,1.1344545624647353,1.1406335405183865,1.1473068368163359,1.1544744513585863,1.1621363841451375,1.1702926351759884,1.178943204451137,1.1880880919704082,1.1977272965243593
9,28.396416152893547,28.397407193272826,28.400380314409293,28.405335516303396,28.412272798955147,28.421192162364626,28.432093606531819,28.444977131456813,28.459842737139709,28.476690423580511,28.495520190779345,28.516332038736291,28.539125967451351,28.563901976924388,28.590660067152804,28.61940023811994,28.650122489747954,28.682826821776331,28.717513233590228,28.754181724214284,28.792832292748745,1.0987225159268814,1.0989693222168722,1.0997097410861743,1.1009437725350086,1.1026714165633782,1.1048926731712849,1.1076075423587246,1.1108160241257028,1.114518118472217,1.1187138253982722,1.1234031449038662,1.1285860769889997,1.1342626216536786,1.1404327788979003,1.1470965487216669,1.1542539311249793,1.161904926107842,1.1700495336702486,1.178687753812198,1.1878195865333243,1.1974450305543756
10,28.396019934992964,28.397009984827104,28.399980134328214,28.40493038349668,28.411860732332563,28.420771180835906,28.431661729006763,28.444532376845196,28.459383124351259,28.476213971525063,28.495024918366671,28.515815964876168,28.538587111053545,28.563338356898253,28.590069702405486,28.618781147549814,28.649472692230621,28.682144336154845,28.716796078703897,28.753427918978968,28.79203985620866,1.0985815844527036,1.0988280384140063,1.0995674002972347,1.100799670102615,1.1025248478301477,1.1047429334798362,1.1074539270516754,1.1106578285456716,1.1143546379618217,1.1185443553001315,1.1232269805605977,1.1284025137432243,1.1340709548480139,1.1402323038749664,1.1468865608240828,1.1540337256953637,1.1616737984888139,1.169806779204428,1.1784326678422019,1.1875514644014427,1.1971631675378747
11,28.39562411311201,28.396613173391067,28.399580354226948,28.404525655620056,28.411449077570424,28.420350620078104,28.431230283143172,28.44408806676568,28.458923970945712,28.475737995683343,28.494530140978664,28.515300406831773,28.538048793242563,28.56277530020979,28.589479927725534,28.618162675754178,28.648823544173073,28.681462532663446,28.716079640612687,28.752674867194013,28.79124821174176,1.0984408541654633,1.0986869563010444,1.0994252627071022,1.1006557733838642,1.1023784883313317,1.1045934075495074,1.1073005310383877,1.1104998587979766,1.114191390828273,1.1183751271292828,1.1230510677010026,1.1282192125434363,1.133879561656586,1.140032115040452,1.1466768726950356,1.1538138346203386,1.161443000816365,1.1695643712831076,1.1781779460205646,1.1872837250275328,1.1968817068989916
