time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
0,28.600000244140563,1.1500000610351562,0,0,0,0,0,0
1,28.599400544367562,1.1497859285207945,17,51,0.33364202119185404,-9.5629272509627126e-10,9.3048138638529565e-13,8.8615859022805855e-21
2,28.598801443409755,1.1495721013931293,33,99,0.66693301268552274,-1.9111043416867681e-09,1.4497812672598087e-12,8.4120132393580149e-21
3,28.598202941253867,1.1493585795147054,49,147,0.99987302087597441,-2.8644358110631585e-09,2.2895678408740849e-12,7.1476676730707121e-21
4,28.597605037301225,1.1491453624497643,65,195,1.3324624352404209,-3.8162895403867374e-09,4.9122962642034196e-12,2.1035202977223494e-20
5,28.597007730953951,1.1489324497631668,81,243,1.6647016448045038,-4.7666679327340967e-09,5.3526939824966036e-12,2.1794141189240897e-20
6,28.596411021614671,1.1487198410203989,97,291,1.9965910381341954,-5.7155733870725693e-09,4.9061900375679812e-12,1.9920163511502012e-20
7,28.595814908686705,1.1485075357875643,113,339,2.328131003333322,-6.6630082982562603e-09,6.6297349554655938e-12,2.2092339800066263e-20
8,28.595219391573853,1.1482955336313854,129,387,2.659321928042643,-7.6089750570282311e-09,7.0665175100348421e-12,2.2890155500873658e-20
9,28.59462446968061,1.1480838341192061,145,435,2.9901641994397643,-8.5534760500250959e-09,3.8306267879928413e-12,4.0473533781913368e-20
10,28.594030142412088,1.1478724368189857,161,483,3.3206582042391677,-9.4965136597827808e-09,6.1679099327971443e-12,3.6848001157093447e-20
11,28.593436409173936,1.1476613412993022,177,531,3.6508043286925647,-1.043809026474286e-08,2.0160019487125425e-12,3.811234672338075e-20
12,28.592843269372345,1.1474505471293475,193,579,3.9806029585893046,-1.1378208239259234e-08,1.7549503517066967e-13,3.9753059468379681e-20
13,28.592250722414249,1.1472400538789265,209,627,4.3100544792567952,-1.2316869953604996e-08,8.9674448422449871e-13,4.2337171701995339e-20
14,28.591658767707035,1.1470298611184648,225,675,4.6391592755610658,-1.3254077773979461e-08,-6.4198993343644872e-13,5.8633043359596261e-20
15,28.591067404658819,1.1468199684189977,241,723,4.967917731907213,-1.418983406251522e-08,-2.5654131596830609e-13,4.7423505288583906e-20
16,28.590476632678186,1.1466103753521713,257,771,5.2963302322399901,-1.5124141177285318e-08,-1.5795663388384895e-12,4.7309767954357865e-20
17,28.58988645117434,1.1464010814902421,273,819,5.6243971600443317,-1.6057001472310389e-08,-3.3748316641268872e-12,4.5100782128535004e-20
18,28.589296859557091,1.1461920864060842,289,867,5.9521188983459155,-1.6988417297565854e-08,-1.6269381675204642e-12,4.9711486862905581e-20
19,28.588707857236887,1.1459833896731726,305,915,6.2794958297117391,-1.791839099898916e-08,-2.2178474334832998e-12,5.6474101960832858e-20
20,28.588119443624684,1.1457749908655981,321,963,6.6065283362506673,-1.8846924918486912e-08,-9.4965355024179132e-13,4.7469827402886876e-20
21,28.587531618132108,1.1455668895580573,337,1011,6.9332167996140344,-1.9774021393942155e-08,2.5982514750833019e-12,3.9657106517323529e-20
22,28.586944380171285,1.1453590853258524,353,1059,7.2595616009962116,-2.0699682759221509e-08,4.9666486201527249e-12,3.5643212594909963e-20
23,28.586357729155001,1.1451515777448928,369,1107,7.5855631211351886,-2.1623911344182419e-08,4.5214491872780371e-12,4.4742199332993267e-20
24,28.585771664496608,1.1449443663916947,385,1155,7.9112217403131115,-2.2546709474680327e-08,-9.7092472950421893e-14,4.0593474970733557e-20
25,28.585186185610009,1.1447374508433763,401,1203,8.2365378383569006,-2.3468079472575868e-08,-1.2258354054051068e-12,4.2302016525961835e-20
26,28.584601291909767,1.1445308306776614,417,1251,8.5615117946388413,-2.4388023655742074e-08,-4.2505131359060755e-12,4.3463378105986286e-20
27,28.584016982810915,1.1443245054728757,433,1299,8.8861439880771069,-2.5306544338071479e-08,-8.3003708073459137e-12,4.6167431528422134e-20
28,28.583433257729173,1.14411847480795,449,1347,9.2104347971363829,-2.622364382948335e-08,-5.7055297986163822e-12,4.8984395104471469e-20
29,28.582850116080913,1.1439127382624101,465,1395,9.5343845998284742,-2.7139324435930807e-08,-6.3250411852511235e-12,5.6107660949471867e-20
30,28.582267557282812,1.1437072954163869,481,1443,9.8579937737127814,-2.8053588459407925e-08,-7.7957675037598761e-12,5.3922663361413045e-20
31,28.581685580752481,1.1435021458506076,497,1491,10.18126269589702,-2.8966438197956924e-08,-9.687358554222314e-12,4.5437444637844087e-20
32,28.581104185907808,1.1432972891464019,513,1539,10.504191743037696,-2.9877875945675249e-08,-1.3136550874870423e-11,4.5296823933710072e-20
33,28.580523372167491,1.1430927248856941,529,1587,10.826781291340708,-3.0787903992722677e-08,-1.0805727840290658e-11,4.6914375621557518e-20
34,28.579943138950643,1.142888452651005,545,1635,11.149031716561955,-3.1696524625328422e-08,-1.4327875691444447e-11,4.20737146768972e-20
35,28.579363485677067,1.1426844720254532,561,1683,11.470943394007874,-3.2603740125798198e-08,-1.3598008136161965e-11,5.1258314608379742e-20
36,28.578784411767124,1.1424807825927503,577,1731,11.79251669853606,-3.3509552772521302e-08,-1.1017412676617155e-11,4.184706718905767e-20
37,28.578205916641728,1.1422773839372062,593,1779,12.113752004555815,-3.4413964839977661e-08,-1.1159153462392268e-11,3.916700200438586e-20
38,28.577627999722345,1.142074275643721,609,1827,12.434649686028752,-3.5316978598744923e-08,-8.3771843628621667e-12,3.3152985360819073e-20
39,28.577050660431105,1.1418714572977853,625,1875,12.755210116469328,-3.6218596315505372e-08,-1.2133471311015498e-11,3.3342823311399993e-20
40,28.576473898190642,1.1416689284854857,641,1923,13.075433668945442,-3.711882025305309e-08,-1.0826815138864632e-11,3.4138571060676005e-20
41,28.575897712424133,1.1414666887934983,657,1971,13.395320716079022,-3.8017652670300858e-08,-9.7499126827660376e-12,2.8933123465879802e-20
42,28.575322102555567,1.1412647378090897,673,2019,13.714871630046593,-3.8915095822287206e-08,-1.3821197658581141e-11,3.5853316470498432e-20
43,28.574747068009163,1.141063075120111,689,2067,14.034086782579861,-3.9811151960183351e-08,-1.1083366863173794e-11,2.5863869803001793e-20
44,28.574172608209949,1.1408617003150103,705,2115,14.352966544966236,-4.0705823331300249e-08,-1.1412686767853231e-11,2.8242427654398024e-20
45,28.573598722583437,1.1406606129828161,721,2163,14.671511288049459,-4.1599112179095445e-08,-1.3707274898466792e-11,2.0162941021286326e-20
46,28.573025410555765,1.1404598127131469,737,2211,14.989721382230146,-4.249102074318007e-08,-1.3294022133125694e-11,2.36255190654333e-20
47,28.572452671553684,1.1402592990962066,753,2259,15.307597197466391,-4.3381551259325804e-08,-8.2670224832437356e-12,2.6913562000331585e-20
48,28.571880505004295,1.1400590717227823,769,2307,15.625139103274297,-4.4270705959471762e-08,-8.7435232665189488e-12,1.9964004083967323e-20
49,28.571308910335599,1.1398591301842478,785,2355,15.942347468728553,-4.5158487071731355e-08,-1.1252377501991262e-11,2.0615408816352832e-20
50,28.570737886975888,1.139659474072557,801,2403,16.259222662463049,-4.6044896820399293e-08,-1.0354998108974556e-11,1.1575565492067069e-20
